,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,272.0,272.0,,0.0,,14.1,13.9,,20.2,,0,,0,,,,,,,,,,0.0,,,89.1,,,,,0.0,,,,,,,3.2,,5.1,,4.8,
2018-01-01 01:40:00,263.0,270.0,,1.0,,13.3,14.0,,19.7,,0,,0,,,,,,,,,,1.0,,,91.4,,,,,0.0,,,,,,,2.7,,4.7,,4.0,
2018-01-01 02:40:00,262.0,253.0,,0.0,,13.3,14.2,,20.4,,0,,0,,,,,,,,,,1.0,,,76.7,,,,,0.0,,,,,,,1.5,,4.7,,5.3,
2018-01-01 03:40:00,248.0,248.0,,0.0,,13.6,12.9,,18.4,,0,,0,,,,,,,,,,0.0,,,71.8,,,,,0.0,,,,,,,0.6,,5.4,,5.3,
2018-01-01 04:40:00,243.0,237.0,,0.0,,11.9,8.9,,18.1,,0,,0,,,,,,,,,,0.0,,,68.3,,,,,0.0,,,,,,,-0.2,,5.3,,5.1,
2018-01-01 05:40:00,265.0,268.0,,1.0,,12.2,12.8,,19.2,,0,,0,,,,,,,,,,2.0,,,94.9,,,,,0.0,,,,,,,2.2,,3.9,,2.9,
2018-01-01 06:40:00,243.0,242.0,,0.0,,10.3,10.5,,14.7,,0,,0,,,,,,,,,,0.0,,,82.0,,,,,0.0,,,,,,,1.1,,3.8,,3.9,
2018-01-01 07:40:00,252.0,254.0,,6.0,,10.0,9.9,,14.5,,0,,0,,,,,,,,,,9.0,,,75.2,,,,,3.0,,,,,,,-0.1,,3.9,,3.9,
2018-01-01 08:40:00,243.0,245.0,,47.0,,8.4,8.9,,13.5,,0,,0,,,,,,,,,,112.0,,,70.6,,,,,58.0,,,,,,,-0.8,,4.1,,4.1,
2018-01-01 09:40:00,240.0,232.0,,91.0,,10.2,10.0,,14.0,,0,,0,,,,,,,,,,264.0,,,67.9,,,,,60.0,,,,,,,-1.0,,4.3,,4.4,
