,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,266,306.0,,1.0,0.2,4.4,3.9,,11.8,,0,,0,,,339,,,,1012.7,,,0,,,,0.3,,,,0,,,6.1,6.1,6.1,5.9,4.3,4.9,7.9,6.0,7.7,9.7
2018-01-01 01:40:00,262,334.0,,2.0,,4.9,5.9,,13.5,,0,,0,,,333,,,,1014.3,,,0,,,,0.5,,,,0,,,6.1,6.1,6.1,,3.2,,7.5,5.2,6.2,
2018-01-01 02:40:00,249,284.0,,1.0,,3.1,3.5,,9.3,,0,,0,,,318,,,,1014.1,,,0,,,,0.4,,,,0,,,6.1,6.1,6.1,,3.5,,6.2,5.1,7.2,
2018-01-01 03:40:00,240,289.0,,1.0,,5.5,6.2,,11.8,,0,,0,,,306,,,,1014.1,,,0,,,,0.0,,,,0,,,6.0,6.1,6.0,,2.0,,7.9,5.8,8.2,
2018-01-01 04:40:00,240,284.0,,1.0,,5.9,6.0,,12.8,,0,,0,,,297,,0.0,,1014.2,,,0,,,,0.0,,0.0,,0,,,6.0,6.0,5.9,,0.8,,8.1,7.0,8.2,
2018-01-01 05:40:00,263,316.0,,2.0,,4.5,2.7,,13.4,,0,,0,,,324,,,,1015.5,,,0,,,,0.3,,,,0,,,6.0,6.0,5.9,,3.5,,7.1,4.8,6.2,
2018-01-01 06:40:00,227,278.0,,1.0,,3.9,4.7,,9.3,,0,,0,,,262,,,,1015.7,,,0,,,,0.1,,,,0,,,5.9,6.0,5.9,,2.1,,6.1,3.6,6.2,
2018-01-01 07:40:00,242,303.0,,7.0,,2.7,1.0,,7.0,,0,,0,,,247,,,,1016.2,,,7,,,,0.0,,,,0,,,5.9,6.0,5.8,,0.9,,6.3,2.6,6.4,
2018-01-01 08:40:00,243,292.0,,43.0,,4.0,6.2,,11.3,,0,,0,,,246,,,,1016.3,,,102,,,,0.0,,,,57,,,5.8,6.0,5.7,,0.4,,7.0,7.5,7.4,
2018-01-01 09:40:00,236,274.0,,94.0,,6.5,6.5,,13.2,,0,,0,,,261,,,,1015.7,,,237,,,,0.0,,,,60,,,5.8,6.0,5.6,,0.9,,8.1,10.8,8.8,
2018-01-01 10:40:00,233,283.0,,96.0,,5.6,5.3,,13.9,,0,,0,,,260,,,,1014.2,,,254,,,,0.0,,,,48,,,5.8,6.0,5.7,,0.1,,8.6,10.6,9.0,
2018-01-01 11:40:00,221,252.0,,99.0,,5.4,4.5,,11.5,,0,,0,,,261,,,,1011.7,,,317,,,,0.0,,,,53,,,5.8,6.0,5.8,,0.2,,9.1,11.4,9.3,
2018-01-01 12:40:00,212,263.0,,116.0,,5.5,5.1,,12.2,,0,,0,,,271,,,,1009.2,,,217,,,,0.0,,,,28,,,5.9,5.9,6.0,,-0.9,,9.1,8.7,9.0,
2018-01-01 13:40:00,222,282.0,,81.0,,4.6,2.9,,11.9,,0,,0,,,312,,,,1008.1,,,81,,,,0.0,,,,0,,,6.0,6.0,6.1,,-1.8,,8.8,8.2,8.8,
2018-01-01 14:40:00,217,280.0,,42.0,,4.4,5.3,,10.2,,0,,0,,,321,,,,1005.5,,,41,,,,0.0,,,,0,,,6.0,6.0,6.1,,-2.9,,8.9,8.6,9.5,
2018-01-01 15:40:00,223,263.0,,7.0,,6.9,6.7,,17.3,,0,,0,,,326,,,,1004.5,,,6,,,,0.0,,,,0,,,6.0,6.0,6.1,,-1.2,,9.3,8.4,9.1,
2018-01-01 16:40:00,223,266.0,,2.0,,8.5,8.3,,17.5,,0,,0,,,328,,,,1004.8,,,0,,,,0.0,,,,0,,,6.0,6.0,6.1,,2.1,,8.4,6.0,7.3,
2018-01-01 17:40:00,229,283.0,,1.0,,7.7,8.3,,16.8,,0,,0,,,326,,,,1004.4,,,0,,,,0.0,,,,0,,,6.0,6.1,6.0,,1.2,,8.0,7.9,8.6,
2018-01-01 18:40:00,240,289.0,,1.0,,8.9,9.7,,19.5,,0,,0,,,322,,,,1005.1,,,0,,,,0.0,,,,0,,,6.0,6.1,6.0,,1.4,,8.8,8.2,8.8,
2018-01-01 19:40:00,244,289.0,,2.0,,8.5,7.7,,18.9,,0,,0,,,322,,,,1006.4,,,0,,,,0.1,,,,0,,,6.0,6.1,6.0,,2.6,,8.0,6.3,7.4,
2018-01-01 20:40:00,243,292.0,,1.0,,8.7,8.6,,18.8,,0,,0,,,320,,,,1008.5,,,0,,,,0.2,,,,0,,,6.0,6.1,5.9,,3.4,,7.3,5.0,6.8,
2018-01-01 21:40:00,256,309.0,,1.0,,7.5,6.0,,17.5,,0,,0,,,305,,,,1011.0,,,0,,,,0.1,,,,0,,,6.0,6.1,5.9,,3.3,,6.6,4.7,6.5,
2018-01-01 22:40:00,261,295.0,,2.0,,7.2,5.5,,18.2,,0,,0,,,283,,,,1012.6,,,0,,,,0.8,,,,0,,,5.9,6.1,5.8,,2.1,,5.4,3.1,5.2,
2018-01-01 23:40:00,257,302.0,,1.0,,5.1,5.5,,11.6,,0,,0,,,277,,,,1013.9,,,0,,,,0.0,,,,0,,,5.9,6.1,5.8,,1.5,,5.6,3.2,5.4,
2018-01-02 00:40:00,254,289.0,,2.0,0.2,4.9,4.6,,11.1,,0,,0,,,278,,,,1014.2,,,0,,,,0.2,,,,0,,,5.9,6.1,5.7,5.5,2.1,3.7,4.9,3.2,5.0,7.9
2018-01-02 01:40:00,258,303.0,,1.0,,5.6,5.1,,12.7,,0,,0,,,259,,,,1014.6,,,0,,,,0.1,,,,0,,,5.8,6.1,5.6,,1.8,,5.1,2.9,5.2,
2018-01-02 02:40:00,259,306.0,,1.0,,5.3,4.4,,12.8,,0,,0,,,256,,,,1015.3,,,0,,,,0.0,,,,0,,,5.8,6.0,5.5,,1.5,,5.4,2.9,5.4,
2018-01-02 03:40:00,256,294.0,,2.0,,4.4,4.7,,9.3,,0,,0,,,312,,,,1015.7,,,0,,,,0.2,,,,0,,,5.7,6.0,5.4,,2.1,,5.2,3.5,5.4,
2018-01-02 04:40:00,243,272.0,,1.0,,4.6,4.8,,9.8,,0,,0,,,299,,0.0,,1016.3,,,0,,,,0.0,,0.0,,0,,,5.6,6.0,5.4,,1.6,,5.4,3.2,5.1,
2018-01-02 05:40:00,250,303.0,,1.0,,4.8,5.1,,11.8,,0,,0,,,317,,,,1016.8,,,0,,,,0.1,,,,0,,,5.6,6.0,5.3,,2.5,,5.3,3.7,5.4,
2018-01-02 06:40:00,273,309.0,,2.0,,3.7,2.4,,11.1,,0,,0,,,299,,,,1018.2,,,0,,,,1.7,,,,0,,,5.6,5.9,5.3,,1.6,,4.3,1.5,4.0,
2018-01-02 07:40:00,256,297.0,,15.0,,4.6,4.7,,9.9,,0,,0,,,305,,,,1018.8,,,13,,,,0.0,,,,0,,,5.5,5.9,5.2,,1.9,,5.2,3.6,5.3,
2018-01-02 08:40:00,257,300.0,,65.0,,5.1,4.9,,11.3,,0,,0,,,284,,,,1019.9,,,86,,,,0.0,,,,22,,,5.5,5.9,5.2,,1.2,,5.8,4.0,6.0,
2018-01-02 09:40:00,257,302.0,,79.0,,5.7,5.0,,12.4,,0,,0,,,256,,,,1020.7,,,172,,,,0.0,,,,39,,,5.4,5.9,5.2,,0.9,,6.4,7.1,5.7,
2018-01-02 10:40:00,277,302.0,,126.0,,3.4,2.5,,11.7,,0,,0,,,285,,,,1019.7,,,180,,,,0.2,,,,32,,,5.4,5.8,5.2,,3.1,,5.4,6.1,6.5,
2018-01-02 11:40:00,262,305.0,,113.0,,5.1,4.1,,11.5,,0,,0,,,248,,,,1019.2,,,299,,,,0.0,,,,59,,,5.5,5.8,5.4,,0.2,,7.6,8.7,7.8,
2018-01-02 12:40:00,253,290.0,,142.0,,4.3,4.0,,9.3,,0,,0,,,260,,,,1019.0,,,234,,,,0.0,,,,37,,,5.5,5.8,5.6,,-0.1,,7.7,8.0,7.5,
2018-01-02 13:40:00,243,281.0,,87.0,,3.0,2.8,,5.5,,0,,0,,,311,,,,1019.2,,,85,,,,0.0,,,,0,,,5.6,5.8,5.7,,0.3,,7.5,6.9,7.4,
2018-01-02 14:40:00,235,269.0,,43.0,,2.1,1.6,,5.2,,0,,0,,,314,,,,1019.1,,,42,,,,0.0,,,,0,,,5.7,5.8,5.7,,0.6,,7.4,6.3,7.2,
2018-01-02 15:40:00,222,195.0,,7.0,,1.4,1.0,,3.5,,0,,0,,,309,,,,1018.3,,,6,,,,0.0,,,,0,,,5.8,5.8,5.8,,0.4,,6.9,4.3,6.9,
2018-01-02 16:40:00,172,190.0,,1.0,,0.9,1.1,,2.0,,0,,0,,,310,,,,1018.2,,,0,,,,0.0,,,,0,,,5.8,5.9,5.8,,0.6,,6.4,4.1,6.2,
2018-01-02 17:40:00,169,268.0,,1.0,,1.2,1.1,,2.3,,0,,0,,,321,,,,1018.9,,,0,,,,0.0,,,,0,,,5.8,5.9,5.7,,1.4,,6.1,4.6,6.0,
2018-01-02 18:40:00,217,247.0,,1.0,,4.1,3.8,,10.3,,0,,0,,,319,,,,1018.1,,,0,,,,0.0,,,,0,,,5.8,5.9,5.7,,-1.2,,6.5,5.3,6.7,
2018-01-02 19:40:00,171,177.0,,1.0,,2.1,1.2,,5.3,,0,,0,,,320,,,,1016.8,,,0,,,,0.0,,,,0,,,5.7,5.9,5.6,,-0.6,,6.5,4.9,6.5,
2018-01-02 20:40:00,196,261.0,,2.0,,1.0,0.8,,4.4,,0,,0,,,331,,,,1016.3,,,0,,,,0.2,,,,0,,,5.7,5.9,5.6,,1.8,,6.2,3.8,5.5,
2018-01-02 21:40:00,126,148.0,,1.0,,1.5,2.2,,3.4,,0,,0,,,333,,,,1015.6,,,0,,,,0.1,,,,0,,,5.7,5.9,5.6,,2.2,,5.4,3.9,5.3,
2018-01-02 22:40:00,103,149.0,,1.0,,2.6,2.5,,4.8,,0,,0,,,334,,,,1014.8,,,0,,,,0.0,,,,0,,,5.7,5.9,5.6,,3.0,,5.3,4.2,5.2,
2018-01-02 23:40:00,108,154.0,,1.0,,3.0,3.5,,5.8,,0,,0,,,339,,,,1013.2,,,0,,,,0.0,,,,0,,,5.7,5.9,5.5,,3.5,,5.2,4.4,5.2,
2018-01-03 00:40:00,105,157.0,,1.0,0.1,2.4,1.2,,5.6,,0,,0,,,341,,,,1012.3,,,0,,,,0.0,,,,0,,,5.7,5.9,5.5,6.2,4.3,4.2,5.3,4.8,5.5,15.3
2018-01-03 01:40:00,193,242.0,,1.0,,2.9,3.8,,6.1,,0,,0,,,349,,,,1011.1,,,0,,,,0.1,,,,0,,,5.7,5.9,5.6,,6.3,,8.4,7.6,9.7,
2018-01-03 02:40:00,199,247.0,,1.0,,4.3,3.8,,7.7,,0,,0,,,354,,,,1008.8,,,0,,,,0.0,,,,0,,,5.7,5.9,5.6,,6.5,,10.3,9.2,10.6,
2018-01-03 03:40:00,223,276.0,,1.0,,4.6,7.3,,14.1,,0,,0,,,353,,,,1006.1,,,0,,,,0.0,,,,0,,,5.7,5.9,5.7,,6.6,,12.0,11.6,12.9,
2018-01-03 04:40:00,230,265.0,,1.0,,7.6,8.2,,16.2,,0,,0,,,349,,0.0,,1003.1,,,0,,,,0.0,,0.0,,0,,,5.8,5.9,5.9,,7.0,,13.2,11.8,13.0,
2018-01-03 05:40:00,237,288.0,,1.0,,11.3,12.5,,22.1,,0,,0,,,335,,,,1001.5,,,0,,,,0.0,,,,0,,,5.9,5.9,6.0,,7.4,,14.1,12.7,14.5,
2018-01-03 06:40:00,240,286.0,,1.0,,11.5,10.9,,21.8,,0,,0,,,336,,,,1000.1,,,0,,,,0.0,,,,0,,,6.0,5.9,6.3,,7.5,,14.7,13.8,14.7,
2018-01-03 07:40:00,247,293.0,,7.0,,11.0,10.3,,21.8,,0,,0,,,338,,,,998.3,,,6,,,,0.0,,,,0,,,6.1,6.0,6.5,,8.2,,15.1,13.4,14.7,
2018-01-03 08:40:00,254,303.0,,24.0,,11.7,11.9,,26.3,,0,,0,,,354,,,,999.0,,,21,,,,0.7,,,,0,,,6.2,6.0,6.7,,8.6,,13.8,10.8,13.7,
2018-01-03 09:40:00,270,317.0,,85.0,,13.3,10.9,,29.7,,0,,0,,,323,,,,1001.8,,,100,,,,0.0,,,,5,,,6.4,6.1,6.9,,5.5,,14.0,12.8,13.5,
2018-01-03 10:40:00,281,330.0,,45.0,,10.6,7.3,,23.6,,28,,1,,,341,,,,1008.6,,,46,,,,3.6,,,,2,,,6.6,6.1,7.1,,3.5,,8.6,4.8,5.7,
2018-01-03 11:40:00,266,304.0,,64.0,,7.0,5.7,,16.8,,0,,0,,,324,,,,1009.3,,,68,,,,0.3,,,,0,,,6.6,6.2,6.8,,3.2,,5.8,5.1,6.4,
2018-01-03 12:40:00,266,312.0,,63.0,,7.0,7.3,,14.8,,0,,0,,,324,,,,1009.0,,,73,,,,0.0,,,,2,,,6.6,6.3,6.7,,2.7,,7.3,7.1,8.2,
2018-01-03 13:40:00,273,310.0,,96.0,,7.3,6.2,,17.1,,0,,0,,,288,,,,1009.9,,,132,,,,0.0,,,,14,,,6.5,6.3,6.6,,1.6,,8.6,8.0,8.7,
2018-01-03 14:40:00,268,309.0,,93.0,,7.6,5.5,,18.7,,0,,0,,,270,,,,1010.5,,,112,,,,0.0,,,,24,,,6.5,6.3,6.6,,0.6,,8.9,8.0,8.9,
2018-01-03 15:40:00,268,330.0,,19.0,,6.8,6.7,,17.8,,0,,0,,,309,,,,1011.9,,,14,,,,0.8,,,,0,,,6.5,6.4,6.5,,3.2,,7.8,4.6,5.9,
2018-01-03 16:40:00,260,353.0,,1.0,,5.2,4.6,,13.9,,0,,0,,,326,,,,1012.0,,,0,,,,0.3,,,,0,,,6.5,6.4,6.4,,3.1,,6.6,4.8,5.9,
2018-01-03 17:40:00,276,265.0,,2.0,,2.2,0.4,,12.5,,0,,1,,,285,,,,1012.7,,,0,,,,1.1,,,,0,,,6.4,6.4,6.3,,2.9,,4.8,2.8,5.2,
2018-01-03 18:40:00,258,299.0,,1.0,,4.4,6.7,,12.8,,0,,0,,,305,,,,1012.4,,,0,,,,0.0,,,,0,,,6.3,6.4,6.2,,1.9,,6.5,4.8,7.3,
2018-01-03 19:40:00,256,295.0,,1.0,,5.1,6.6,,13.8,,0,,0,,,320,,,,1011.6,,,0,,,,0.1,,,,0,,,6.3,6.4,6.2,,1.7,,7.3,4.8,7.9,
2018-01-03 20:40:00,254,284.0,,2.0,,5.5,4.0,,15.5,,0,,0,,,316,,,,1012.6,,,0,,,,0.4,,,,0,,,6.3,6.4,6.1,,3.0,,6.9,4.3,6.1,
2018-01-03 21:40:00,252,298.0,,1.0,,4.6,4.9,,11.6,,0,,0,,,320,,,,1011.8,,,0,,,,0.0,,,,0,,,6.2,6.4,6.1,,2.2,,7.2,5.3,7.5,
2018-01-03 22:40:00,260,342.0,,2.0,,5.6,2.4,,19.3,,0,,0,,,323,,,,1011.7,,,0,,,,0.4,,,,0,,,6.2,6.4,6.0,,3.9,,7.4,5.0,6.4,
2018-01-03 23:40:00,264,305.0,,1.0,,4.8,6.7,,13.7,,0,,0,,,331,,,,1011.6,,,0,,,,0.9,,,,0,,,6.1,6.3,6.0,,2.1,,6.5,4.5,6.7,
2018-01-04 00:40:00,263,289.0,,1.0,0.0,3.7,1.9,,15.8,,0,,0,,,331,,,,1011.6,,,0,,,,0.7,,,,0,,,6.1,6.3,6.0,6.5,3.5,4.7,5.7,4.2,5.3,14.4
2018-01-04 01:40:00,231,348.0,,1.0,,1.4,0.3,,3.3,,0,,0,,,331,,,,1011.0,,,0,,,,0.9,,,,0,,,6.1,6.3,5.9,,3.8,,5.1,4.0,4.9,
2018-01-04 02:40:00,124,156.0,,1.0,,0.5,0.9,,1.4,,0,,0,,,331,,,,1010.1,,,0,,,,0.5,,,,0,,,6.1,6.3,5.9,,4.0,,4.8,3.9,4.7,
2018-01-04 03:40:00,110,146.0,,1.0,,1.2,1.3,,2.2,,0,,0,,,328,,,,1009.5,,,0,,,,0.1,,,,0,,,6.0,6.3,5.9,,4.1,,4.9,4.2,5.0,
2018-01-04 04:40:00,201,266.0,,1.0,,2.0,3.2,,7.5,,0,,0,,,328,,0.0,,1007.6,,,0,,,,0.0,,0.0,,0,,,6.0,6.3,5.8,,4.0,,5.9,5.1,7.2,
2018-01-04 05:40:00,250,173.0,,1.0,,1.5,0.4,,5.9,,0,,0,,,329,,,,1007.2,,,0,,,,0.0,,,,0,,,6.0,6.3,5.8,,4.6,,7.3,5.3,6.4,
2018-01-04 06:40:00,104,146.0,,1.0,,1.1,1.5,,2.7,,0,,0,,,334,,,,1006.5,,,0,,,,0.0,,,,0,,,6.0,6.2,5.8,,5.1,,6.8,5.4,6.6,
2018-01-04 07:40:00,92,,,4.0,,2.4,,,4.5,,0,,0,,,339,,,,1005.8,,,2,,,,0.0,,,,0,,,6.0,6.2,5.8,,4.4,,6.0,5.1,5.7,
2018-01-04 08:40:00,61,102.0,,12.0,,3.2,3.3,,6.0,,0,,0,,,345,,,,1005.3,,,10,,,,0.4,,,,0,,,6.0,6.2,5.9,,4.9,,5.7,5.3,5.7,
2018-01-04 09:40:00,55,93.0,,18.0,,2.9,2.3,,5.5,,0,,0,,,348,,,,1004.8,,,18,,,,0.7,,,,0,,,6.0,6.2,5.9,,5.7,,6.0,6.1,6.4,
2018-01-04 10:40:00,224,258.0,,34.0,,4.5,6.8,,14.5,,0,,0,,,360,,,,1003.2,,,40,,,,0.2,,,,0,,,6.0,6.2,5.9,,10.2,,11.2,11.4,13.3,
2018-01-04 11:40:00,210,258.0,,78.0,,7.5,7.0,,18.8,,0,,0,,,360,,,,1002.5,,,85,,,,0.0,,,,0,,,6.1,6.2,6.1,,9.9,,13.9,12.2,14.4,
2018-01-04 12:40:00,209,251.0,,65.0,,8.2,6.8,,18.8,,0,,0,,,363,,,,1002.9,,,67,,,,0.2,,,,0,,,6.2,6.2,6.4,,10.2,,13.9,11.9,13.9,
2018-01-04 13:40:00,207,251.0,,49.0,,6.9,5.9,,13.8,,0,,0,,,362,,,,1003.3,,,50,,,,0.3,,,,0,,,6.3,6.2,6.7,,9.5,,13.7,11.4,13.9,
2018-01-04 14:40:00,207,251.0,,20.0,,6.7,6.8,,14.2,,0,,0,,,362,,,,1003.3,,,20,,,,0.0,,,,0,,,6.5,6.3,6.9,,9.3,,13.8,12.1,13.9,
2018-01-04 15:40:00,208,254.0,,5.0,,6.4,6.4,,14.9,,0,,0,,,361,,,,1002.9,,,4,,,,0.1,,,,0,,,6.6,6.3,7.1,,9.0,,13.9,12.4,14.3,
2018-01-04 16:40:00,195,237.0,,1.0,,6.4,7.5,,16.6,,0,,0,,,354,,,,1003.0,,,0,,,,0.0,,,,0,,,6.8,6.4,7.2,,8.7,,14.2,13.6,14.3,
2018-01-04 17:40:00,193,233.0,,1.0,,7.8,9.1,,18.2,,0,,0,,,362,,,,1003.1,,,0,,,,0.0,,,,0,,,6.9,6.5,7.3,,8.7,,14.2,13.6,14.4,
