,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,279.0,257.0,,0.0,0.1,6.0,6.1,,11.6,,0,,0,,,,,,,,,,2.0,,,,2.7,,,,0.0,,,,,,,5.2,6.0,7.3,,7.0,9.0
2018-01-01 01:40:00,254.0,254.0,,0.0,,4.7,3.9,,11.9,,0,,0,,,,,,,,,,2.0,,,,1.4,,,,0.0,,,,,,,3.5,,6.6,,6.5,
2018-01-01 02:40:00,250.0,266.0,,0.0,,4.3,4.6,,10.9,,0,,0,,,,,,,,,,1.0,,,,0.2,,,,0.0,,,,,,,2.4,,7.2,,7.2,
2018-01-01 03:40:00,198.0,351.0,,0.0,,2.2,1.5,,7.4,,0,,0,,,,,,,,,,1.0,,,,0.0,,,,0.0,,,,,,,3.5,,7.2,,6.5,
2018-01-01 04:40:00,63.0,54.0,,0.0,,2.2,1.2,,5.5,,0,,0,,,,,,,,,,2.0,,,,0.0,,,,0.0,,,,,,,2.8,,6.6,,6.4,
2018-01-01 05:40:00,51.0,51.0,,0.0,,2.6,3.0,,5.4,,0,,0,,,,,,,,,,2.0,,,,0.0,,,,0.0,,,,,,,2.8,,6.2,,6.2,
2018-01-01 06:40:00,292.0,311.0,,0.0,,4.6,4.0,,12.2,,0,,0,,,,,,,,,,2.0,,,,0.2,,,,0.0,,,,,,,2.3,,6.3,,6.0,
2018-01-01 07:40:00,292.0,284.0,,7.0,,4.8,3.4,,11.3,,0,,0,,,,,,,,,,11.0,,,,0.0,,,,0.0,,,,,,,1.3,,6.5,,6.6,
2018-01-01 08:40:00,285.0,317.0,,61.0,,1.9,1.6,,4.4,,0,,0,,,,,,,,,,74.0,,,,0.0,,,,4.0,,,,,,,1.7,,6.9,,7.1,
2018-01-01 09:40:00,270.0,291.0,,109.0,,1.7,1.4,,5.6,,0,,0,,,,,,,,,,118.0,,,,0.0,,,,1.0,,,,,,,1.8,,7.2,,7.0,
2018-01-01 10:40:00,245.0,253.0,,69.0,,2.6,2.5,,6.7,,0,,0,,,,,,,,,,321.0,,,,0.0,,,,58.0,,,,,,,2.1,,7.6,,8.3,
2018-01-01 11:40:00,255.0,279.0,,113.0,,2.1,2.0,,4.7,,0,,0,,,,,,,,,,289.0,,,,0.0,,,,40.0,,,,,,,0.9,,8.5,,8.0,
2018-01-01 12:40:00,268.0,274.0,,154.0,,2.4,1.2,,5.0,,0,,0,,,,,,,,,,160.0,,,,0.0,,,,0.0,,,,,,,0.1,,8.1,,8.2,
2018-01-01 13:40:00,290.0,318.0,,112.0,,2.6,0.9,,5.6,,0,,0,,,,,,,,,,117.0,,,,0.0,,,,0.0,,,,,,,-2.0,,8.6,,9.0,
2018-01-01 14:40:00,289.0,291.0,,16.0,,3.8,5.8,,10.2,,0,,0,,,,,,,,,,19.0,,,,0.0,,,,0.0,,,,,,,0.2,,8.5,,8.4,
