,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,254,255.0,,,0.1,5.5,5.6,,14.5,,0,,0,,,330,,,,1013.3,,,0,,,,0.1,,,,0,,,,,,,1.3,3.8,6.8,5.2,6.8,7.4
2018-01-01 01:40:00,232,238.0,,,,6.4,6.1,,13.5,,0,,0,,,322,,,,1015.2,,,0,,,,0.0,,,,0,,,,,,,1.1,,6.9,6.1,7.1,
2018-01-01 02:40:00,254,260.0,,,,5.7,6.7,,13.0,,0,,0,,,328,,,,1016.8,,,0,,,,1.1,,,,0,,,,,,,2.2,,6.5,3.9,5.0,
2018-01-01 03:40:00,253,262.0,,,,5.2,4.8,,12.3,,0,,0,,,326,,,,1017.2,,,0,,,,0.9,,,,0,,,,,,,2.8,,4.7,3.5,4.4,
2018-01-01 04:40:00,258,253.0,,,,5.8,6.3,,11.5,,0,,0,,,315,,0.0,,1016.9,,,0,,,,0.1,,0.0,,0,,,,,,,3.1,,4.8,4.0,5.1,
2018-01-01 05:40:00,254,249.0,,,,7.2,7.6,,15.4,,0,,0,,,328,,,,1018.0,,,0,,,,1.5,,,,0,,,,,,,2.5,,4.6,3.3,3.9,
2018-01-01 06:40:00,258,260.0,,,,6.5,6.1,,13.5,,0,,0,,,314,,,,1018.3,,,0,,,,0.0,,,,0,,,,,,,2.7,,4.2,3.2,4.2,
2018-01-01 07:40:00,260,257.0,,,,5.2,4.5,,11.1,,0,,0,,,291,,,,1018.4,,,27,,,,0.0,,,,7,,,,,,,2.6,,4.4,4.2,4.8,
2018-01-01 08:40:00,254,252.0,,,,6.2,6.2,,12.4,,0,,0,,,314,,,,1018.0,,,157,,,,0.1,,,,37,,,,,,,3.1,,5.4,5.7,5.6,
2018-01-01 09:40:00,247,245.0,,,,6.7,5.6,,13.3,,0,,0,,,296,,,,1017.6,,,222,,,,0.0,,,,32,,,,,,,2.8,,5.6,6.6,5.7,
2018-01-01 10:40:00,233,228.0,,,,6.0,6.5,,11.6,,0,,0,,,286,,,,1016.2,,,296,,,,0.0,,,,41,,,,,,,2.8,,6.2,6.8,6.4,
2018-01-01 11:40:00,236,232.0,,,,6.8,6.4,,13.2,,0,,0,,,293,,,,1014.5,,,258,,,,0.0,,,,26,,,,,,,2.7,,6.7,7.3,6.5,
2018-01-01 12:40:00,240,243.0,,,,7.7,7.8,,16.8,,0,,0,,,300,,,,1011.8,,,144,,,,0.0,,,,1,,,,,,,1.9,,6.4,6.2,6.3,
2018-01-01 13:40:00,238,250.0,,,,8.0,7.8,,17.6,,0,,0,,,314,,,,1010.0,,,72,,,,0.0,,,,0,,,,,,,0.4,,6.4,5.9,6.4,
2018-01-01 14:40:00,252,245.0,,,,8.7,7.9,,17.0,,0,,0,,,322,,,,1008.5,,,23,,,,0.0,,,,0,,,,,,,-0.1,,6.4,5.8,6.5,
2018-01-01 15:40:00,248,247.0,,,,9.0,7.3,,19.3,,0,,0,,,326,,,,1008.1,,,0,,,,0.2,,,,0,,,,,,,2.0,,4.9,3.6,4.8,
2018-01-01 16:40:00,243,236.0,,,,8.4,8.3,,16.3,,0,,0,,,327,,,,1008.1,,,0,,,,1.7,,,,0,,,,,,,2.4,,4.1,3.2,3.9,
2018-01-01 17:40:00,240,244.0,,,,8.3,7.9,,16.3,,0,,0,,,327,,,,1008.2,,,0,,,,0.9,,,,0,,,,,,,2.8,,4.1,3.5,4.3,
2018-01-01 18:40:00,241,237.0,,,,8.5,9.3,,16.8,,0,,0,,,330,,,,1008.9,,,0,,,,0.2,,,,0,,,,,,,3.1,,4.6,4.0,4.8,
2018-01-01 19:40:00,242,247.0,,,,8.6,7.9,,16.5,,0,,0,,,330,,,,1010.0,,,0,,,,1.9,,,,0,,,,,,,3.5,,4.7,3.9,4.7,
2018-01-01 20:40:00,252,239.0,,,,7.1,6.9,,13.8,,0,,0,,,332,,,,1011.8,,,0,,,,0.5,,,,0,,,,,,,3.2,,4.8,3.9,4.8,
2018-01-01 21:40:00,247,273.0,,,,4.4,3.2,,9.5,,0,,0,,,323,,,,1013.6,,,0,,,,0.4,,,,0,,,,,,,2.9,,5.0,3.8,4.9,
2018-01-01 22:40:00,255,265.0,,,,4.3,3.4,,12.4,,0,,0,,,327,,,,1014.7,,,0,,,,0.1,,,,0,,,,,,,2.9,,5.2,3.8,4.7,
2018-01-01 23:40:00,240,221.0,,,,4.5,4.5,,9.8,,0,,0,,,310,,,,1015.3,,,0,,,,0.7,,,,0,,,,,,,0.7,,4.8,2.6,5.1,
2018-01-02 00:40:00,239,255.0,,,0.1,5.0,4.9,,14.0,,0,,0,,,318,,,,1015.9,,,0,,,,0.0,,,,0,,,,,,,1.5,3.5,5.0,3.2,4.6,6.5
2018-01-02 01:40:00,235,216.0,,,,3.9,1.8,,9.6,,0,,0,,,292,,,,1016.2,,,0,,,,0.1,,,,0,,,,,,,1.2,,4.5,1.8,4.3,
2018-01-02 02:40:00,239,241.0,,,,2.7,2.5,,11.0,,0,,0,,,256,,,,1016.2,,,0,,,,0.0,,,,0,,,,,,,0.0,,4.9,1.8,5.2,
2018-01-02 03:40:00,253,260.0,,,,4.4,5.3,,13.6,,0,,0,,,290,,,,1016.7,,,0,,,,0.1,,,,0,,,,,,,0.6,,4.9,2.3,4.7,
2018-01-02 04:40:00,236,243.0,,,,2.8,1.4,,11.8,,0,,0,,,279,,0.0,,1017.8,,,0,,,,0.0,,0.0,,0,,,,,,,1.2,,4.3,1.3,4.2,
2018-01-02 05:40:00,253,248.0,,,,4.1,4.4,,10.8,,0,,0,,,270,,,,1018.3,,,0,,,,0.0,,,,0,,,,,,,1.0,,4.5,2.1,4.2,
2018-01-02 06:40:00,238,237.0,,,,3.0,1.4,,8.2,,0,,0,,,251,,,,1019.5,,,0,,,,0.0,,,,0,,,,,,,0.2,,4.1,1.0,4.2,
2018-01-02 07:40:00,257,253.0,,,,3.3,3.3,,9.4,,0,,0,,,294,,,,1020.7,,,4,,,,0.0,,,,0,,,,,,,1.2,,3.8,2.1,3.5,
2018-01-02 08:40:00,261,253.0,,,,2.8,2.4,,8.5,,0,,0,,,317,,,,1021.6,,,28,,,,0.3,,,,0,,,,,,,1.8,,4.0,3.2,4.3,
2018-01-02 09:40:00,257,267.0,,,,3.6,4.7,,8.8,,0,,0,,,311,,,,1022.0,,,79,,,,0.0,,,,1,,,,,,,1.5,,4.9,4.5,5.2,
2018-01-02 10:40:00,247,235.0,,,,4.3,5.0,,9.2,,0,,0,,,310,,,,1021.3,,,193,,,,0.0,,,,12,,,,,,,2.0,,5.9,5.8,6.1,
2018-01-02 11:40:00,240,237.0,,,,4.6,4.9,,9.1,,0,,0,,,315,,,,1020.5,,,157,,,,0.0,,,,9,,,,,,,1.8,,6.1,6.9,6.5,
2018-01-02 12:40:00,234,239.0,,,,6.1,5.6,,11.5,,0,,0,,,315,,,,1020.1,,,165,,,,0.0,,,,2,,,,,,,1.7,,6.2,6.4,6.2,
2018-01-02 13:40:00,236,232.0,,,,6.6,6.7,,12.8,,0,,0,,,312,,,,1020.3,,,97,,,,0.0,,,,2,,,,,,,1.6,,6.0,5.6,5.8,
2018-01-02 14:40:00,233,232.0,,,,6.4,5.9,,14.0,,0,,0,,,301,,,,1020.2,,,63,,,,0.0,,,,0,,,,,,,1.0,,5.9,5.4,6.1,
2018-01-02 15:40:00,238,242.0,,,,5.8,3.7,,13.8,,0,,0,,,311,,,,1019.8,,,10,,,,0.0,,,,0,,,,,,,0.7,,5.9,4.8,5.7,
2018-01-02 16:40:00,246,249.0,,,,3.8,3.4,,9.6,,0,,0,,,314,,,,1019.5,,,0,,,,0.0,,,,0,,,,,,,0.9,,5.6,4.7,5.6,
