,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,262,269.0,,,0.1,9.1,7.8,,22.1,,0,,0,,,,,,,1013.6,,,0.0,,,,0.1,,,,0.0,,,,,,,1.4,4.1,7.7,,7.5,8.3
2018-01-01 01:40:00,226,225.0,,,,8.6,8.4,,22.4,,0,,0,,,,,,,1015.4,,,0.0,,,,0.0,,,,0.0,,,,,,,1.6,,7.6,,7.4,
2018-01-01 02:40:00,232,236.0,,,,7.5,9.5,,17.9,,0,,0,,,,,,,1016.6,,,0.0,,,,0.0,,,,0.0,,,,,,,2.1,,7.1,,6.4,
2018-01-01 03:40:00,229,230.0,,,,6.5,6.7,,22.4,,0,,0,,,,,,,1017.7,,,0.0,,,,1.1,,,,0.0,,,,,,,3.1,,5.2,,4.8,
2018-01-01 04:40:00,228,233.0,,,,3.8,4.7,,9.6,,0,,0,,,,,,,1017.4,,,0.0,,,,0.0,,,,0.0,,,,,,,3.3,,4.8,,5.2,
2018-01-01 05:40:00,236,238.0,,,,6.8,9.1,,16.1,,0,,0,,,,,,,1018.2,,,0.0,,,,2.0,,,,0.0,,,,,,,2.6,,5.1,,4.5,
2018-01-01 06:40:00,228,230.0,,,,7.3,5.5,,13.0,,0,,0,,,,,,,1018.6,,,0.0,,,,0.2,,,,0.0,,,,,,,2.6,,4.5,,4.5,
2018-01-01 07:40:00,227,225.0,,,,5.1,4.9,,8.9,,0,,0,,,,,,,1018.7,,,14.0,,,,0.0,,,,4.0,,,,,,,2.6,,4.5,,4.6,
2018-01-01 08:40:00,224,222.0,,,,5.6,6.5,,10.7,,0,,0,,,,,,,1018.5,,,57.0,,,,0.0,,,,10.0,,,,,,,2.9,,5.2,,5.3,
2018-01-01 09:40:00,224,234.0,,,,7.0,5.8,,11.4,,0,,0,,,,,,,1018.3,,,85.0,,,,0.0,,,,0.0,,,,,,,3.0,,5.3,,5.4,
2018-01-01 10:40:00,234,230.0,,,,6.1,5.3,,11.0,,0,,0,,,,,,,1016.8,,,227.0,,,,0.0,,,,25.0,,,,,,,3.5,,6.0,,6.2,
2018-01-01 11:40:00,225,224.0,,,,6.7,7.8,,13.3,,0,,0,,,,,,,1014.7,,,251.0,,,,0.0,,,,43.0,,,,,,,3.3,,6.7,,7.0,
2018-01-01 12:40:00,228,233.0,,,,7.1,6.8,,12.9,,0,,0,,,,,,,1012.3,,,152.0,,,,0.0,,,,3.0,,,,,,,2.6,,6.6,,6.5,
2018-01-01 13:40:00,236,234.0,,,,9.0,9.0,,16.7,,0,,0,,,,,,,1010.5,,,71.0,,,,0.0,,,,0.0,,,,,,,1.8,,6.5,,6.5,
2018-01-01 14:40:00,234,233.0,,,,8.1,8.6,,13.9,,0,,0,,,,,,,1008.7,,,22.0,,,,0.0,,,,0.0,,,,,,,0.6,,6.6,,6.7,
2018-01-01 15:40:00,239,241.0,,,,9.5,8.3,,17.1,,0,,0,,,,,,,1008.6,,,1.0,,,,0.0,,,,0.0,,,,,,,2.1,,5.4,,5.0,
2018-01-01 16:40:00,236,233.0,,,,9.1,9.1,,15.6,,0,,0,,,,,,,1008.5,,,0.0,,,,2.1,,,,0.0,,,,,,,2.5,,4.4,,4.2,
2018-01-01 17:40:00,236,234.0,,,,8.3,7.7,,14.3,,0,,0,,,,,,,1008.8,,,0.0,,,,1.0,,,,0.0,,,,,,,2.8,,4.2,,4.4,
2018-01-01 18:40:00,235,234.0,,,,8.6,8.4,,13.1,,0,,0,,,,,,,1009.3,,,0.0,,,,0.4,,,,0.0,,,,,,,3.5,,4.8,,5.0,
2018-01-01 19:40:00,237,237.0,,,,9.4,8.6,,17.1,,0,,0,,,,,,,1010.4,,,0.0,,,,2.3,,,,0.0,,,,,,,3.4,,5.0,,4.9,
2018-01-01 20:40:00,227,219.0,,,,9.3,9.7,,15.9,,0,,0,,,,,,,1011.9,,,0.0,,,,0.7,,,,0.0,,,,,,,3.6,,5.1,,5.2,
2018-01-01 21:40:00,207,210.0,,,,8.3,7.0,,17.2,,0,,0,,,,,,,1013.6,,,0.0,,,,0.2,,,,0.0,,,,,,,2.3,,5.6,,5.8,
2018-01-01 22:40:00,219,234.0,,,,5.3,5.6,,11.6,,0,,0,,,,,,,1014.9,,,0.0,,,,0.3,,,,0.0,,,,,,,2.3,,5.6,,5.5,
2018-01-01 23:40:00,234,222.0,,,,6.6,7.1,,18.1,,0,,0,,,,,,,1015.2,,,0.0,,,,1.0,,,,0.0,,,,,,,0.1,,5.4,,5.9,
2018-01-02 00:40:00,235,250.0,,,0.1,6.0,7.6,,14.0,,0,,0,,,,,,,1016.1,,,0.0,,,,0.3,,,,0.0,,,,,,,1.5,3.7,5.6,,5.3,6.5
2018-01-02 01:40:00,234,227.0,,,,6.0,4.9,,12.0,,0,,0,,,,,,,1016.1,,,0.0,,,,0.1,,,,0.0,,,,,,,1.0,,5.2,,5.3,
2018-01-02 02:40:00,254,253.0,,,,5.3,6.1,,12.6,,0,,0,,,,,,,1016.4,,,0.0,,,,0.1,,,,0.0,,,,,,,0.5,,5.5,,5.5,
2018-01-02 03:40:00,251,258.0,,,,5.8,5.3,,13.5,,0,,0,,,,,,,1016.8,,,0.0,,,,0.4,,,,0.0,,,,,,,0.7,,5.3,,5.3,
2018-01-02 04:40:00,250,246.0,,,,6.1,4.8,,14.6,,0,,0,,,,,,,1017.8,,,0.0,,,,0.2,,,,0.0,,,,,,,1.1,,5.3,,5.0,
2018-01-02 05:40:00,246,236.0,,,,5.8,5.9,,10.7,,0,,0,,,,,,,1018.3,,,0.0,,,,0.0,,,,0.0,,,,,,,-0.3,,5.5,,5.6,
2018-01-02 06:40:00,237,244.0,,,,5.6,5.7,,10.9,,0,,0,,,,,,,1019.4,,,0.0,,,,0.0,,,,0.0,,,,,,,-0.6,,5.4,,5.3,
2018-01-02 07:40:00,245,276.0,,,,4.4,2.4,,10.6,,0,,0,,,,,,,1020.8,,,4.0,,,,0.1,,,,0.0,,,,,,,1.1,,4.9,,4.2,
2018-01-02 08:40:00,230,220.0,,,,3.6,3.9,,7.5,,0,,0,,,,,,,1021.8,,,55.0,,,,0.0,,,,0.0,,,,,,,1.7,,4.3,,4.6,
2018-01-02 09:40:00,229,229.0,,,,5.3,5.6,,9.5,,0,,0,,,,,,,1022.2,,,101.0,,,,0.0,,,,6.0,,,,,,,1.7,,5.4,,5.6,
2018-01-02 10:40:00,229,228.0,,,,6.6,7.0,,10.6,,0,,0,,,,,,,1021.6,,,181.0,,,,0.0,,,,20.0,,,,,,,1.8,,6.0,,5.9,
2018-01-02 11:40:00,228,225.0,,,,6.3,6.4,,10.7,,0,,0,,,,,,,1020.9,,,158.0,,,,0.0,,,,0.0,,,,,,,1.8,,6.2,,6.2,
2018-01-02 12:40:00,232,238.0,,,,6.7,6.4,,10.8,,0,,0,,,,,,,1020.4,,,167.0,,,,0.0,,,,4.0,,,,,,,2.3,,6.4,,6.3,
2018-01-02 13:40:00,230,228.0,,,,6.6,5.3,,11.6,,0,,0,,,,,,,1020.7,,,91.0,,,,0.0,,,,0.0,,,,,,,2.5,,6.2,,6.0,
2018-01-02 14:40:00,229,224.0,,,,6.1,5.7,,10.9,,0,,0,,,,,,,1020.8,,,53.0,,,,0.0,,,,0.0,,,,,,,2.1,,6.0,,5.9,
2018-01-02 15:40:00,217,225.0,,,,5.3,5.2,,9.0,,0,,0,,,,,,,1020.2,,,8.0,,,,0.0,,,,0.0,,,,,,,2.0,,5.9,,5.8,
2018-01-02 16:40:00,225,219.0,,,,3.9,3.6,,7.7,,0,,0,,,,,,,1020.0,,,0.0,,,,0.0,,,,0.0,,,,,,,2.0,,5.7,,5.6,
2018-01-02 17:40:00,229,236.0,,,,3.2,3.5,,6.4,,0,,0,,,,,,,1020.4,,,0.0,,,,0.1,,,,0.0,,,,,,,2.0,,5.5,,5.6,
