,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,242,240.0,,1,0.0,5.9,4.3,,16.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.7,-0.9,1.0,0.1,0.9,1.4
2018-01-01 01:40:00,226,242.0,,0,,4.7,4.1,,14.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.8,,1.2,0.5,0.9,
2018-01-01 02:40:00,247,248.0,,1,,5.8,5.5,,15.4,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.4,,0.8,-0.3,-0.3,
2018-01-01 03:40:00,239,240.0,,0,,5.3,5.1,,14.4,,0,,0,,,,,,,,,,0,,,,0.3,,,,0,,,,,,,-0.9,,0.2,-0.2,0.3,
2018-01-01 04:40:00,239,230.0,,0,,4.1,4.6,,10.4,,0,,0,,,,,0.0,,,,,0,,,,0.0,,28.0,,0,,,,,,,-0.4,,0.3,-0.1,0.5,
2018-01-01 05:40:00,231,237.0,,1,,6.6,6.1,,15.5,,0,,0,,,,,,,,,,0,,,,1.1,,,,0,,,,,,,-0.7,,0.1,-0.4,-0.3,
2018-01-01 06:40:00,250,240.0,,0,,4.2,4.6,,11.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.3,,-0.2,-0.7,-0.3,
2018-01-01 07:40:00,238,238.0,,26,,4.6,4.6,,11.9,,0,,0,,,,,,,,,,23,,,,0.0,,,,0,,,,,,,-1.4,,-0.1,0.1,0.0,
2018-01-01 08:40:00,241,241.0,,93,,5.5,5.6,,11.9,,0,,0,,,,,,,,,,94,,,,0.1,,,,1,,,,,,,-1.4,,-0.1,0.1,0.3,
2018-01-01 09:40:00,240,234.0,,131,,5.5,4.6,,11.8,,0,,0,,,,,,,,,,156,,,,0.0,,,,6,,,,,,,-1.1,,0.1,0.2,-0.1,
2018-01-01 10:40:00,230,224.0,,164,,5.2,4.9,,11.2,,0,,0,,,,,,,,,,178,,,,0.1,,,,3,,,,,,,-0.6,,0.2,0.1,0.0,
2018-01-01 11:40:00,226,223.0,,136,,5.9,6.1,,14.0,,0,,0,,,,,,,,,,140,,,,0.0,,,,0,,,,,,,-0.6,,0.3,0.3,0.6,
2018-01-01 12:40:00,223,236.0,,126,,6.6,6.1,,15.7,,0,,0,,,,,,,,,,125,,,,0.0,,,,0,,,,,,,-1.0,,0.3,-0.1,0.2,
2018-01-01 13:40:00,230,227.0,,69,,7.1,7.4,,18.1,,0,,0,,,,,,,,,,65,,,,0.0,,,,0,,,,,,,-2.5,,0.4,-0.4,0.5,
2018-01-01 14:40:00,231,230.0,,25,,7.3,7.0,,17.2,,0,,0,,,,,,,,,,19,,,,0.0,,,,0,,,,,,,-2.9,,0.5,-0.4,0.6,
