,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,228,225.0,,,0.1,5.9,6.3,,12.8,,0,,0,,,333,339.0,,,1014.8,,,0.0,,-4,,0.3,,,,0,,,5.2,5.1,5.3,4.9,2.5,3.9,6.7,4.5,6.1,7.3
2018-01-01 01:40:00,213,208.0,,,,6.0,5.3,,12.8,,0,,0,,,325,335.0,,,1016.2,,,0.0,,-3,,0.1,,,,0,,,5.2,5.2,5.2,,2.6,,6.0,4.4,5.7,
2018-01-01 02:40:00,201,215.0,,,,5.6,4.6,,11.1,,0,,0,,,324,334.0,,,1016.9,,,0.0,,-4,,0.0,,,,0,,,5.1,5.1,5.0,,2.1,,5.1,3.8,4.9,
2018-01-01 03:40:00,220,228.0,,,,4.3,6.1,,11.3,,0,,0,,,324,333.0,,,1017.1,,,0.0,,-3,,0.9,,,,0,,,5.0,5.1,4.8,,2.4,,5.0,3.9,5.3,
2018-01-01 04:40:00,216,213.0,,,,5.2,4.8,,10.3,,0,,0,,,307,332.0,0.0,,1017.3,,,0.0,,-3,,0.0,,0.0,,0,,,4.9,5.1,4.7,,1.9,,5.4,3.9,5.3,
2018-01-01 05:40:00,220,218.0,,,,4.6,5.9,,9.5,,0,,0,,,324,332.0,,,1017.9,,,0.0,,-3,,0.7,,,,0,,,4.8,5.1,4.6,,2.8,,5.0,3.7,4.7,
2018-01-01 06:40:00,228,218.0,,,,4.1,5.0,,8.7,,0,,0,,,293,329.0,,,1018.7,,,0.0,,-3,,0.2,,,,0,,,4.8,5.0,4.5,,2.1,,4.4,2.8,4.4,
2018-01-01 07:40:00,218,220.0,,,,4.8,4.2,,9.3,,0,,0,,,247,324.0,,,1018.7,,,9.0,,-2,,0.0,,,,0,,,4.6,5.0,4.2,,1.3,,4.3,2.6,4.4,
2018-01-01 08:40:00,220,221.0,,,,5.0,4.7,,10.4,,0,,0,,,263,330.0,,,1018.3,,,89.0,,18,,0.0,,,,29,,,4.5,4.9,4.1,,2.0,,4.7,5.3,5.2,
2018-01-01 09:40:00,220,215.0,,,,5.3,4.8,,10.3,,0,,0,,,276,337.0,,,1018.0,,,141.0,,28,,0.0,,,,20,,,4.5,4.8,4.5,,1.9,,5.3,6.5,5.7,
2018-01-01 10:40:00,216,218.0,,,,5.7,6.2,,11.6,,0,,0,,,249,347.0,,,1016.1,,,306.0,,71,,0.0,,,,57,,,4.7,4.8,5.3,,1.2,,6.6,8.0,7.0,
2018-01-01 11:40:00,224,225.0,,,,6.9,7.1,,13.7,,0,,0,,,270,351.0,,,1014.3,,,305.0,,69,,0.0,,,,44,,,5.1,4.8,5.9,,0.5,,7.1,7.7,7.3,
