,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,237,240.0,,,0.1,6.4,6.8,,11.5,,0,,0,,,,,,,,,,0,,,,1.2,,,28.0,0,,,0.7,0.6,0.2,0.2,-0.1,0.6,1.2,0.9,1.5,2.3
2018-01-01 01:40:00,241,242.0,,,,6.5,5.0,,11.9,,0,,0,,,,,,,,,,0,,,,0.0,,,28.0,0,,,0.6,0.6,0.2,,0.5,,1.7,1.4,1.7,
2018-01-01 02:40:00,230,235.0,,,,5.4,5.2,,13.0,,0,,0,,,,,,,,,,0,,,,0.0,,,28.0,0,,,0.7,0.6,0.2,,-0.6,,1.5,0.8,1.2,
2018-01-01 03:40:00,241,240.0,,,,5.0,5.4,,9.7,,0,,0,,,,,,,,,,0,,,,0.3,,,28.0,0,,,0.7,0.6,0.2,,0.2,,1.5,1.2,1.4,
2018-01-01 04:40:00,236,235.0,,,,3.5,2.9,,8.8,,0,,0,,,,,2.0,,,,,0,,,,0.1,,17.0,28.0,0,,,0.7,0.6,0.2,,0.0,,1.7,1.3,1.7,
2018-01-01 05:40:00,238,230.0,,,,4.1,4.5,,9.2,,0,,0,,,,,,,,,,0,,,,1.7,,,29.0,0,,,0.7,0.6,0.2,,-0.3,,1.2,0.6,1.1,
2018-01-01 06:40:00,239,237.0,,,,4.1,3.3,,8.5,,0,,0,,,,,,,,,,0,,,,0.2,,,29.0,0,,,0.7,0.6,0.2,,-0.5,,1.1,0.8,1.2,
2018-01-01 07:40:00,241,241.0,,,,4.9,3.7,,9.8,,0,,0,,,,,,,,,,6,,,,0.2,,,30.0,0,,,0.7,0.6,0.1,,-0.3,,1.1,0.6,0.8,
2018-01-01 08:40:00,241,242.0,,,,5.8,5.9,,10.3,,0,,0,,,,,,,,,,60,,,,0.0,,,30.0,0,,,0.7,0.6,0.2,,-0.7,,1.2,1.4,1.4,
2018-01-01 09:40:00,234,220.0,,,,5.3,5.3,,11.6,,0,,0,,,,,,,,,,116,,,,0.0,,,30.0,3,,,0.7,0.6,0.2,,-1.0,,1.4,1.7,1.5,
