,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,354,23.0,,0.0,0.2,2.1,1.3,,7.2,,0,,0,,,313,,,,,,,1,,,,0.0,,,,0,,,,,,,0.9,-0.1,1.2,,2.8,8.0
2018-01-01 01:40:00,29,27.0,,1.0,,4.1,4.5,,8.7,,0,,0,,,329,,,,,,,2,,,,0.5,,,,0,,,,,,,3.0,,4.3,,4.1,
2018-01-01 02:40:00,333,306.0,,1.0,,1.8,2.1,,5.6,,0,,0,,,331,,,,,,,3,,,,0.8,,,,0,,,,,,,2.1,,3.5,,3.6,
2018-01-01 03:40:00,247,239.0,,1.0,,1.5,1.6,,3.0,,0,,0,,,327,,,,,,,2,,,,1.2,,,,0,,,,,,,2.0,,2.4,,2.1,
2018-01-01 04:40:00,194,137.0,,1.0,,1.4,1.2,,3.9,,0,,0,,,318,,,,,,,2,,,,0.1,,,,0,,,,,,,1.5,,1.8,,1.6,
2018-01-01 05:40:00,240,227.0,,1.0,,2.0,2.3,,4.5,,0,,0,,,293,,,,,,,2,,,,0.0,,,,0,,,,,,,1.8,,1.9,,2.0,
2018-01-01 06:40:00,342,12.0,,1.0,,1.3,1.0,,3.3,,0,,0,,,295,,,,,,,2,,,,0.0,,,,0,,,,,,,1.3,,1.8,,1.4,
2018-01-01 07:40:00,34,46.0,,5.0,,1.6,0.9,,4.0,,0,,0,,,266,,,,,,,6,,,,0.0,,,,0,,,,,,,0.8,,1.0,,0.9,
2018-01-01 08:40:00,225,203.0,,30.0,,1.8,1.8,,4.7,,0,,0,,,265,,,,,,,32,,,,0.0,,,,0,,,,,,,0.6,,1.6,,1.2,
2018-01-01 09:40:00,185,195.0,,47.0,,1.9,2.9,,6.5,,0,,0,,,245,,,,,,,163,,,,0.0,,,,34,,,,,,,-0.6,,2.5,,4.7,
2018-01-01 10:40:00,227,231.0,,57.0,,4.2,4.9,,7.9,,0,,0,,,251,,,,,,,309,,,,0.0,,,,58,,,,,,,-3.4,,5.7,,6.4,
2018-01-01 11:40:00,221,207.0,,49.0,,4.6,4.9,,7.9,,0,,0,,,248,,,,,,,356,,,,0.0,,,,60,,,,,,,-2.8,,6.6,,6.3,
2018-01-01 12:40:00,204,199.0,,58.0,,4.2,3.8,,6.5,,0,,0,,,249,,,,,,,321,,,,0.0,,,,60,,,,,,,-5.7,,6.6,,7.1,
2018-01-01 13:40:00,218,252.0,,134.0,,4.7,3.2,,9.3,,0,,0,,,273,,,,,,,169,,,,0.0,,,,11,,,,,,,-6.1,,7.6,,7.4,
2018-01-01 14:40:00,10,36.0,,75.0,,3.3,2.7,,6.3,,0,,0,,,294,,,,,,,77,,,,0.0,,,,0,,,,,,,-3.2,,6.1,,5.6,
2018-01-01 15:40:00,270,218.0,,14.0,,1.1,0.8,,2.6,,0,,0,,,311,,,,,,,15,,,,0.0,,,,0,,,,,,,-1.7,,4.2,,3.8,
2018-01-01 16:40:00,241,241.0,,1.0,,5.1,7.0,,10.7,,0,,0,,,323,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.3,,6.4,,7.1,
2018-01-01 17:40:00,250,255.0,,2.0,,6.3,5.9,,12.4,,0,,0,,,332,,,,,,,3,,,,0.0,,,,0,,,,,,,1.3,,6.0,,5.7,
2018-01-01 18:40:00,252,250.0,,1.0,,6.5,6.1,,10.9,,0,,0,,,333,,,,,,,2,,,,0.2,,,,0,,,,,,,1.5,,5.3,,5.2,
2018-01-01 19:40:00,247,241.0,,1.0,,5.9,6.0,,10.8,,0,,0,,,328,,,,,,,2,,,,0.0,,,,0,,,,,,,1.1,,5.1,,5.0,
2018-01-01 20:40:00,215,201.0,,1.0,,4.7,4.3,,8.0,,0,,0,,,330,,,,,,,2,,,,0.2,,,,0,,,,,,,1.5,,4.3,,4.0,
2018-01-01 21:40:00,53,58.0,,1.0,,2.5,1.9,,5.3,,0,,0,,,328,,,,,,,3,,,,0.4,,,,0,,,,,,,2.3,,3.6,,2.9,
2018-01-01 22:40:00,14,14.0,,1.0,,1.8,1.1,,4.7,,0,,0,,,324,,,,,,,2,,,,1.4,,,,0,,,,,,,1.6,,2.5,,2.1,
2018-01-01 23:40:00,360,103.0,,1.0,,1.9,0.4,,4.9,,0,,0,,,292,,,,,,,2,,,,0.0,,,,0,,,,,,,1.4,,2.2,,2.3,
2018-01-02 00:40:00,203,120.0,,1.0,0.1,1.5,0.7,,4.4,,0,,0,,,324,,,,,,,2,,,,0.4,,,,0,,,,,,,1.1,0.3,2.1,,1.6,4.7
2018-01-02 01:40:00,360,282.0,,1.0,,1.5,2.0,,3.3,,0,,0,,,302,,,,,,,2,,,,0.0,,,,0,,,,,,,1.2,,1.3,,1.4,
2018-01-02 02:40:00,171,94.0,,1.0,,1.7,2.3,,4.0,,0,,0,,,311,,,,,,,2,,,,0.0,,,,0,,,,,,,0.6,,1.4,,1.2,
2018-01-02 03:40:00,356,264.0,,0.0,,2.0,2.1,,5.5,,0,,0,,,319,,,,,,,2,,,,0.2,,,,0,,,,,,,0.5,,1.1,,0.9,
2018-01-02 04:40:00,229,228.0,,0.0,,1.5,0.7,,3.7,,0,,0,,,323,,,,,,,2,,,,0.8,,,,0,,,,,,,0.4,,0.6,,0.5,
2018-01-02 05:40:00,214,293.0,,0.0,,1.0,0.7,,2.7,,0,,0,,,325,,,,,,,2,,,,0.5,,,,0,,,,,,,0.4,,0.5,,0.5,
2018-01-02 06:40:00,27,184.0,,0.0,,1.7,1.3,,3.2,,0,,0,,,321,,,,,,,2,,,,0.5,,,,0,,,,,,,0.4,,0.4,,0.5,
2018-01-02 07:40:00,346,27.0,,5.0,,1.5,1.1,,3.4,,0,,0,,,308,,,,,,,6,,,,0.1,,,,0,,,,,,,0.5,,0.6,,0.6,
2018-01-02 08:40:00,225,274.0,,40.0,,1.3,1.2,,2.7,,0,,0,,,306,,,,,,,42,,,,0.0,,,,0,,,,,,,0.9,,0.8,,1.2,
2018-01-02 09:40:00,225,266.0,,105.0,,1.2,1.3,,3.2,,0,,0,,,299,,,,,,,113,,,,0.0,,,,0,,,,,,,0.8,,1.6,,1.9,
2018-01-02 10:40:00,31,108.0,,158.0,,0.9,0.4,,3.9,,0,,0,,,292,,,,,,,217,,,,0.0,,,,12,,,,,,,1.1,,2.1,,2.5,
2018-01-02 11:40:00,236,244.0,,175.0,,1.0,0.8,,3.1,,0,,0,,,283,,,,,,,221,,,,0.0,,,,9,,,,,,,0.4,,2.9,,3.2,
2018-01-02 12:40:00,256,262.0,,128.0,,3.4,4.0,,8.0,,0,,0,,,293,,,,,,,128,,,,0.0,,,,0,,,,,,,-4.5,,4.2,,4.5,
2018-01-02 13:40:00,260,241.0,,110.0,,3.7,1.6,,8.3,,0,,0,,,291,,,,,,,111,,,,0.0,,,,0,,,,,,,-3.2,,4.3,,3.8,
2018-01-02 14:40:00,265,217.0,,55.0,,1.5,0.3,,5.1,,0,,0,,,296,,,,,,,56,,,,0.0,,,,0,,,,,,,-2.7,,3.5,,3.1,
2018-01-02 15:40:00,214,193.0,,7.0,,1.1,1.6,,3.1,,0,,0,,,301,,,,,,,9,,,,0.0,,,,0,,,,,,,-1.7,,2.5,,2.6,
2018-01-02 16:40:00,228,214.0,,1.0,,3.1,2.3,,7.1,,0,,0,,,306,,,,,,,2,,,,0.0,,,,0,,,,,,,-3.4,,3.7,,3.3,
2018-01-02 17:40:00,248,212.0,,1.0,,2.3,2.7,,4.9,,0,,0,,,311,,,,,,,2,,,,0.0,,,,0,,,,,,,-2.9,,3.2,,3.3,
2018-01-02 18:40:00,227,355.0,,1.0,,2.3,0.3,,5.9,,0,,0,,,314,,,,,,,2,,,,0.0,,,,0,,,,,,,-1.6,,3.0,,2.5,
2018-01-02 19:40:00,360,27.0,,1.0,,1.1,1.3,,2.8,,0,,0,,,317,,,,,,,2,,,,0.0,,,,0,,,,,,,-0.9,,2.2,,2.0,
2018-01-02 20:40:00,220,196.0,,1.0,,1.2,0.6,,3.0,,0,,0,,,321,,,,,,,2,,,,0.3,,,,0,,,,,,,0.0,,1.8,,1.4,
2018-01-02 21:40:00,360,156.0,,1.0,,0.8,1.0,,2.1,,0,,0,,,326,,,,,,,2,,,,2.4,,,,0,,,,,,,0.7,,1.0,,0.8,
2018-01-02 22:40:00,195,180.0,,0.0,,2.3,2.5,,5.0,,0,,0,,,326,,,,,,,2,,,,0.8,,,,0,,,,,,,0.6,,1.0,,1.1,
2018-01-02 23:40:00,222,216.0,,0.0,,1.9,0.8,,3.8,,0,,0,,,326,,,,,,,1,,,,0.1,,,,0,,,,,,,1.1,,1.2,,1.2,
2018-01-03 00:40:00,217,254.0,,0.0,0.1,2.1,0.7,,4.0,,0,,0,,,328,,,,,,,2,,,,0.1,,,,0,,,,,,,1.7,1.4,1.7,,1.9,13.4
2018-01-03 01:40:00,236,262.0,,1.0,,1.2,1.3,,4.0,,0,,0,,,327,,,,,,,2,,,,0.1,,,,0,,,,,,,1.6,,1.7,,1.7,
2018-01-03 02:40:00,24,324.0,,1.0,,1.8,0.7,,4.6,,0,,0,,,325,,,,,,,2,,,,0.0,,,,0,,,,,,,2.4,,2.0,,2.5,
2018-01-03 03:40:00,35,23.0,,1.0,,1.8,1.6,,5.4,,0,,0,,,336,,,,,,,2,,,,0.3,,,,0,,,,,,,3.6,,3.1,,3.7,
2018-01-03 04:40:00,230,232.0,,0.0,,6.6,8.7,,17.9,,0,,0,,,347,,,,,,,1,,,,0.0,,,,0,,,,,,,3.0,,9.6,,10.9,
2018-01-03 05:40:00,233,235.0,,1.0,,8.7,8.2,,15.3,,0,,0,,,351,,,,,,,2,,,,0.0,,,,0,,,,,,,3.5,,11.0,,11.0,
2018-01-03 06:40:00,233,237.0,,1.0,,8.5,8.1,,17.2,,0,,0,,,354,,,,,,,2,,,,0.0,,,,0,,,,,,,4.2,,11.1,,10.8,
2018-01-03 07:40:00,229,233.0,,5.0,,9.0,9.1,,16.2,,0,,0,,,358,,,,,,,7,,,,0.2,,,,0,,,,,,,5.0,,11.2,,11.4,
2018-01-03 08:40:00,221,211.0,,33.0,,9.5,9.4,,20.4,,0,,0,,,354,,,,,,,35,,,,0.0,,,,0,,,,,,,2.9,,11.9,,13.1,
2018-01-03 09:40:00,215,217.0,,41.0,,10.6,9.4,,20.3,,0,,0,,,356,,,,,,,43,,,,0.0,,,,0,,,,,,,4.2,,12.7,,11.5,
2018-01-03 10:40:00,205,192.0,,43.0,,7.7,8.4,,28.3,,0,,0,,,358,,,,,,,45,,,,0.2,,,,0,,,,,,,3.1,,12.7,,12.5,
2018-01-03 11:40:00,191,185.0,,39.0,,9.1,9.2,,29.5,,21,,0,,,354,,,,,,,41,,,,0.8,,,,0,,,,,,,2.0,,11.5,,10.8,
2018-01-03 12:40:00,86,52.0,,10.0,,5.3,4.0,,14.4,,12,,0,,,340,,,,,,,12,,,,3.3,,,,0,,,,,,,2.7,,5.6,,3.9,
2018-01-03 13:40:00,55,54.0,,5.0,,4.9,5.0,,12.2,,0,,0,,,330,,,,,,,6,,,,2.5,,,,0,,,,,,,1.7,,3.3,,2.9,
2018-01-03 14:40:00,288,7.0,,3.0,,3.0,1.5,,6.9,,0,,0,,,328,,,,,,,5,,,,1.3,,,,0,,,,,,,1.8,,2.7,,2.9,
2018-01-03 15:40:00,45,127.0,,2.0,,2.7,1.3,,7.6,,0,,0,,,328,,,,,,,4,,,,0.6,,,,0,,,,,,,2.1,,3.0,,3.0,
2018-01-03 16:40:00,36,47.0,,1.0,,3.2,5.1,,8.4,,0,,0,,,325,,,,,,,2,,,,0.1,,,,0,,,,,,,1.3,,2.6,,1.9,
2018-01-03 17:40:00,360,48.0,,0.0,,2.1,0.6,,6.9,,0,,0,,,312,,,,,,,2,,,,0.0,,,,0,,,,,,,1.5,,1.8,,2.0,
2018-01-03 18:40:00,201,197.0,,1.0,,2.0,2.8,,4.9,,0,,0,,,319,,,,,,,2,,,,0.3,,,,0,,,,,,,1.3,,1.9,,1.8,
2018-01-03 19:40:00,360,65.0,,1.0,,2.4,1.1,,5.2,,0,,0,,,320,,,,,,,2,,,,0.1,,,,0,,,,,,,1.4,,2.3,,2.4,
