,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,236,249.0,,,,1.6,0.8,,8.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.2,0.2,2.8,,1.9,5.1
2018-01-01 01:40:00,279,312.0,,,,1.2,0.7,,4.2,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.9,,2.2,,2.1,
2018-01-01 02:40:00,315,324.0,,,,1.0,0.9,,5.2,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,1.2,,1.8,,1.8,
2018-01-01 03:40:00,315,263.0,,,,1.2,0.8,,4.4,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,0.8,,1.5,,1.0,
2018-01-01 04:40:00,284,288.0,,,,1.0,0.7,,2.7,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.9,,0.9,,1.0,
2018-01-01 05:40:00,279,264.0,,,,1.4,1.4,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,1.1,,1.1,
2018-01-01 06:40:00,254,285.0,,,,1.9,1.2,,8.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.7,,1.6,,1.3,
2018-01-01 07:40:00,302,302.0,,,,1.0,0.9,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,1.1,,1.0,
2018-01-01 08:40:00,304,49.0,,,,1.0,0.5,,1.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.9,,1.5,,1.8,
2018-01-01 09:40:00,270,332.0,,,,0.7,0.3,,1.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.7,,2.2,,2.5,
2018-01-01 10:40:00,108,130.0,,,,0.9,0.6,,2.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.2,,3.7,,4.5,
2018-01-01 11:40:00,191,199.0,,,,3.2,5.0,,10.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.6,,4.6,,4.8,
2018-01-01 12:40:00,202,206.0,,,,5.7,5.4,,13.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.4,,4.5,,4.3,
2018-01-01 13:40:00,207,208.0,,,,5.2,3.7,,12.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.8,,4.5,,4.8,
2018-01-01 14:40:00,207,211.0,,,,4.8,2.5,,14.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.9,,4.8,,4.4,
2018-01-01 15:40:00,207,207.0,,,,4.9,6.1,,12.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.9,,3.6,,3.1,
2018-01-01 16:40:00,200,183.0,,,,3.1,1.9,,10.2,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,0.2,,2.5,,1.6,
2018-01-01 17:40:00,307,3.0,,,,1.2,1.7,,4.0,,0,,0,,,,,,,,,,,,,,1.9,,,,,,,,,,,0.3,,1.1,,0.6,
2018-01-01 18:40:00,16,30.0,,,,1.9,2.1,,4.3,,0,,0,,,,,,,,,,,,,,2.2,,,,,,,,,,,0.2,,0.4,,0.3,
2018-01-01 19:40:00,18,21.0,,,,2.0,2.1,,3.9,,0,,0,,,,,,,,,,,,,,3.4,,,,,,,,,,,0.1,,0.3,,0.2,
2018-01-01 20:40:00,21,323.0,,,,1.5,0.3,,4.6,,0,,0,,,,,,,,,,,,,,2.4,,,,,,,,,,,0.1,,0.3,,0.2,
2018-01-01 21:40:00,319,355.0,,,,1.1,1.1,,3.5,,0,,0,,,,,,,,,,,,,,2.8,,,,,,,,,,,0.6,,0.5,,0.7,
2018-01-01 22:40:00,261,249.0,,,,0.9,1.0,,2.9,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.4,,0.5,,0.5,
2018-01-01 23:40:00,254,241.0,,,,1.2,1.5,,4.1,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,0.3,,0.4,,0.4,
2018-01-02 00:40:00,248,326.0,,,,0.8,0.5,,2.3,,0,,0,,,,,,,,,,,,,,1.9,,,,,,,,,,,0.3,-0.7,0.3,,0.4,2.3
2018-01-02 01:40:00,277,266.0,,,,1.2,1.1,,5.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,0.4,,0.3,
2018-01-02 02:40:00,243,230.0,,,,1.4,0.5,,5.5,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.8,,0.1,,-0.2,
2018-01-02 03:40:00,270,270.0,,,,0.9,0.8,,3.9,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,-0.1,,-0.2,,0.0,
2018-01-02 04:40:00,292,282.0,,,,1.2,1.0,,5.5,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.1,,0.1,,0.0,
2018-01-02 05:40:00,294,282.0,,,,1.2,1.0,,4.7,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,-0.2,,0.0,,-0.1,
2018-01-02 06:40:00,294,287.0,,,,1.0,1.0,,2.0,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.2,,-0.1,,-0.1,
2018-01-02 07:40:00,300,302.0,,,,0.9,0.9,,2.5,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.2,,-0.1,,-0.1,
2018-01-02 08:40:00,284,281.0,,,,1.0,0.5,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.6,,0.2,,0.5,
2018-01-02 09:40:00,243,260.0,,,,1.3,0.9,,4.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.2,,0.5,,0.7,
2018-01-02 10:40:00,288,286.0,,,,1.0,0.8,,1.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.0,,1.1,,1.7,
2018-01-02 11:40:00,286,265.0,,,,0.9,0.8,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.8,,1.6,,1.4,
2018-01-02 12:40:00,293,283.0,,,,0.8,0.9,,2.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.9,,1.4,,1.4,
2018-01-02 13:40:00,285,289.0,,,,1.2,0.8,,3.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.5,,1.2,,1.0,
2018-01-02 14:40:00,275,264.0,,,,1.5,1.3,,7.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.0,,1.1,,0.9,
2018-01-02 15:40:00,279,254.0,,,,1.6,1.5,,4.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,0.4,,0.5,
2018-01-02 16:40:00,234,251.0,,,,2.0,1.8,,7.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,0.9,,0.9,
2018-01-02 17:40:00,253,287.0,,,,2.0,0.9,,6.1,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.2,,0.7,,0.4,
2018-01-02 18:40:00,315,335.0,,,,1.2,1.1,,5.1,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-1.2,,0.3,,0.3,
2018-01-02 19:40:00,347,15.0,,,,1.6,1.9,,5.9,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,-1.3,,0.2,,-0.1,
2018-01-02 20:40:00,16,25.0,,,,1.9,1.8,,5.5,,0,,0,,,,,,,,,,,,,,1.6,,,,,,,,,,,-0.8,,-0.4,,-0.6,
2018-01-02 21:40:00,63,71.0,,,,0.9,0.5,,2.9,,0,,0,,,,,,,,,,,,,,1.6,,,,,,,,,,,-0.8,,-0.6,,-0.7,
2018-01-02 22:40:00,45,52.0,,,,1.1,0.9,,3.7,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,-0.6,,-0.6,,-0.5,
2018-01-02 23:40:00,50,93.0,,,,1.4,0.4,,4.3,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,-0.5,,-0.4,,-0.4,
