,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,236,236.0,,1,0.1,7.4,7.2,,16.3,,0,,0,,,329,,,,1013.0,,,3,,,,0.6,,,,0,,,5.8,5.2,5.3,4.9,3.0,1.7,5.3,4.1,5.2,6.4
2018-01-01 01:40:00,239,237.0,,0,,6.9,6.2,,13.7,,0,,0,,,317,,,,1013.7,,,2,,,,0.0,,,,0,,,5.8,5.2,5.3,,2.9,,5.4,4.3,5.4,
2018-01-01 02:40:00,242,239.0,,0,,5.5,5.9,,11.0,,0,,0,,,316,,,,1014.4,,,2,,,,0.0,,,,0,,,5.7,5.2,5.2,,2.7,,5.6,4.7,5.7,
2018-01-01 03:40:00,237,237.0,,1,,7.0,7.0,,13.4,,0,,0,,,305,,,,1014.7,,,2,,,,0.0,,,,0,,,5.7,5.2,5.1,,1.9,,5.6,4.3,5.4,
2018-01-01 04:40:00,237,236.0,,1,,5.6,7.8,,13.2,,0,,0,,,325,,,,1015.2,,,3,,,,0.2,,,,0,,,5.6,5.2,5.1,,2.5,,5.1,3.7,4.8,
2018-01-01 05:40:00,235,238.0,,0,,5.9,5.6,,10.7,,0,,0,,,309,,,,1016.2,,,2,,,,0.2,,,,0,,,5.6,5.2,5.0,,2.3,,4.5,3.2,4.5,
2018-01-01 06:40:00,237,234.0,,0,,5.9,6.0,,10.0,,0,,0,,,268,,,,1016.6,,,2,,,,0.0,,,,0,,,5.6,5.2,4.9,,1.5,,4.3,3.1,4.5,
2018-01-01 07:40:00,234,236.0,,7,,6.2,6.8,,11.2,,0,,0,,,265,,,,1016.8,,,10,,,,0.0,,,,0,,,5.5,5.2,4.8,,1.2,,4.3,2.4,4.0,
2018-01-01 08:40:00,231,231.0,,74,,6.8,6.4,,11.9,,0,,0,,,271,,,,1016.7,,,110,,,,0.0,,,,29,,,5.4,5.2,4.8,,1.4,,4.3,4.5,4.7,
2018-01-01 09:40:00,228,227.0,,162,,7.5,6.6,,13.0,,0,,0,,,305,,,,1015.5,,,204,,,,0.0,,,,8,,,5.4,5.2,4.8,,1.2,,5.2,6.7,5.6,
2018-01-01 10:40:00,228,222.0,,93,,7.6,8.0,,14.3,,0,,0,,,262,,,,1014.0,,,204,,,,0.0,,,,29,,,5.4,5.1,4.8,,0.4,,5.2,6.2,5.7,
2018-01-01 11:40:00,218,216.0,,144,,6.4,6.6,,13.0,,0,,0,,,263,,,,1011.6,,,291,,,,0.0,,,,43,,,5.4,5.1,4.8,,-0.5,,6.0,6.8,6.1,
2018-01-01 12:40:00,213,212.0,,109,,6.0,5.5,,12.6,,0,,0,,,297,,,,1009.4,,,119,,,,0.0,,,,0,,,5.4,5.1,4.9,,-1.7,,5.9,5.2,5.9,
2018-01-01 13:40:00,211,209.0,,49,,6.5,6.9,,14.0,,0,,0,,,316,,,,1007.5,,,51,,,,0.0,,,,0,,,5.4,5.1,4.9,,-1.3,,5.8,5.1,5.7,
2018-01-01 14:40:00,217,216.0,,31,,8.6,8.0,,16.5,,0,,0,,,321,,,,1005.7,,,33,,,,0.2,,,,0,,,5.4,5.1,4.9,,0.1,,6.1,3.7,6.0,
2018-01-01 15:40:00,210,214.0,,7,,9.4,8.5,,18.5,,0,,0,,,311,,,,1004.5,,,10,,,,0.0,,,,0,,,5.4,5.1,4.8,,0.5,,6.1,4.8,5.9,
2018-01-01 16:40:00,217,222.0,,1,,9.0,8.8,,17.8,,0,,0,,,326,,,,1004.9,,,3,,,,0.2,,,,0,,,5.4,5.1,4.8,,2.2,,5.1,3.5,4.8,
2018-01-01 17:40:00,228,231.0,,0,,10.5,10.9,,20.3,,0,,0,,,315,,,,1004.9,,,2,,,,0.0,,,,0,,,5.4,5.1,4.8,,1.8,,5.5,4.1,5.5,
2018-01-01 18:40:00,235,236.0,,1,,9.7,9.4,,20.1,,0,,0,,,329,,,,1006.2,,,3,,,,0.2,,,,0,,,5.4,5.1,4.7,,2.7,,5.0,3.7,4.8,
2018-01-01 19:40:00,238,239.0,,0,,9.3,9.2,,17.9,,0,,0,,,329,,,,1007.7,,,2,,,,0.2,,,,0,,,5.3,5.1,4.7,,2.9,,4.5,3.6,4.5,
2018-01-01 20:40:00,242,245.0,,0,,8.8,7.2,,18.3,,0,,0,,,329,,,,1010.0,,,2,,,,0.2,,,,0,,,5.3,5.1,4.7,,2.8,,4.6,3.5,4.4,
