,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,250,249.0,,,0.1,7.8,8.0,,13.2,,0,,0,,,,,,,,,,0.0,,,,0.6,,,,0.0,,,,,,,-0.2,0.1,0.7,0.1,0.9,2.3
2018-01-01 01:40:00,249,249.0,,,,6.7,5.4,,11.7,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,1.1,0.5,1.1,
2018-01-01 02:40:00,248,244.0,,,,5.6,4.1,,12.2,,0,,0,,,,,,,,,,0.0,,,,1.2,,,,0.0,,,,,,,-0.5,,0.5,0.0,0.4,
2018-01-01 03:40:00,245,244.0,,,,5.1,6.2,,11.5,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,,,,,-0.2,,0.9,0.3,1.2,
2018-01-01 04:40:00,237,235.0,,,,5.8,5.9,,11.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,-0.2,,1.3,0.6,1.0,
2018-01-01 05:40:00,247,251.0,,,,5.8,6.3,,13.9,,0,,0,,,,,,,,,,0.0,,,,1.0,,,,0.0,,,,,,,-0.6,,0.6,0.1,0.8,
2018-01-01 06:40:00,244,247.0,,,,6.1,6.6,,10.2,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,-0.6,,0.8,0.5,0.8,
2018-01-01 07:40:00,242,243.0,,,,5.1,4.7,,10.7,,0,,0,,,,,,,,,,2.0,,,,0.4,,,,0.0,,,,,,,-0.4,,0.5,0.0,0.4,
2018-01-01 08:40:00,242,237.0,,,,6.3,5.9,,11.0,,0,,0,,,,,,,,,,84.0,,,,0.3,,,,17.0,,,,,,,-1.3,,0.8,0.7,0.9,
2018-01-01 09:40:00,230,228.0,,,,6.3,7.0,,11.3,,0,,0,,,,,,,,,,121.0,,,,0.0,,,,0.0,,,,,,,-1.4,,0.8,0.9,0.9,
2018-01-01 10:40:00,237,226.0,,,,6.5,3.9,,11.8,,0,,0,,,,,,,,,,264.0,,,,0.1,,,,30.0,,,,,,,-1.2,,1.0,1.6,1.1,
2018-01-01 11:40:00,209,188.0,,,,4.2,3.7,,9.0,,0,,0,,,,,,,,,,175.0,,,,0.0,,,,0.0,,,,,,,-2.1,,1.3,1.4,1.3,
2018-01-01 12:40:00,188,194.0,,,,6.7,7.7,,15.1,,0,,0,,,,,,,,,,153.0,,,,0.0,,,,0.0,,,,,,,-2.0,,1.3,1.5,1.4,
2018-01-01 13:40:00,204,206.0,,,,8.0,7.7,,18.0,,0,,0,,,,,,,,,,85.0,,,,0.0,,,,0.0,,,,,,,-2.5,,1.7,0.5,2.1,
2018-01-01 14:40:00,216,215.0,,,,6.3,5.5,,13.8,,0,,0,,,,,,,,,,41.0,,,,0.0,,,,0.0,,,,,,,-1.2,,2.1,1.0,2.0,
2018-01-01 15:40:00,219,213.0,,,,6.4,4.9,,14.1,,0,,0,,,,,,,,,,1.0,,,,0.2,,,,0.0,,,,,,,-0.4,,1.6,0.1,1.0,
2018-01-01 16:40:00,221,225.0,,,,6.2,6.3,,13.5,,0,,0,,,,,,,,,,0.0,,,,1.1,,,,0.0,,,,,,,-0.1,,1.1,0.2,1.4,
2018-01-01 17:40:00,231,239.0,,,,9.4,9.1,,19.8,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,,,,,-0.2,,1.7,0.6,1.7,
2018-01-01 18:40:00,240,241.0,,,,9.5,8.5,,17.3,,0,,0,,,,,,,,,,0.0,,,,0.3,,,,0.0,,,,,,,-0.2,,1.3,0.1,0.8,
2018-01-01 19:40:00,248,251.0,,,,9.8,10.6,,18.0,,0,,0,,,,,,,,,,0.0,,,,0.4,,,,0.0,,,,,,,-0.3,,0.7,0.1,0.7,
2018-01-01 20:40:00,255,256.0,,,,10.9,12.2,,26.8,,0,,0,,,,,,,,,,0.0,,,,0.4,,,,0.0,,,,,,,-0.8,,0.9,0.2,1.1,
2018-01-01 21:40:00,255,251.0,,,,10.9,9.0,,19.9,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,-0.7,,0.8,0.1,0.8,
