,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,251,242.0,,1,0.1,8.3,8.0,,15.9,,0,,0,,,,,,,1014.7,,,2,,,,0.4,,,,0,,,,,,,2.4,3.7,6.5,,6.3,7.2
2018-01-01 01:40:00,213,220.0,,0,,6.0,5.2,,12.9,,0,,0,,,,,,,1016.2,,,2,,,,0.0,,,,0,,,,,,,2.0,,6.8,,6.9,
2018-01-01 02:40:00,197,197.0,,1,,7.8,8.9,,12.7,,0,,0,,,,,,,1017.2,,,2,,,,0.0,,,,0,,,,,,,3.4,,6.4,,5.8,
2018-01-01 03:40:00,197,199.0,,1,,8.7,8.6,,13.1,,0,,0,,,,,,,1017.9,,,2,,,,0.0,,,,0,,,,,,,3.4,,5.6,,5.5,
2018-01-01 04:40:00,200,200.0,,0,,6.9,6.8,,10.8,,0,,0,,,,,,,1017.9,,,2,,,,0.1,,,,0,,,,,,,3.3,,5.2,,5.1,
2018-01-01 05:40:00,209,216.0,,1,,6.6,4.4,,12.3,,0,,0,,,,,,,1018.9,,,2,,,,0.8,,,,0,,,,,,,2.8,,4.8,,4.7,
2018-01-01 06:40:00,186,189.0,,0,,6.4,6.6,,12.3,,0,,0,,,,,,,1019.1,,,2,,,,0.0,,,,0,,,,,,,3.0,,4.4,,4.7,
2018-01-01 07:40:00,196,194.0,,4,,6.5,6.2,,9.8,,0,,0,,,,,,,1019.7,,,6,,,,0.1,,,,0,,,,,,,3.1,,4.5,,4.4,
2018-01-01 08:40:00,198,198.0,,55,,6.2,5.7,,10.0,,0,,0,,,,,,,1019.3,,,67,,,,0.0,,,,9,,,,,,,3.1,,4.6,,4.6,
2018-01-01 09:40:00,192,193.0,,104,,7.0,7.1,,10.4,,0,,0,,,,,,,1018.6,,,210,,,,0.0,,,,31,,,,,,,3.3,,5.3,,5.8,
2018-01-01 10:40:00,214,217.0,,171,,7.3,7.9,,13.9,,0,,0,,,,,,,1016.8,,,356,,,,0.0,,,,45,,,,,,,3.0,,6.7,,6.8,
2018-01-01 11:40:00,212,205.0,,175,,7.5,8.6,,12.7,,0,,0,,,,,,,1015.0,,,199,,,,0.0,,,,0,,,,,,,3.0,,6.7,,6.6,
2018-01-01 12:40:00,207,210.0,,117,,8.4,8.6,,14.3,,0,,0,,,,,,,1012.7,,,119,,,,0.0,,,,0,,,,,,,2.5,,6.5,,6.5,
2018-01-01 13:40:00,210,213.0,,67,,8.6,8.0,,14.0,,0,,0,,,,,,,1010.7,,,69,,,,0.0,,,,0,,,,,,,1.6,,6.7,,6.7,
2018-01-01 14:40:00,215,216.0,,19,,8.6,9.4,,15.9,,0,,0,,,,,,,1010.1,,,21,,,,0.0,,,,0,,,,,,,2.0,,6.1,,5.2,
2018-01-01 15:40:00,214,214.0,,7,,8.2,8.1,,15.7,,0,,0,,,,,,,1009.2,,,9,,,,0.6,,,,0,,,,,,,2.2,,4.5,,4.0,
2018-01-01 16:40:00,212,207.0,,0,,7.4,8.2,,12.4,,0,,0,,,,,,,1008.9,,,2,,,,1.1,,,,0,,,,,,,2.2,,3.8,,3.8,
2018-01-01 17:40:00,202,196.0,,0,,9.6,11.2,,15.9,,0,,0,,,,,,,1008.9,,,1,,,,0.0,,,,0,,,,,,,3.3,,4.4,,4.9,
2018-01-01 18:40:00,198,200.0,,0,,11.7,10.7,,17.3,,0,,0,,,,,,,1010.0,,,2,,,,0.3,,,,0,,,,,,,3.7,,5.1,,5.1,
2018-01-01 19:40:00,211,209.0,,0,,8.6,8.8,,14.8,,0,,0,,,,,,,1011.5,,,2,,,,1.4,,,,0,,,,,,,3.6,,5.2,,5.1,
2018-01-01 20:40:00,198,199.0,,0,,8.3,6.3,,13.8,,0,,0,,,,,,,1013.3,,,2,,,,0.8,,,,0,,,,,,,3.8,,5.1,,5.3,
2018-01-01 21:40:00,201,205.0,,0,,6.9,7.6,,13.2,,0,,0,,,,,,,1014.4,,,2,,,,0.2,,,,0,,,,,,,3.3,,5.5,,5.6,
2018-01-01 22:40:00,212,214.0,,0,,6.4,6.3,,14.9,,0,,0,,,,,,,1015.9,,,2,,,,0.1,,,,0,,,,,,,1.9,,5.8,,5.9,
2018-01-01 23:40:00,213,181.0,,0,,5.5,5.2,,12.3,,0,,0,,,,,,,1016.4,,,2,,,,0.0,,,,0,,,,,,,0.3,,5.8,,5.4,
2018-01-02 00:40:00,201,209.0,,0,0.1,5.5,4.6,,11.2,,0,,0,,,,,,,1017.1,,,2,,,,0.0,,,,0,,,,,,,0.8,3.2,5.2,,5.4,6.5
2018-01-02 01:40:00,234,251.0,,1,,5.7,6.3,,16.6,,0,,0,,,,,,,1018.6,,,3,,,,1.7,,,,0,,,,,,,1.8,,4.7,,3.9,
