,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,318,341.0,,0,0.0,6.3,2.4,,17.8,,0,,0,,,,,,,,,,1,,,,1.7,,,45.0,0,,,,,,,-0.8,-1.5,0.4,-0.1,0.2,0.6
2018-01-01 01:40:00,273,234.0,,0,,5.5,3.7,,15.9,,0,,0,,,,,,,,,,1,,,,0.1,,,45.0,0,,,,,,,-0.7,,0.5,-0.1,0.4,
2018-01-01 02:40:00,218,206.0,,1,,3.0,2.4,,10.6,,0,,0,,,,,,,,,,1,,,,1.2,,,46.0,0,,,,,,,-0.3,,0.1,-0.3,-0.3,
2018-01-01 03:40:00,221,217.0,,0,,3.1,3.1,,10.8,,0,,0,,,,,,,,,,1,,,,1.1,,,47.0,0,,,,,,,-0.6,,0.2,-0.1,0.3,
2018-01-01 04:40:00,215,205.0,,1,,3.0,3.1,,9.7,,0,,0,,,,,,,,,,2,,,,0.3,,,47.0,0,,,,,,,-0.5,,-0.1,-0.4,-0.4,
2018-01-01 05:40:00,228,246.0,,1,,3.4,4.3,,10.7,,0,,0,,,,,,,,,,1,,,,3.2,,,50.0,0,,,,,,,-1.7,,-0.5,-0.8,-0.1,
2018-01-01 06:40:00,232,218.0,,0,,2.6,2.7,,8.3,,0,,0,,,,,,,,,,1,,,,0.7,,,51.0,0,,,,,,,-1.1,,-0.5,-0.8,-0.5,
2018-01-01 07:40:00,209,214.0,,8,,2.0,1.9,,6.3,,0,,0,,,,,,,,,,9,,,,0.0,,,51.0,0,,,,,,,-1.0,,-0.9,-0.9,-0.8,
2018-01-01 08:40:00,217,220.0,,49,,2.3,2.5,,8.1,,0,,0,,,,,,,,,,50,,,,0.2,,,51.0,0,,,,,,,-1.4,,-0.8,-0.5,-0.3,
2018-01-01 09:40:00,218,214.0,,74,,3.4,3.8,,8.7,,0,,0,,,,,,,,,,75,,,,0.0,,,51.0,0,,,,,,,-0.9,,-0.4,-0.5,-0.6,
2018-01-01 10:40:00,204,193.0,,89,,4.3,5.1,,8.8,,0,,0,,,,,,,,,,90,,,,0.0,,,51.0,0,,,,,,,-0.5,,-0.4,-0.2,-0.2,
2018-01-01 11:40:00,205,195.0,,130,,5.7,5.4,,13.3,,0,,0,,,,,,,,,,132,,,,0.0,,,50.0,0,,,,,,,-0.6,,-0.2,-0.3,-0.3,
2018-01-01 12:40:00,184,181.0,,56,,5.4,4.6,,11.1,,0,,0,,,,,,,,,,57,,,,0.0,,,50.0,0,,,,,,,-0.4,,-0.3,-0.4,-0.2,
2018-01-01 13:40:00,193,203.0,,45,,6.3,7.6,,15.6,,0,,0,,,,,,,,,,46,,,,0.0,,,50.0,0,,,,,,,-1.7,,-0.2,-0.9,-0.3,
2018-01-01 14:40:00,202,201.0,,16,,9.1,9.0,,21.0,,0,,0,,,,,,,,,,17,,,,0.0,,,49.0,0,,,,,,,-1.5,,-0.4,-1.2,-0.8,
2018-01-01 15:40:00,198,191.0,,4,,7.5,6.4,,15.2,,0,,0,,,,,,,,,,5,,,,0.2,,,49.0,0,,,,,,,-1.0,,-0.8,-1.0,-0.9,
2018-01-01 16:40:00,194,188.0,,0,,4.3,2.9,,11.9,,0,,0,,,,,,,,,,1,,,,1.4,,,51.0,0,,,,,,,-1.4,,-1.1,-1.3,-1.2,
2018-01-01 17:40:00,189,210.0,,0,,2.6,4.1,,8.3,,0,,0,,,,,,,,,,1,,,,0.3,,,51.0,0,,,,,,,-1.0,,-1.3,-1.0,-0.9,
2018-01-01 18:40:00,210,209.0,,0,,3.4,3.0,,8.9,,0,,0,,,,,,,,,,1,,,,0.4,,,51.0,0,,,,,,,-0.5,,-0.6,-0.5,-0.5,
2018-01-01 19:40:00,218,230.0,,0,,3.7,4.0,,9.8,,0,,0,,,,,,,,,,1,,,,1.1,,,53.0,0,,,,,,,-0.9,,-0.2,-0.4,0.2,
2018-01-01 20:40:00,250,259.0,,0,,4.7,4.4,,14.9,,0,,0,,,,,,,,,,1,,,,0.7,,,53.0,0,,,,,,,-1.6,,0.2,-0.5,0.2,
2018-01-01 21:40:00,256,244.0,,0,,5.0,3.2,,13.5,,0,,0,,,,,,,,,,1,,,,0.5,,,52.0,0,,,,,,,-1.0,,0.0,-0.4,0.2,
