,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,230,235.0,,,0.2,4.2,4.9,,9.4,,0,,0,,,,,,,1010.1,,,2,,,,0.0,,,,0,,,4.6,4.8,4.6,4.6,3.8,4.9,9.3,8.3,9.5,9.7
2018-01-01 01:40:00,261,265.0,,,,5.5,6.9,,14.3,,0,,0,,,,,,,1011.9,,,3,,,,0.0,,,,0,,,4.7,4.8,4.8,,4.8,,9.2,7.1,8.1,
2018-01-01 02:40:00,264,256.0,,,,6.4,6.1,,14.3,,0,,0,,,,,,,1013.4,,,2,,,,0.5,,,,0,,,4.7,4.7,4.8,,4.9,,7.3,5.4,6.5,
2018-01-01 03:40:00,251,243.0,,,,4.8,4.5,,12.9,,0,,0,,,,,,,1014.8,,,1,,,,1.6,,,,0,,,4.8,4.8,4.8,,4.5,,5.9,4.5,5.5,
2018-01-01 04:40:00,227,233.0,,,,5.5,5.8,,10.9,,0,,0,,,,,,,1014.2,,,0,,,,0.1,,,,0,,,4.7,4.8,4.6,,3.1,,5.5,4.1,5.6,
2018-01-01 05:40:00,234,231.0,,,,4.9,3.6,,10.3,,0,,0,,,,,,,1014.5,,,0,,,,0.0,,,,0,,,4.7,4.8,4.5,,1.9,,5.8,3.9,5.8,
2018-01-01 06:40:00,240,244.0,,,,3.9,3.5,,9.9,,0,,0,,,,,,,1015.1,,,1,,,,0.0,,,,0,,,4.6,4.8,4.4,,1.6,,5.9,3.9,5.8,
2018-01-01 07:40:00,255,253.0,,,,3.6,3.4,,8.4,,0,,0,,,,,,,1016.0,,,10,,,,0.0,,,,0,,,4.6,4.7,4.4,,1.9,,6.0,4.3,6.0,
2018-01-01 08:40:00,252,253.0,,,,4.5,4.2,,11.6,,0,,0,,,,,,,1016.6,,,42,,,,0.0,,,,0,,,4.6,4.7,4.4,,1.7,,6.1,4.5,6.0,
2018-01-01 09:40:00,240,234.0,,,,4.1,5.2,,10.4,,0,,0,,,,,,,1015.5,,,151,,,,0.0,,,,30,,,4.6,4.7,4.4,,0.9,,6.2,6.6,6.8,
2018-01-01 10:40:00,237,242.0,,,,4.6,6.1,,13.1,,0,,0,,,,,,,1014.6,,,225,,,,0.0,,,,53,,,4.6,4.7,4.6,,1.0,,7.0,6.9,7.1,
2018-01-01 11:40:00,245,252.0,,,,5.2,4.5,,13.0,,0,,0,,,,,,,1013.2,,,179,,,,0.0,,,,22,,,4.6,4.7,4.6,,0.9,,6.8,7.5,7.3,
2018-01-01 12:40:00,246,252.0,,,,3.5,3.0,,8.6,,0,,0,,,,,,,1010.7,,,311,,,,0.0,,,,60,,,4.7,4.7,4.8,,0.8,,7.9,8.3,8.2,
2018-01-01 13:40:00,239,223.0,,,,2.8,2.2,,6.9,,0,,0,,,,,,,1008.7,,,231,,,,0.0,,,,60,,,4.8,4.7,4.9,,-0.4,,8.5,9.0,8.5,
2018-01-01 14:40:00,211,188.0,,,,1.3,0.6,,3.0,,0,,0,,,,,,,1007.4,,,104,,,,0.0,,,,57,,,4.8,4.8,4.9,,-0.1,,8.2,4.2,7.5,
2018-01-01 15:40:00,180,256.0,,,,0.9,1.4,,2.0,,0,,0,,,,,,,1006.5,,,16,,,,0.0,,,,2,,,4.8,4.8,4.7,,1.0,,5.6,3.1,5.4,
2018-01-01 16:40:00,270,272.0,,,,1.6,1.8,,3.2,,0,,0,,,,,,,1005.6,,,1,,,,0.0,,,,0,,,4.8,4.8,4.6,,-0.2,,5.7,3.3,6.2,
2018-01-01 17:40:00,273,252.0,,,,2.1,0.3,,5.5,,0,,0,,,,,,,1005.2,,,1,,,,0.0,,,,0,,,4.7,4.8,4.6,,0.5,,6.6,4.4,6.6,
2018-01-01 18:40:00,250,279.0,,,,2.5,2.1,,8.4,,0,,0,,,,,,,1006.4,,,1,,,,0.3,,,,0,,,4.7,4.8,4.6,,2.3,,6.0,4.0,5.4,
2018-01-01 19:40:00,272,279.0,,,,2.7,2.6,,6.3,,0,,0,,,,,,,1007.0,,,1,,,,0.5,,,,0,,,4.7,4.8,4.5,,3.0,,5.1,3.7,5.0,
2018-01-01 20:40:00,250,242.0,,,,3.1,3.5,,6.8,,0,,0,,,,,,,1007.2,,,0,,,,0.5,,,,0,,,4.7,4.8,4.5,,3.6,,5.1,4.0,5.3,
2018-01-01 21:40:00,239,240.0,,,,5.8,6.4,,13.4,,0,,0,,,,,,,1007.8,,,0,,,,0.4,,,,0,,,4.7,4.8,4.5,,3.5,,5.4,3.9,5.5,
2018-01-01 22:40:00,240,245.0,,,,7.6,7.6,,16.7,,0,,0,,,,,,,1009.3,,,0,,,,0.0,,,,0,,,4.7,4.8,4.5,,3.2,,5.7,4.5,5.8,
2018-01-01 23:40:00,251,251.0,,,,7.3,6.8,,17.1,,0,,0,,,,,,,1011.2,,,0,,,,0.0,,,,0,,,4.7,4.8,4.5,,2.3,,5.9,4.1,5.6,
2018-01-02 00:40:00,245,239.0,,,0.2,6.0,4.9,,15.1,,0,,0,,,,,,,1012.7,,,1,,,,0.0,,,,0,,,4.6,4.8,4.4,4.0,1.6,2.7,5.2,4.0,5.0,6.1
2018-01-02 01:40:00,240,238.0,,,,5.1,5.0,,11.2,,0,,0,,,,,,,1013.3,,,1,,,,0.0,,,,0,,,4.6,4.8,4.3,,1.6,,4.8,2.7,4.4,
2018-01-02 02:40:00,244,242.0,,,,7.0,7.4,,14.6,,0,,0,,,,,,,1013.6,,,1,,,,0.0,,,,0,,,4.5,4.8,4.1,,1.1,,4.3,3.3,4.5,
2018-01-02 03:40:00,244,241.0,,,,5.8,5.1,,14.8,,0,,0,,,,,,,1014.4,,,1,,,,0.0,,,,0,,,4.4,4.8,4.1,,1.3,,4.7,3.6,4.8,
2018-01-02 04:40:00,238,239.0,,,,6.2,6.0,,12.9,,0,,0,,,,,,,1014.9,,,2,,,,0.3,,,,0,,,4.4,4.7,4.0,,1.3,,4.5,2.9,4.3,
2018-01-02 05:40:00,234,238.0,,,,5.5,5.8,,10.9,,0,,0,,,,,,,1015.4,,,1,,,,0.1,,,,0,,,4.3,4.7,3.9,,1.6,,3.7,2.3,3.8,
2018-01-02 06:40:00,240,243.0,,,,5.5,5.9,,11.5,,0,,0,,,,,,,1016.4,,,1,,,,0.3,,,,0,,,4.3,4.7,3.9,,2.2,,4.0,2.7,3.7,
2018-01-02 07:40:00,239,240.0,,,,5.6,5.6,,11.8,,0,,0,,,,,,,1017.8,,,11,,,,0.5,,,,0,,,4.2,4.6,3.8,,2.2,,3.3,2.0,3.4,
2018-01-02 08:40:00,234,237.0,,,,5.9,5.9,,12.3,,0,,0,,,,,,,1018.3,,,105,,,,0.0,,,,39,,,4.2,4.6,3.8,,2.0,,3.4,3.1,3.7,
2018-01-02 09:40:00,246,237.0,,,,6.3,5.6,,12.9,,0,,0,,,,,,,1019.6,,,231,,,,0.0,,,,58,,,4.2,4.6,3.9,,2.1,,4.6,5.2,4.9,
2018-01-02 10:40:00,240,243.0,,,,6.0,5.3,,12.0,,0,,0,,,,,,,1019.2,,,198,,,,0.0,,,,24,,,4.2,4.6,4.0,,2.0,,4.5,5.1,5.1,
2018-01-02 11:40:00,250,247.0,,,,5.1,4.4,,11.4,,0,,0,,,,,,,1019.2,,,301,,,,0.0,,,,60,,,4.3,4.5,4.2,,1.4,,5.6,6.1,5.6,
2018-01-02 12:40:00,255,256.0,,,,4.3,4.0,,10.9,,0,,0,,,,,,,1019.4,,,180,,,,0.0,,,,21,,,4.4,4.5,4.3,,0.3,,5.8,4.8,5.6,
2018-01-02 13:40:00,232,238.0,,,,3.7,2.5,,7.2,,0,,0,,,,,,,1019.2,,,130,,,,0.0,,,,23,,,4.4,4.6,4.3,,1.1,,5.4,5.0,5.5,
2018-01-02 14:40:00,231,243.0,,,,2.1,2.4,,5.4,,0,,0,,,,,,,1019.3,,,81,,,,0.0,,,,35,,,4.5,4.6,4.4,,0.0,,5.7,3.3,5.6,
2018-01-02 15:40:00,237,218.0,,,,2.5,1.9,,5.4,,0,,0,,,,,,,1019.5,,,15,,,,0.0,,,,10,,,4.5,4.6,4.2,,-0.3,,5.2,1.6,4.6,
2018-01-02 16:40:00,202,202.0,,,,1.7,2.1,,3.2,,0,,0,,,,,,,1019.0,,,2,,,,0.0,,,,0,,,4.4,4.6,4.1,,-0.7,,4.0,-0.4,3.7,
2018-01-02 17:40:00,195,202.0,,,,1.1,0.9,,2.6,,0,,0,,,,,,,1018.9,,,2,,,,0.0,,,,0,,,4.3,4.6,3.9,,-0.6,,3.2,0.5,3.4,
2018-01-02 18:40:00,214,179.0,,,,0.5,1.4,,2.4,,0,,0,,,,,,,1019.2,,,2,,,,0.0,,,,0,,,4.2,4.6,3.8,,-0.3,,3.2,1.2,3.6,
2018-01-02 19:40:00,223,231.0,,,,1.8,2.2,,6.2,,0,,0,,,,,,,1017.9,,,2,,,,0.0,,,,0,,,4.2,4.6,3.8,,-1.0,,4.8,3.5,5.3,
2018-01-02 20:40:00,230,220.0,,,,3.6,1.6,,8.8,,0,,0,,,,,,,1017.0,,,2,,,,0.0,,,,0,,,4.2,4.5,3.8,,-2.1,,5.5,3.8,5.4,
2018-01-02 21:40:00,217,264.0,,,,1.3,1.8,,5.1,,0,,0,,,,,,,1016.6,,,2,,,,0.0,,,,0,,,4.2,4.5,3.9,,-1.5,,4.9,2.8,4.7,
2018-01-02 22:40:00,234,251.0,,,,2.9,2.2,,7.9,,0,,0,,,,,,,1016.2,,,1,,,,0.0,,,,0,,,4.1,4.5,3.8,,0.3,,4.6,3.0,4.2,
2018-01-02 23:40:00,222,189.0,,,,1.6,1.0,,4.2,,0,,0,,,,,,,1014.8,,,1,,,,0.1,,,,0,,,4.1,4.5,3.9,,1.2,,3.7,2.7,3.7,
2018-01-03 00:40:00,121,115.0,,,0.1,0.7,0.9,,2.1,,0,,0,,,,,,,1013.4,,,2,,,,0.0,,,,0,,,4.2,4.5,3.9,4.7,2.0,3.3,3.5,2.8,3.4,13.3
2018-01-03 01:40:00,129,148.0,,,,1.4,1.2,,2.6,,0,,0,,,,,,,1012.2,,,2,,,,0.0,,,,0,,,4.2,4.5,4.0,,2.2,,3.6,3.1,3.8,
2018-01-03 02:40:00,171,239.0,,,,1.4,1.6,,4.7,,0,,0,,,,,,,1010.5,,,2,,,,0.0,,,,0,,,4.2,4.5,4.0,,4.0,,4.2,4.1,5.9,
2018-01-03 03:40:00,239,250.0,,,,3.5,3.3,,9.6,,0,,0,,,,,,,1007.6,,,1,,,,0.0,,,,0,,,4.2,4.4,4.2,,4.8,,8.3,7.1,8.4,
2018-01-03 04:40:00,241,246.0,,,,4.3,3.3,,10.4,,0,,0,,,,,,,1005.3,,,1,,,,0.0,,,,0,,,4.3,4.5,4.4,,4.9,,8.9,7.5,9.4,
2018-01-03 05:40:00,247,262.0,,,,3.2,3.1,,11.4,,0,,0,,,,,,,1001.9,,,2,,,,0.0,,,,0,,,4.4,4.5,4.5,,4.6,,10.7,9.7,11.4,
