,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,239,249.0,,,0.1,9.4,8.7,,17.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,4.4,2.4,6.9,,7.0,7.0
2018-01-01 01:40:00,259,253.0,,,,9.8,9.6,,18.3,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,4.7,,6.1,,5.3,
2018-01-01 02:40:00,255,246.0,,,,10.1,9.4,,17.6,,0,,0,,,,,,,,,,0.0,,,,0.2,,,,0.0,,,,,,,4.1,,4.8,,4.2,
2018-01-01 03:40:00,246,230.0,,,,9.2,8.1,,17.9,,0,,0,,,,,,,,,,0.0,,,,1.0,,,,0.0,,,,,,,3.1,,3.4,,3.1,
2018-01-01 04:40:00,231,231.0,,,,8.2,7.9,,14.2,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,3.3,,3.2,,3.3,
2018-01-01 05:40:00,234,239.0,,,,9.2,9.2,,16.5,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,2.2,,3.3,,3.4,
2018-01-01 06:40:00,241,245.0,,,,9.9,9.6,,17.4,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,2.2,,3.3,,3.2,
2018-01-01 07:40:00,248,245.0,,,,10.2,10.2,,16.8,,0,,0,,,,,,,,,,6.0,,,,0.0,,,,0.0,,,,,,,2.9,,3.3,,3.0,
2018-01-01 08:40:00,241,235.0,,,,8.3,6.3,,15.2,,0,,0,,,,,,,,,,34.0,,,,0.0,,,,0.0,,,,,,,2.5,,2.9,,2.6,
2018-01-01 09:40:00,235,234.0,,,,7.7,6.8,,13.9,,0,,0,,,,,,,,,,165.0,,,,0.0,,,,35.0,,,,,,,2.2,,3.2,,3.3,
2018-01-01 10:40:00,236,243.0,,,,7.7,7.2,,14.2,,0,,0,,,,,,,,,,215.0,,,,0.0,,,,41.0,,,,,,,2.1,,3.8,,4.3,
2018-01-01 11:40:00,240,238.0,,,,7.5,8.2,,14.8,,0,,0,,,,,,,,,,250.0,,,,0.0,,,,39.0,,,,,,,1.4,,4.5,,4.7,
2018-01-01 12:40:00,242,244.0,,,,6.6,7.7,,13.7,,0,,0,,,,,,,,,,260.0,,,,0.0,,,,50.0,,,,,,,0.7,,5.0,,5.4,
2018-01-01 13:40:00,235,224.0,,,,6.8,5.5,,11.6,,0,,0,,,,,,,,,,233.0,,,,0.0,,,,60.0,,,,,,,-0.3,,5.7,,5.8,
2018-01-01 14:40:00,214,201.0,,,,3.5,2.8,,7.1,,0,,0,,,,,,,,,,102.0,,,,0.0,,,,40.0,,,,,,,-0.6,,5.7,,5.3,
2018-01-01 15:40:00,231,242.0,,,,1.5,2.2,,4.4,,0,,0,,,,,,,,,,9.0,,,,0.0,,,,0.0,,,,,,,-0.3,,4.8,,4.6,
2018-01-01 16:40:00,245,250.0,,,,4.2,5.3,,7.7,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.2,,4.4,,4.4,
2018-01-01 17:40:00,236,249.0,,,,5.3,7.8,,12.2,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,1.2,,3.9,,3.6,
2018-01-01 18:40:00,235,233.0,,,,6.0,5.4,,14.2,,0,,0,,,,,,,,,,0.0,,,,0.6,,,,0.0,,,,,,,2.6,,3.0,,2.8,
2018-01-01 19:40:00,236,234.0,,,,6.7,8.0,,11.8,,0,,0,,,,,,,,,,0.0,,,,0.7,,,,0.0,,,,,,,2.5,,2.6,,2.5,
