,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,117,236.0,,,0.2,0.8,0.5,,3.1,,0,,0,,,,,,,1012.4,,,0,,,,0.0,,,,0,,,,,,,2.4,1.6,2.3,1.9,2.7,8.0
2018-01-01 01:40:00,243,241.0,,,,4.2,6.3,,11.9,,0,,0,,,,,,,1012.8,,,0,,,,0.1,,,,0,,,,,,,4.2,,5.4,5.1,6.8,
2018-01-01 02:40:00,241,236.0,,,,4.5,4.0,,11.1,,0,,0,,,,,,,1014.4,,,0,,,,0.8,,,,0,,,,,,,4.2,,6.2,4.6,5.8,
2018-01-01 03:40:00,226,221.0,,,,3.3,1.9,,6.1,,0,,0,,,,,,,1014.9,,,0,,,,0.0,,,,0,,,,,,,3.9,,5.0,3.8,4.8,
2018-01-01 04:40:00,224,223.0,,,,4.2,6.0,,10.5,,0,,0,,,,,0.0,,1014.9,,,0,,,,0.0,,0.0,,0,,,,,,,3.5,,5.1,4.3,5.4,
2018-01-01 05:40:00,217,219.0,,,,6.5,8.5,,13.1,,0,,0,,,,,,,1015.1,,,0,,,,0.0,,,,0,,,,,,,2.8,,5.3,4.3,5.2,
2018-01-01 06:40:00,229,233.0,,,,5.8,4.1,,12.0,,0,,0,,,,,,,1016.1,,,0,,,,1.4,,,,0,,,,,,,3.2,,4.7,3.5,4.4,
2018-01-01 07:40:00,233,232.0,,,,3.2,2.4,,7.7,,0,,0,,,,,,,1016.5,,,6,,,,0.0,,,,0,,,,,,,3.4,,4.4,3.4,4.5,
2018-01-01 08:40:00,225,229.0,,,,2.9,4.4,,6.1,,0,,0,,,,,,,1016.3,,,86,,,,0.0,,,,27,,,,,,,3.6,,4.6,5.3,5.1,
2018-01-01 09:40:00,222,224.0,,,,5.3,5.1,,8.4,,0,,0,,,,,,,1015.8,,,231,,,,0.0,,,,60,,,,,,,3.3,,5.6,7.2,6.0,
2018-01-01 10:40:00,226,225.0,,,,5.6,7.3,,13.1,,0,,0,,,,,,,1013.8,,,310,,,,0.0,,,,60,,,,,,,2.1,,6.9,8.2,7.4,
2018-01-01 11:40:00,224,218.0,,,,6.0,5.5,,12.0,,0,,0,,,,,,,1012.4,,,304,,,,0.0,,,,57,,,,,,,2.3,,7.6,10.0,7.9,
2018-01-01 12:40:00,214,223.0,,,,5.5,5.5,,10.1,,0,,0,,,,,,,1010.3,,,301,,,,0.0,,,,60,,,,,,,1.9,,7.7,9.1,7.8,
2018-01-01 13:40:00,212,204.0,,,,6.7,5.0,,14.1,,0,,0,,,,,,,1008.6,,,184,,,,0.0,,,,39,,,,,,,1.2,,7.6,6.9,7.3,
2018-01-01 14:40:00,198,190.0,,,,4.4,3.7,,8.6,,0,,0,,,,,,,1007.4,,,55,,,,0.0,,,,0,,,,,,,1.7,,6.8,5.3,6.6,
2018-01-01 15:40:00,195,187.0,,,,4.3,5.0,,8.7,,0,,0,,,,,,,1006.2,,,10,,,,0.0,,,,0,,,,,,,1.3,,6.5,5.1,6.3,
2018-01-01 16:40:00,208,220.0,,,,4.6,5.7,,14.7,,0,,0,,,,,,,1006.2,,,0,,,,0.3,,,,0,,,,,,,2.4,,6.2,3.8,5.5,
2018-01-01 17:40:00,213,217.0,,,,5.8,5.2,,10.8,,0,,0,,,,,,,1006.1,,,0,,,,2.6,,,,0,,,,,,,3.0,,5.3,3.8,5.1,
2018-01-01 18:40:00,213,212.0,,,,7.3,7.8,,13.1,,0,,0,,,,,,,1006.6,,,0,,,,2.1,,,,0,,,,,,,3.0,,5.0,3.7,4.9,
2018-01-01 19:40:00,220,222.0,,,,9.0,8.6,,17.1,,0,,0,,,,,,,1006.8,,,0,,,,0.5,,,,0,,,,,,,3.0,,4.8,3.5,4.8,
2018-01-01 20:40:00,222,228.0,,,,7.5,5.7,,17.4,,0,,0,,,,,,,1008.0,,,0,,,,2.1,,,,0,,,,,,,3.6,,4.7,3.9,4.7,
2018-01-01 21:40:00,231,235.0,,,,6.4,7.9,,15.7,,0,,0,,,,,,,1009.1,,,0,,,,1.0,,,,0,,,,,,,3.9,,5.2,4.3,5.6,
2018-01-01 22:40:00,239,246.0,,,,7.8,6.6,,16.4,,0,,0,,,,,,,1011.0,,,0,,,,1.0,,,,0,,,,,,,3.5,,5.5,3.9,5.1,
2018-01-01 23:40:00,246,246.0,,,,5.7,5.6,,13.0,,0,,0,,,,,,,1012.5,,,0,,,,0.1,,,,0,,,,,,,2.7,,4.9,3.2,4.7,
2018-01-02 00:40:00,239,236.0,,,0.1,4.9,4.7,,9.1,,0,,0,,,,,,,1013.3,,,0,,,,0.0,,,,0,,,,,,,2.4,2.8,4.3,2.6,4.1,5.6
2018-01-02 01:40:00,228,227.0,,,,6.3,6.8,,10.7,,0,,0,,,,,,,1013.7,,,0,,,,0.1,,,,0,,,,,,,2.4,,4.1,3.2,3.9,
2018-01-02 02:40:00,226,231.0,,,,5.3,5.4,,11.2,,0,,0,,,,,,,1014.6,,,0,,,,0.1,,,,0,,,,,,,2.2,,4.1,2.8,4.0,
2018-01-02 03:40:00,225,224.0,,,,4.0,4.3,,9.8,,0,,0,,,,,,,1014.8,,,0,,,,0.4,,,,0,,,,,,,2.6,,4.0,2.8,3.9,
2018-01-02 04:40:00,233,233.0,,,,5.9,6.4,,10.8,,0,,0,,,,,0.0,,1015.5,,,0,,,,0.9,,0.0,,0,,,,,,,2.5,,3.7,2.6,3.6,
2018-01-02 05:40:00,240,251.0,,,,4.2,2.9,,10.6,,0,,0,,,,,,,1016.3,,,0,,,,2.5,,,,0,,,,,,,2.3,,3.8,2.7,3.5,
2018-01-02 06:40:00,248,246.0,,,,3.0,2.1,,6.8,,0,,0,,,,,,,1017.5,,,0,,,,0.2,,,,0,,,,,,,2.0,,3.4,1.3,3.0,
2018-01-02 07:40:00,231,231.0,,,,4.6,4.3,,8.3,,0,,0,,,,,,,1018.5,,,10,,,,0.1,,,,0,,,,,,,2.1,,3.2,1.7,3.0,
2018-01-02 08:40:00,220,213.0,,,,3.7,5.3,,8.3,,0,,0,,,,,,,1019.6,,,128,,,,0.0,,,,47,,,,,,,2.4,,3.4,4.7,3.7,
2018-01-02 09:40:00,224,234.0,,,,5.9,5.2,,9.8,,0,,0,,,,,,,1020.1,,,221,,,,0.0,,,,53,,,,,,,2.7,,4.1,4.9,4.2,
2018-01-02 10:40:00,224,228.0,,,,6.5,5.7,,10.4,,0,,0,,,,,,,1020.2,,,196,,,,0.0,,,,38,,,,,,,2.5,,4.3,4.8,4.4,
2018-01-02 11:40:00,228,240.0,,,,4.7,4.2,,8.5,,0,,0,,,,,,,1019.7,,,298,,,,0.0,,,,41,,,,,,,2.6,,5.2,5.6,5.0,
2018-01-02 12:40:00,241,244.0,,,,4.1,2.9,,8.0,,0,,0,,,,,,,1019.9,,,145,,,,0.0,,,,6,,,,,,,2.5,,5.0,4.3,4.8,
2018-01-02 13:40:00,253,249.0,,,,2.1,2.2,,4.4,,0,,0,,,,,,,1019.8,,,133,,,,0.1,,,,12,,,,,,,2.5,,5.0,4.5,5.2,
2018-01-02 14:40:00,240,254.0,,,,2.2,2.0,,4.2,,0,,0,,,,,,,1019.7,,,64,,,,0.0,,,,12,,,,,,,1.7,,5.1,3.8,5.1,
2018-01-02 15:40:00,225,200.0,,,,1.2,0.7,,2.8,,0,,0,,,,,,,1019.4,,,8,,,,0.0,,,,0,,,,,,,2.0,,4.8,2.2,4.3,
2018-01-02 16:40:00,56,20.0,,,,0.8,0.7,,1.8,,0,,0,,,,,,,1019.2,,,0,,,,0.0,,,,0,,,,,,,2.0,,3.2,0.7,3.1,
2018-01-02 17:40:00,270,236.0,,,,0.8,1.2,,2.2,,0,,0,,,,,,,1019.2,,,0,,,,0.0,,,,0,,,,,,,2.0,,3.6,2.3,4.4,
2018-01-02 18:40:00,231,227.0,,,,2.7,4.3,,7.9,,0,,0,,,,,,,1019.5,,,0,,,,0.1,,,,0,,,,,,,1.9,,4.5,3.2,4.7,
2018-01-02 19:40:00,229,262.0,,,,1.0,0.6,,3.2,,0,,0,,,,,,,1018.3,,,0,,,,0.0,,,,0,,,,,,,2.0,,4.3,2.4,4.2,
2018-01-02 20:40:00,218,219.0,,,,1.8,2.5,,5.2,,0,,0,,,,,,,1017.2,,,0,,,,0.0,,,,0,,,,,,,0.9,,4.5,3.5,4.6,
2018-01-02 21:40:00,215,215.0,,,,6.4,6.0,,11.5,,0,,0,,,,,,,1016.7,,,0,,,,0.5,,,,0,,,,,,,2.1,,4.1,2.7,3.6,
2018-01-02 22:40:00,219,219.0,,,,5.2,5.1,,8.9,,0,,0,,,,,,,1016.1,,,0,,,,0.2,,,,0,,,,,,,2.7,,3.6,2.9,3.5,
2018-01-02 23:40:00,218,216.0,,,,4.3,3.9,,7.8,,0,,0,,,,,,,1014.8,,,0,,,,0.5,,,,0,,,,,,,3.3,,3.6,3.3,3.7,
2018-01-03 00:40:00,215,221.0,,,0.1,2.9,4.6,,6.9,,0,,0,,,,,,,1013.1,,,0,,,,0.4,,,,0,,,,,,,4.1,3.6,3.9,3.8,4.2,12.9
2018-01-03 01:40:00,228,235.0,,,,2.4,2.2,,5.4,,0,,0,,,,,,,1012.1,,,0,,,,0.1,,,,0,,,,,,,4.2,,4.3,4.0,4.5,
2018-01-03 02:40:00,229,216.0,,,,2.9,3.1,,6.4,,0,,0,,,,,,,1010.2,,,0,,,,0.0,,,,0,,,,,,,4.5,,4.9,4.5,5.1,
2018-01-03 03:40:00,219,226.0,,,,4.2,5.0,,9.2,,0,,0,,,,,,,1007.6,,,0,,,,0.2,,,,0,,,,,,,5.9,,6.2,6.1,7.2,
2018-01-03 04:40:00,231,225.0,,,,5.0,7.9,,13.1,,0,,0,,,,,0.0,,1005.1,,,0,,,,0.3,,0.0,,0,,,,,,,6.7,,7.7,6.8,8.0,
2018-01-03 05:40:00,223,216.0,,,,7.7,8.3,,14.1,,0,,0,,,,,,,1002.0,,,0,,,,0.6,,,,0,,,,,,,7.0,,8.6,7.6,9.3,
2018-01-03 06:40:00,217,220.0,,,,9.6,8.8,,16.7,,0,,0,,,,,,,999.5,,,1,,,,0.2,,,,0,,,,,,,7.6,,10.1,8.7,10.5,
2018-01-03 07:40:00,225,230.0,,,,10.0,10.5,,18.2,,0,,0,,,,,,,997.8,,,4,,,,0.8,,,,0,,,,,,,8.2,,11.9,9.3,12.0,
2018-01-03 08:40:00,229,237.0,,,,11.1,8.6,,23.4,,0,,0,,,,,,,997.7,,,5,,,,3.8,,,,0,,,,,,,8.9,,11.6,9.3,10.7,
2018-01-03 09:40:00,240,246.0,,,,11.2,11.9,,24.5,,0,,0,,,,,,,998.6,,,52,,,,0.7,,,,0,,,,,,,6.4,,12.1,11.6,12.9,
2018-01-03 10:40:00,273,293.0,,,,9.8,5.0,,26.9,,1,,0,,,,,,,1004.7,,,37,,,,2.2,,,,0,,,,,,,3.7,,9.4,5.0,6.6,
2018-01-03 11:40:00,250,242.0,,,,4.8,4.2,,14.5,,9,,0,,,,,,,1007.5,,,36,,,,1.4,,,,0,,,,,,,3.3,,5.4,4.4,5.0,
2018-01-03 12:40:00,234,230.0,,,,5.7,6.8,,12.1,,0,,0,,,,,,,1008.4,,,142,,,,0.0,,,,2,,,,,,,3.8,,5.4,5.0,5.4,
2018-01-03 13:40:00,230,236.0,,,,5.3,3.7,,12.5,,1,,0,,,,,,,1009.6,,,127,,,,0.2,,,,22,,,,,,,2.8,,5.7,6.0,6.3,
2018-01-03 14:40:00,230,237.0,,,,4.4,3.8,,9.1,,0,,0,,,,,,,1010.8,,,55,,,,0.0,,,,14,,,,,,,2.6,,5.8,5.0,6.0,
