,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,230,226.0,,0,0.2,8.3,9.1,,15.3,,0,,0,,,,,,,,,,2,,,,1.2,,,,0,,,4.9,4.7,4.9,4.1,2.6,3.2,5.6,4.1,4.9,6.5
2018-01-01 01:40:00,208,200.0,,0,,7.6,6.7,,12.4,,0,,0,,,,,,,,,,1,,,,1.4,,,,0,,,4.8,4.7,4.5,,2.2,,4.2,3.4,3.8,
2018-01-01 02:40:00,203,200.0,,0,,6.7,7.4,,10.8,,0,,0,,,,,,,,,,1,,,,0.9,,,,0,,,4.6,4.7,4.2,,2.0,,3.4,3.0,3.4,
2018-01-01 03:40:00,215,205.0,,0,,7.5,8.4,,13.1,,0,,0,,,,,,,,,,1,,,,0.2,,,,0,,,4.4,4.7,4.0,,1.7,,4.0,3.3,4.3,
2018-01-01 04:40:00,211,208.0,,0,,7.1,6.2,,13.4,,0,,0,,,,,0.0,,,,,1,,,,0.0,,0.0,,0,,,4.3,4.7,3.9,,1.3,,4.4,2.9,4.4,
2018-01-01 05:40:00,214,231.0,,0,,5.9,5.3,,10.4,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,4.2,4.6,3.8,,1.3,,4.2,3.5,4.5,
2018-01-01 06:40:00,221,218.0,,0,,7.3,5.7,,12.6,,0,,0,,,,,,,,,,1,,,,0.2,,,,0,,,4.1,4.6,3.7,,1.9,,3.7,2.7,3.5,
2018-01-01 07:40:00,207,208.0,,7,,4.7,3.8,,8.7,,0,,0,,,,,,,,,,9,,,,0.0,,,,0,,,4.0,4.5,3.5,,1.1,,3.4,1.8,3.2,
2018-01-01 08:40:00,209,212.0,,46,,5.1,6.2,,9.2,,0,,0,,,,,,,,,,87,,,,0.0,,,,34,,,3.9,4.5,3.5,,0.4,,4.0,3.5,4.2,
2018-01-01 09:40:00,228,220.0,,77,,6.4,7.2,,10.4,,0,,0,,,,,,,,,,131,,,,0.0,,,,24,,,3.9,4.5,3.7,,1.5,,4.7,4.7,4.6,
2018-01-01 10:40:00,212,214.0,,54,,7.3,8.8,,13.7,,0,,0,,,,,,,,,,308,,,,0.0,,,,60,,,4.1,4.4,4.3,,0.5,,5.7,7.9,6.1,
2018-01-01 11:40:00,216,216.0,,112,,9.4,10.5,,15.6,,0,,0,,,,,,,,,,327,,,,0.0,,,,55,,,4.3,4.4,4.7,,0.4,,6.2,8.1,6.4,
2018-01-01 12:40:00,221,220.0,,161,,8.6,7.6,,12.7,,0,,0,,,,,,,,,,230,,,,0.0,,,,18,,,4.5,4.5,4.8,,-0.7,,6.3,6.6,6.3,
2018-01-01 13:40:00,240,246.0,,114,,7.8,6.9,,14.0,,0,,0,,,,,,,,,,120,,,,0.0,,,,0,,,4.5,4.5,4.6,,0.2,,5.7,5.6,5.4,
2018-01-01 14:40:00,242,239.0,,44,,5.4,7.0,,13.8,,0,,0,,,,,,,,,,45,,,,0.0,,,,0,,,4.5,4.5,4.4,,-1.0,,5.7,5.4,5.9,
2018-01-01 15:40:00,220,205.0,,5,,8.7,5.6,,18.4,,0,,0,,,,,,,,,,7,,,,0.0,,,,0,,,4.5,4.6,4.1,,0.1,,5.2,4.5,4.9,
2018-01-01 16:40:00,216,229.0,,1,,8.1,6.6,,14.9,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,4.3,4.6,4.0,,1.8,,4.2,3.0,3.6,
2018-01-01 17:40:00,227,224.0,,0,,9.3,10.2,,14.9,,0,,0,,,,,,,,,,1,,,,0.2,,,,0,,,4.2,4.6,3.8,,2.0,,3.4,3.0,3.6,
2018-01-01 18:40:00,220,216.0,,0,,12.4,14.2,,19.8,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,4.1,4.5,3.8,,1.9,,4.4,3.7,5.1,
2018-01-01 19:40:00,220,221.0,,0,,12.9,12.2,,21.3,,0,,0,,,,,,,,,,1,,,,0.1,,,,0,,,4.1,4.5,3.8,,2.2,,5.1,3.8,4.9,
2018-01-01 20:40:00,221,223.0,,0,,11.1,11.0,,17.9,,0,,0,,,,,,,,,,1,,,,0.3,,,,0,,,4.1,4.5,3.8,,2.3,,4.2,3.5,4.2,
2018-01-01 21:40:00,223,215.0,,0,,9.0,8.8,,13.7,,0,,0,,,,,,,,,,1,,,,2.0,,,,0,,,4.0,4.5,3.6,,2.3,,3.9,3.1,3.7,
