,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,243,242.0,,0,0.2,4.7,5.1,,10.8,,0,,0,,,,,,,1012.0,,,2,,,,0.6,,,,0,,,,,,,5.4,3.8,8.5,6.4,8.1,8.9
2018-01-01 01:40:00,241,237.0,,0,,5.5,5.9,,12.0,,0,,0,,,,,,,1013.7,,,2,,,,0.7,,,,0,,,,,,,3.4,,7.3,5.2,7.0,
2018-01-01 02:40:00,230,223.0,,0,,6.1,6.1,,12.8,,0,,0,,,,,,,1015.0,,,2,,,,0.6,,,,0,,,,,,,3.1,,6.4,4.7,6.1,
2018-01-01 03:40:00,233,233.0,,0,,6.0,6.5,,11.7,,0,,0,,,,,,,1015.7,,,2,,,,0.0,,,,0,,,,,,,2.6,,6.0,4.6,6.0,
2018-01-01 04:40:00,233,228.0,,0,,6.8,8.1,,14.3,,0,,0,,,,,,,1016.4,,,2,,,,0.0,,,,0,,,,,,,1.9,,5.6,4.2,5.0,
2018-01-01 05:40:00,230,234.0,,0,,5.8,4.7,,14.8,,0,,0,,,,,,,1016.5,,,2,,,,0.0,,,,0,,,,,,,2.2,,4.6,4.1,4.7,
2018-01-01 06:40:00,252,240.0,,0,,4.5,8.0,,14.8,,0,,0,,,,,,,1016.9,,,2,,,,0.1,,,,0,,,,,,,2.2,,5.0,4.1,5.2,
2018-01-01 07:40:00,243,245.0,,3,,6.6,5.7,,14.8,,0,,0,,,,,,,1017.5,,,5,,,,0.0,,,,0,,,,,,,2.2,,4.5,3.8,4.8,
2018-01-01 08:40:00,242,243.0,,68,,5.8,5.0,,13.4,,0,,0,,,,,,,1017.3,,,92,,,,0.0,,,,13,,,,,,,2.4,,5.3,5.3,5.6,
2018-01-01 09:40:00,246,242.0,,94,,7.1,7.9,,13.7,,0,,0,,,,,,,1016.5,,,244,,,,0.0,,,,49,,,,,,,2.2,,6.2,7.3,6.6,
2018-01-01 10:40:00,236,232.0,,71,,7.7,6.1,,14.3,,0,,0,,,,,,,1014.7,,,278,,,,0.0,,,,59,,,,,,,1.9,,6.7,8.5,7.1,
2018-01-01 11:40:00,234,235.0,,73,,7.1,6.5,,15.4,,0,,0,,,,,,,1012.6,,,332,,,,0.0,,,,59,,,,,,,1.2,,7.6,8.7,7.6,
2018-01-01 12:40:00,233,245.0,,92,,6.8,5.8,,15.0,,0,,0,,,,,,,1010.7,,,213,,,,0.0,,,,39,,,,,,,1.5,,7.4,9.0,7.8,
2018-01-01 13:40:00,233,226.0,,115,,5.7,7.0,,12.3,,0,,0,,,,,,,1008.8,,,137,,,,0.0,,,,3,,,,,,,1.2,,7.5,7.2,7.3,
2018-01-01 14:40:00,233,230.0,,44,,7.1,7.9,,13.4,,0,,0,,,,,,,1007.6,,,51,,,,0.0,,,,2,,,,,,,0.9,,7.0,6.3,6.9,
2018-01-01 15:40:00,226,226.0,,11,,6.6,7.5,,12.6,,0,,0,,,,,,,1006.7,,,13,,,,0.0,,,,0,,,,,,,0.1,,6.8,6.0,6.9,
2018-01-01 16:40:00,232,230.0,,0,,7.6,7.6,,16.1,,0,,0,,,,,,,1006.4,,,2,,,,0.0,,,,0,,,,,,,1.1,,6.0,5.1,5.9,
2018-01-01 17:40:00,234,227.0,,0,,7.0,6.0,,15.9,,0,,0,,,,,,,1007.5,,,2,,,,0.5,,,,0,,,,,,,2.1,,4.8,3.3,4.1,
2018-01-01 18:40:00,230,229.0,,0,,6.2,6.6,,12.9,,0,,0,,,,,,,1008.1,,,2,,,,0.9,,,,0,,,,,,,2.2,,4.0,3.1,4.0,
2018-01-01 19:40:00,230,237.0,,0,,7.5,9.2,,18.2,,0,,0,,,,,,,1008.2,,,2,,,,1.0,,,,0,,,,,,,2.7,,4.6,4.0,5.1,
2018-01-01 20:40:00,239,241.0,,0,,9.1,9.3,,18.4,,0,,0,,,,,,,1009.6,,,2,,,,1.4,,,,0,,,,,,,2.3,,5.0,3.9,5.0,
2018-01-01 21:40:00,239,241.0,,0,,9.1,7.2,,18.8,,0,,0,,,,,,,1011.3,,,2,,,,1.0,,,,0,,,,,,,3.1,,5.2,4.3,5.4,
2018-01-01 22:40:00,249,263.0,,0,,5.4,5.1,,12.7,,0,,0,,,,,,,1013.3,,,2,,,,0.5,,,,0,,,,,,,3.5,,5.4,4.3,5.3,
2018-01-01 23:40:00,236,240.0,,0,,5.0,5.1,,10.4,,0,,0,,,,,,,1014.7,,,2,,,,1.2,,,,0,,,,,,,2.4,,4.8,3.6,4.4,
2018-01-02 00:40:00,236,234.0,,0,0.1,4.9,3.6,,10.8,,0,,0,,,,,,,1015.3,,,2,,,,0.7,,,,0,,,,,,,1.3,1.7,3.9,2.8,3.9,7.0
2018-01-02 01:40:00,233,229.0,,0,,3.9,4.8,,7.7,,0,,0,,,,,,,1015.7,,,2,,,,0.1,,,,0,,,,,,,1.9,,4.2,3.4,4.5,
