,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,235,222.0,,1.0,0.1,5.3,4.6,,11.6,,0,,0,,,331.0,,,,,,,0,,,,1.3,,,,0,,,,,,,1.0,0.5,4.5,1.0,2.9,6.4
2018-01-01 01:40:00,197,189.0,,0.0,,4.1,3.9,,8.7,,0,,0,,,324.0,,,,,,,0,,,,2.5,,,,0,,,,,,,0.3,,1.9,0.2,1.6,
2018-01-01 02:40:00,203,272.0,,0.0,,1.7,1.0,,5.6,,0,,0,,,321.0,,,,,,,0,,,,1.0,,,,0,,,,,,,0.1,,1.1,0.0,1.0,
2018-01-01 03:40:00,247,263.0,,0.0,,1.7,1.3,,4.6,,0,,0,,,321.0,,,,,,,0,,,,0.7,,,,0,,,,,,,-0.5,,1.0,0.0,1.5,
2018-01-01 04:40:00,309,313.0,,0.0,,2.6,2.6,,5.8,,0,,0,,,311.0,,0.0,,,,,0,,,,0.1,,30.0,,0,,,,,,,-1.2,,1.5,0.1,1.9,
2018-01-01 05:40:00,349,325.0,,0.0,,2.1,1.9,,3.9,,0,,0,,,304.0,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.2,,1.2,0.1,1.7,
2018-01-01 06:40:00,333,28.0,,0.0,,1.4,0.7,,3.9,,0,,0,,,308.0,,,,,,,0,,,,0.1,,,,0,,,,,,,-1.0,,1.2,0.0,1.5,
2018-01-01 07:40:00,288,353.0,,9.0,,1.2,1.0,,5.1,,0,,0,,,291.0,,,,,,,11,,,,0.2,,,,0,,,,,,,-1.0,,1.0,-0.1,0.9,
2018-01-01 08:40:00,342,44.0,,89.0,,1.1,0.4,,2.7,,0,,0,,,274.0,,,,,,,95,,,,0.0,,,,0,,,,,,,-1.6,,1.1,0.0,1.5,
2018-01-01 09:40:00,11,18.0,,142.0,,0.8,0.5,,2.6,,0,,0,,,281.0,,,,,,,155,,,,0.0,,,,1,,,,,,,-0.7,,1.5,1.2,1.8,
2018-01-01 10:40:00,228,196.0,,132.0,,1.7,2.6,,7.1,,0,,0,,,263.0,,,,,,,354,,,,0.0,,,,45,,,,,,,-3.0,,3.1,4.2,4.2,
2018-01-01 11:40:00,208,245.0,,80.0,,2.0,1.5,,6.0,,0,,0,,,241.0,,,,,,,391,,,,0.0,,,,60,,,,,,,-4.0,,3.8,3.8,4.1,
2018-01-01 12:40:00,217,226.0,,168.0,,2.4,1.4,,5.7,,0,,0,,,266.0,,,,,,,282,,,,0.0,,,,21,,,,,,,-6.8,,4.3,2.3,4.4,
2018-01-01 13:40:00,278,28.0,,177.0,,2.5,1.3,,6.9,,0,,0,,,274.0,,,,,,,187,,,,0.0,,,,0,,,,,,,-3.4,,4.1,2.0,3.8,
