,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,246,242.0,,0.0,,10.2,9.5,,15.4,,0,,0,,,,,,,,,,1,,,87.6,,,,,0,,,,,,,2.8,,5.3,,4.7,
2018-01-01 01:40:00,215,210.0,,0.0,,11.8,12.9,,18.4,,0,,0,,,,,,,,,,1,,,90.5,,,,,0,,,,,,,1.8,,3.7,,3.2,
2018-01-01 02:40:00,214,218.0,,0.0,,13.3,13.5,,19.1,,0,,0,,,,,,,,,,1,,,92.7,,,,,0,,,,,,,1.5,,2.8,,2.6,
2018-01-01 03:40:00,220,215.0,,0.0,,10.8,13.9,,20.2,,0,,0,,,,,,,,,,1,,,94.0,,,,,0,,,,,,,1.6,,2.5,,2.5,
2018-01-01 04:40:00,224,223.0,,0.0,,11.4,10.4,,19.6,,0,,0,,,,,,,,,,1,,,87.0,,,,,0,,,,,,,1.3,,3.2,,3.3,
2018-01-01 05:40:00,219,224.0,,0.0,,10.3,12.1,,19.6,,0,,0,,,,,,,,,,1,,,85.6,,,,,0,,,,,,,1.0,,3.2,,3.2,
2018-01-01 06:40:00,235,224.0,,0.0,,11.7,11.4,,20.9,,0,,0,,,,,,,,,,1,,,96.0,,,,,0,,,,,,,1.2,,2.3,,1.8,
2018-01-01 07:40:00,218,216.0,,7.0,,11.5,12.4,,15.9,,0,,0,,,,,,,,,,11,,,90.8,,,,,8,,,,,,,1.2,,2.3,,2.5,
2018-01-01 08:40:00,223,225.0,,44.0,,11.3,9.4,,17.1,,0,,0,,,,,,,,,,107,,,84.3,,,,,55,,,,,,,0.7,,2.9,,3.1,
2018-01-01 09:40:00,229,226.0,,98.0,,10.4,12.1,,16.5,,0,,0,,,,,,,,,,127,,,81.4,,,,,8,,,,,,,0.4,,3.3,,3.3,
