,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,251.0,242.0,,,0.1,7.5,7.4,,16.9,,0,,0,,,,,,,1013.3,,,0.0,,,,0.0,,,,0.0,,,,,,,3.1,3.8,8.4,,7.9,9.0
2018-01-01 01:40:00,232.0,246.0,,,,7.5,6.4,,12.4,,0,,0,,,,,,,1014.8,,,0.0,,,,0.0,,,,0.0,,,,,,,2.6,,7.1,,6.8,
2018-01-01 02:40:00,225.0,222.0,,,,6.4,5.6,,10.4,,0,,0,,,,,,,1015.8,,,0.0,,,,0.0,,,,0.0,,,,,,,3.0,,6.3,,6.0,
2018-01-01 03:40:00,224.0,223.0,,,,8.0,9.5,,16.1,,0,,0,,,,,,,1017.1,,,0.0,,,,0.0,,,,0.0,,,,,,,2.7,,5.5,,4.7,
2018-01-01 04:40:00,229.0,217.0,,,,5.8,2.9,,12.7,,0,,0,,,,,0.0,,1017.5,,,0.0,,,,0.8,,0.0,,0.0,,,,,,,2.9,,4.2,,4.0,
2018-01-01 05:40:00,219.0,244.0,,,,2.3,3.0,,5.6,,0,,0,,,,,,,1017.4,,,0.0,,,,0.3,,,,0.0,,,,,,,3.3,,4.1,,4.0,
2018-01-01 06:40:00,248.0,249.0,,,,7.7,5.7,,17.5,,0,,0,,,,,,,1018.1,,,0.0,,,,2.4,,,,0.0,,,,,,,2.9,,4.3,,4.0,
2018-01-01 07:40:00,248.0,242.0,,,,6.2,6.5,,10.0,,0,,0,,,,,,,1017.8,,,9.0,,,,0.0,,,,0.0,,,,,,,3.2,,4.3,,4.6,
2018-01-01 08:40:00,236.0,233.0,,,,5.8,6.1,,9.8,,0,,0,,,,,,,1018.0,,,141.0,,,,0.0,,,,59.0,,,,,,,3.7,,5.2,,5.6,
2018-01-01 09:40:00,231.0,228.0,,,,6.3,6.5,,10.5,,0,,0,,,,,,,1017.8,,,117.0,,,,0.0,,,,5.0,,,,,,,3.3,,5.7,,5.5,
2018-01-01 10:40:00,243.0,252.0,,,,5.7,5.9,,9.0,,0,,0,,,,,,,1016.3,,,105.0,,,,0.0,,,,0.0,,,,,,,3.5,,5.8,,5.8,
2018-01-01 11:40:00,246.0,243.0,,,,5.9,6.6,,10.5,,0,,0,,,,,,,1014.2,,,229.0,,,,0.0,,,,25.0,,,,,,,3.3,,6.4,,6.5,
2018-01-01 12:40:00,248.0,247.0,,,,9.0,8.9,,14.7,,0,,0,,,,,,,1011.4,,,209.0,,,,0.0,,,,43.0,,,,,,,2.8,,6.9,,6.9,
2018-01-01 13:40:00,246.0,249.0,,,,9.6,10.5,,15.9,,0,,0,,,,,,,1010.0,,,84.0,,,,0.0,,,,0.0,,,,,,,2.3,,6.6,,6.5,
2018-01-01 14:40:00,242.0,243.0,,,,7.9,7.2,,14.0,,0,,0,,,,,,,1008.5,,,33.0,,,,0.0,,,,0.0,,,,,,,1.6,,6.5,,6.5,
