,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,240,228.0,,0,0.1,2.7,1.8,,8.3,,0,,0,,,,,,,1012.1,,,2,,,,0.4,,,,0,,,4.8,5.0,4.9,5.1,5.9,3.7,8.2,6.7,8.1,8.5
2018-01-01 01:40:00,228,224.0,,0,,3.0,3.5,,7.4,,0,,0,,,,,,,1013.8,,,2,,,,1.2,,,,0,,,4.9,5.0,5.1,,3.6,,7.2,5.1,6.5,
2018-01-01 02:40:00,228,221.0,,0,,4.5,4.4,,10.0,,0,,0,,,,,,,1015.2,,,2,,,,0.6,,,,0,,,5.0,5.0,5.1,,3.7,,6.2,4.7,5.8,
2018-01-01 03:40:00,231,229.0,,0,,3.4,2.7,,8.4,,0,,0,,,,,,,1015.8,,,2,,,,0.0,,,,0,,,4.9,5.0,4.9,,3.2,,5.7,4.3,5.6,
2018-01-01 04:40:00,226,234.0,,0,,5.1,4.9,,11.8,,0,,0,,,,,0.0,,1016.5,,,2,,,,0.0,,0.0,,0,,,4.9,5.0,4.8,,2.4,,5.3,3.7,5.0,
2018-01-01 05:40:00,237,247.0,,0,,4.4,3.7,,11.2,,0,,0,,,,,,,1016.5,,,2,,,,0.0,,,,0,,,4.8,5.0,4.6,,2.5,,4.5,3.3,4.3,
2018-01-01 06:40:00,228,227.0,,0,,3.9,5.4,,11.2,,0,,0,,,,,,,1016.9,,,2,,,,0.1,,,,0,,,4.7,5.0,4.4,,2.9,,4.6,3.9,5.0,
2018-01-01 07:40:00,232,241.0,,4,,4.8,4.4,,11.0,,0,,0,,,,,,,1017.6,,,6,,,,0.1,,,,0,,,4.7,4.9,4.4,,2.3,,4.4,2.8,4.3,
2018-01-01 08:40:00,231,227.0,,54,,4.6,5.0,,14.1,,0,,0,,,,,,,1017.3,,,64,,,,0.0,,,,3,,,4.6,4.9,4.4,,2.5,,4.9,4.3,5.1,
2018-01-01 09:40:00,239,240.0,,123,,5.2,4.6,,11.5,,0,,0,,,,,,,1016.8,,,138,,,,0.0,,,,0,,,4.6,4.9,4.7,,3.0,,5.9,7.1,6.7,
2018-01-01 10:40:00,243,233.0,,86,,4.6,3.6,,9.7,,0,,0,,,,,,,1014.8,,,282,,,,0.0,,,,55,,,4.9,4.9,5.4,,3.0,,6.9,9.4,7.2,
2018-01-01 11:40:00,240,227.0,,79,,4.9,4.5,,10.8,,0,,0,,,,,,,1012.7,,,336,,,,0.0,,,,60,,,5.3,4.9,6.2,,1.5,,7.7,9.9,7.9,
2018-01-01 12:40:00,241,242.0,,90,,4.8,4.0,,12.6,,0,,0,,,,,,,1010.7,,,333,,,,0.0,,,,60,,,5.7,5.1,6.6,,1.9,,7.9,10.4,7.9,
2018-01-01 13:40:00,232,242.0,,105,,4.3,3.9,,9.6,,0,,0,,,,,,,1008.7,,,134,,,,0.0,,,,9,,,5.8,5.2,6.4,,1.0,,7.6,7.4,7.5,
2018-01-01 14:40:00,244,248.0,,34,,4.9,5.5,,10.9,,0,,0,,,,,,,1007.9,,,36,,,,0.0,,,,0,,,5.8,5.3,5.9,,1.2,,7.0,6.4,6.7,
2018-01-01 15:40:00,232,220.0,,10,,4.4,4.1,,10.3,,0,,0,,,,,,,1007.0,,,12,,,,0.0,,,,0,,,5.6,5.4,5.5,,1.0,,6.5,5.7,6.5,
2018-01-01 16:40:00,232,238.0,,0,,4.8,3.4,,12.5,,0,,0,,,,,,,1006.7,,,2,,,,0.0,,,,0,,,5.4,5.4,5.3,,1.6,,6.1,5.2,5.7,
2018-01-01 17:40:00,229,224.0,,0,,4.4,4.9,,9.4,,0,,0,,,,,,,1007.6,,,2,,,,0.3,,,,0,,,5.3,5.3,5.1,,2.2,,4.9,3.4,4.3,
2018-01-01 18:40:00,230,235.0,,0,,4.2,3.9,,10.2,,0,,0,,,,,,,1008.3,,,2,,,,0.6,,,,0,,,5.1,5.3,4.8,,2.4,,3.9,3.0,3.7,
2018-01-01 19:40:00,230,231.0,,0,,4.2,4.7,,11.3,,0,,0,,,,,,,1008.5,,,2,,,,0.6,,,,0,,,5.0,5.3,4.7,,3.1,,4.1,3.7,4.6,
2018-01-01 20:40:00,239,242.0,,0,,6.3,6.6,,13.1,,0,,0,,,,,,,1009.5,,,2,,,,0.8,,,,0,,,4.9,5.2,4.7,,3.1,,4.9,4.1,5.0,
2018-01-01 21:40:00,238,239.0,,0,,6.9,6.8,,14.3,,0,,0,,,,,,,1011.3,,,2,,,,1.0,,,,0,,,4.9,5.2,4.7,,3.6,,5.0,4.1,5.1,
2018-01-01 22:40:00,236,244.0,,0,,5.1,4.5,,11.3,,0,,0,,,,,,,1013.1,,,2,,,,0.4,,,,0,,,4.9,5.1,4.7,,3.7,,5.3,4.3,5.2,
2018-01-01 23:40:00,224,226.0,,0,,4.8,5.3,,10.4,,0,,0,,,,,,,1014.3,,,2,,,,0.3,,,,0,,,4.9,5.1,4.6,,2.7,,4.7,3.6,4.6,
2018-01-02 00:40:00,232,229.0,,0,0.1,4.9,3.2,,14.6,,0,,0,,,,,,,1015.2,,,2,,,,0.4,,,,0,,,4.8,5.1,4.4,4.5,1.7,2.6,3.8,2.6,3.4,7.1
2018-01-02 01:40:00,238,233.0,,0,,3.0,2.5,,6.8,,0,,0,,,,,,,1015.7,,,1,,,,0.0,,,,0,,,4.7,5.0,4.3,,2.5,,3.8,3.0,4.0,
2018-01-02 02:40:00,227,218.0,,0,,3.7,3.9,,7.3,,0,,0,,,,,,,1015.9,,,2,,,,0.0,,,,0,,,4.6,5.0,4.3,,2.0,,3.9,2.8,3.8,
2018-01-02 03:40:00,224,232.0,,0,,4.1,4.4,,9.0,,0,,0,,,,,,,1016.2,,,2,,,,0.2,,,,0,,,4.6,5.0,4.2,,2.0,,3.7,2.6,3.5,
2018-01-02 04:40:00,221,216.0,,0,,4.3,4.5,,9.4,,0,,0,,,,,0.0,,1017.0,,,2,,,,0.1,,0.0,,0,,,4.5,4.9,4.0,,2.0,,3.5,2.7,3.4,
2018-01-02 05:40:00,215,209.0,,0,,4.6,4.7,,11.2,,0,,0,,,,,,,1017.2,,,2,,,,0.0,,,,0,,,4.4,4.9,3.8,,1.6,,2.9,2.0,3.1,
2018-01-02 06:40:00,213,224.0,,0,,4.7,3.3,,10.0,,1,,0,,,,,,,1018.3,,,2,,,,0.1,,,,0,,,4.3,4.8,3.8,,1.9,,3.4,2.7,3.6,
2018-01-02 07:40:00,205,199.0,,8,,3.0,3.8,,6.7,,0,,0,,,,,,,1019.2,,,10,,,,0.7,,,,0,,,4.2,4.8,3.7,,1.9,,3.4,2.9,4.1,
2018-01-02 08:40:00,208,209.0,,59,,4.5,4.6,,9.5,,0,,0,,,,,,,1020.2,,,68,,,,0.0,,,,1,,,4.2,4.7,4.0,,1.6,,4.5,4.2,5.0,
2018-01-02 09:40:00,218,214.0,,145,,4.7,4.5,,9.3,,0,,0,,,,,,,1020.7,,,169,,,,0.0,,,,1,,,4.4,4.7,4.4,,2.5,,5.4,6.6,6.0,
2018-01-02 10:40:00,225,245.0,,75,,3.6,2.9,,7.8,,0,,0,,,,,,,1020.6,,,80,,,,0.0,,,,0,,,4.6,4.7,4.8,,1.9,,5.3,5.4,5.2,
2018-01-02 11:40:00,228,215.0,,120,,3.0,3.6,,9.0,,0,,0,,,,,,,1020.0,,,145,,,,0.0,,,,5,,,4.7,4.8,5.1,,2.2,,6.0,6.9,6.3,
2018-01-02 12:40:00,223,233.0,,143,,3.7,3.1,,8.9,,0,,0,,,,,,,1019.6,,,230,,,,0.0,,,,22,,,5.1,4.8,5.7,,1.0,,6.8,7.0,6.6,
2018-01-02 13:40:00,229,223.0,,80,,3.0,3.2,,6.8,,0,,0,,,,,,,1020.0,,,87,,,,0.0,,,,1,,,5.2,5.0,5.6,,1.4,,6.4,6.3,6.4,
2018-01-02 14:40:00,222,223.0,,36,,3.0,3.0,,6.3,,0,,0,,,,,,,1019.8,,,39,,,,0.0,,,,0,,,5.2,5.1,5.3,,1.6,,6.3,5.8,6.2,
2018-01-02 15:40:00,225,221.0,,8,,2.3,1.4,,5.5,,0,,0,,,,,,,1019.7,,,10,,,,0.0,,,,0,,,5.2,5.1,5.1,,1.6,,5.8,3.3,5.1,
2018-01-02 16:40:00,221,217.0,,0,,2.3,2.9,,6.4,,0,,0,,,,,,,1019.1,,,2,,,,0.0,,,,0,,,5.0,5.1,4.7,,1.1,,5.6,4.7,5.7,
2018-01-02 17:40:00,240,256.0,,0,,2.6,2.0,,6.2,,0,,0,,,,,,,1019.6,,,2,,,,0.0,,,,0,,,4.9,5.1,4.6,,1.3,,5.6,4.7,5.6,
