,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,253,251.0,,2.0,,14.6,15.2,,20.4,,0,,0,,,,,,,,,,4,,,98.4,,,,,0,,,,,,,1.9,,2.7,,2.1,
2018-01-01 01:40:00,247,243.0,,2.0,,15.0,14.0,,20.8,,0,,0,,,,,,,,,,3,,,97.2,,,,,0,,,,,,,0.4,,1.1,,0.8,
2018-01-01 02:40:00,236,232.0,,1.0,,14.6,14.5,,19.9,,0,,0,,,,,,,,,,2,,,96.5,,,,,0,,,,,,,0.2,,0.7,,0.7,
2018-01-01 03:40:00,237,232.0,,2.0,,13.9,12.6,,19.2,,0,,0,,,,,,,,,,3,,,96.7,,,,,0,,,,,,,0.5,,0.8,,1.0,
2018-01-01 04:40:00,234,238.0,,1.0,,14.0,13.8,,21.6,,0,,0,,,,,,,,,,2,,,89.0,,,,,0,,,,,,,-0.5,,1.3,,1.1,
2018-01-01 05:40:00,233,232.0,,1.0,,14.4,14.0,,18.5,,0,,0,,,,,,,,,,2,,,74.7,,,,,0,,,,,,,-2.1,,1.5,,1.9,
2018-01-01 06:40:00,243,246.0,,2.0,,15.6,17.5,,22.0,,0,,0,,,,,,,,,,3,,,96.3,,,,,0,,,,,,,-0.2,,0.6,,0.3,
2018-01-01 07:40:00,241,238.0,,6.0,,16.6,17.6,,21.8,,0,,0,,,,,,,,,,8,,,91.3,,,,,0,,,,,,,-0.8,,0.5,,0.5,
2018-01-01 08:40:00,240,239.0,,42.0,,16.5,14.8,,20.5,,0,,0,,,,,,,,,,121,,,78.7,,,,,54,,,,,,,-2.2,,0.8,,1.1,
2018-01-01 09:40:00,240,243.0,,88.0,,14.1,13.5,,17.9,,0,,0,,,,,,,,,,185,,,77.9,,,,,35,,,,,,,-2.1,,1.2,,1.3,
2018-01-01 10:40:00,238,234.0,,87.0,,13.6,11.9,,18.2,,0,,0,,,,,,,,,,291,,,81.1,,,,,44,,,,,,,-1.5,,1.2,,1.4,
2018-01-01 11:40:00,239,245.0,,83.0,,13.3,13.4,,17.8,,0,,0,,,,,,,,,,378,,,73.3,,,,,60,,,,,,,-2.6,,1.7,,1.7,
2018-01-01 12:40:00,241,240.0,,106.0,,11.9,10.6,,17.9,,0,,0,,,,,,,,,,299,,,67.9,,,,,48,,,,,,,-3.2,,2.0,,2.1,
2018-01-01 13:40:00,245,252.0,,107.0,,8.5,10.4,,14.2,,0,,0,,,,,,,,,,123,,,74.8,,,,,2,,,,,,,-2.4,,1.8,,1.6,
2018-01-01 14:40:00,249,248.0,,46.0,,11.0,11.1,,14.7,,0,,0,,,,,,,,,,49,,,73.8,,,,,0,,,,,,,-2.6,,1.5,,1.6,
2018-01-01 15:40:00,248,252.0,,12.0,,11.2,11.9,,16.6,,0,,0,,,,,,,,,,13,,,77.3,,,,,0,,,,,,,-2.1,,1.4,,1.4,
2018-01-01 16:40:00,249,245.0,,2.0,,12.7,12.3,,18.2,,0,,0,,,,,,,,,,3,,,92.7,,,,,0,,,,,,,-0.4,,0.9,,0.6,
2018-01-01 17:40:00,246,244.0,,1.0,,13.5,14.4,,17.3,,0,,0,,,,,,,,,,2,,,96.7,,,,,0,,,,,,,0.0,,0.4,,0.5,
2018-01-01 18:40:00,239,239.0,,1.0,,16.8,20.1,,27.8,,0,,0,,,,,,,,,,2,,,87.4,,,,,0,,,,,,,-0.2,,0.9,,1.7,
2018-01-01 19:40:00,238,239.0,,1.0,,22.1,22.4,,31.4,,0,,0,,,,,,,,,,2,,,88.3,,,,,0,,,,,,,0.0,,1.9,,1.7,
2018-01-01 20:40:00,244,245.0,,2.0,,22.2,22.8,,31.2,,0,,0,,,,,,,,,,3,,,93.6,,,,,0,,,,,,,0.2,,1.4,,1.1,
2018-01-01 21:40:00,248,252.0,,1.0,,21.0,17.8,,29.3,,0,,0,,,,,,,,,,2,,,88.5,,,,,0,,,,,,,-0.3,,1.1,,1.4,
2018-01-01 22:40:00,251,248.0,,1.0,,16.8,14.8,,23.3,,0,,0,,,,,,,,,,2,,,94.1,,,,,0,,,,,,,-0.2,,0.7,,0.6,
2018-01-01 23:40:00,242,246.0,,1.0,,15.4,16.9,,22.1,,0,,0,,,,,,,,,,2,,,97.2,,,,,0,,,,,,,-0.1,,0.3,,0.3,
2018-01-02 00:40:00,249,244.0,,1.0,,15.0,15.3,,21.2,,0,,0,,,,,,,,,,2,,,79.9,,,,,0,,,,,,,-2.6,,0.5,,0.5,
2018-01-02 01:40:00,244,248.0,,2.0,,14.2,15.8,,20.1,,0,,0,,,,,,,,,,3,,,98.4,,,,,0,,,,,,,-1.0,,-0.3,,-0.8,
2018-01-02 02:40:00,244,241.0,,1.0,,14.0,14.1,,19.2,,0,,0,,,,,,,,,,3,,,94.8,,,,,0,,,,,,,-1.1,,-0.5,,-0.4,
2018-01-02 03:40:00,244,245.0,,1.0,,13.9,15.4,,19.0,,0,,0,,,,,,,,,,2,,,97.7,,,,,0,,,,,,,-1.0,,-0.6,,-0.7,
2018-01-02 04:40:00,244,245.0,,1.0,,14.6,12.6,,19.4,,0,,0,,,,,,,,,,2,,,96.1,,,,,0,,,,,,,-1.1,,-0.4,,-0.6,
2018-01-02 05:40:00,245,243.0,,1.0,,13.5,14.9,,17.7,,0,,0,,,,,,,,,,2,,,82.1,,,,,0,,,,,,,-2.4,,-0.4,,0.3,
2018-01-02 06:40:00,248,255.0,,1.0,,14.0,12.6,,19.1,,0,,0,,,,,,,,,,2,,,92.7,,,,,0,,,,,,,-1.3,,0.1,,-0.3,
2018-01-02 07:40:00,249,246.0,,14.0,,14.2,12.8,,17.5,,0,,0,,,,,,,,,,17,,,86.8,,,,,0,,,,,,,-1.9,,-0.2,,0.0,
2018-01-02 08:40:00,248,249.0,,41.0,,12.4,13.1,,15.1,,0,,0,,,,,,,,,,45,,,94.7,,,,,0,,,,,,,-1.4,,-0.7,,-0.7,
2018-01-02 09:40:00,249,250.0,,79.0,,14.9,16.5,,18.5,,0,,0,,,,,,,,,,199,,,85.5,,,,,34,,,,,,,-2.0,,-0.2,,0.1,
