,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,221,229.0,,0,0.2,6.5,8.5,,12.7,,0,,0,,,339,,,,1013.9,,,0,,,,0.5,,,,0,,,3.9,3.9,4.3,4.2,3.1,3.2,7.0,5.3,6.7,7.6
2018-01-01 01:40:00,222,208.0,,0,,8.2,8.4,,14.4,,0,,0,,,333,,,,1015.4,,,0,,,,0.9,,,,0,,,4.0,3.9,4.2,,3.3,,5.9,4.5,5.4,
2018-01-01 02:40:00,198,190.0,,0,,8.8,8.1,,12.7,,0,,0,,,326,,,,1016.0,,,0,,,,0.1,,,,0,,,4.0,3.9,4.0,,2.3,,4.9,3.7,4.8,
2018-01-01 03:40:00,215,222.0,,0,,9.0,7.5,,18.0,,0,,0,,,319,,,,1017.4,,,0,,,,0.1,,,,0,,,3.9,3.9,3.8,,2.0,,4.5,3.0,3.7,
2018-01-01 04:40:00,220,199.0,,0,,4.0,2.5,,7.2,,0,,0,,,319,,0.0,,1017.6,,,0,,,,1.1,,0.0,,0,,,3.8,3.9,3.6,,2.2,,3.6,2.7,3.5,
2018-01-01 05:40:00,196,202.0,,0,,1.9,1.1,,3.5,,0,,0,,,308,,,,1017.1,,,0,,,,0.0,,,,0,,,3.6,3.9,3.4,,2.0,,3.9,1.8,4.0,
2018-01-01 06:40:00,241,233.0,,0,,5.5,6.2,,13.6,,0,,0,,,325,,,,1018.3,,,0,,,,1.2,,,,0,,,3.5,3.9,3.4,,1.9,,4.0,3.0,3.7,
2018-01-01 07:40:00,208,189.0,,5,,4.6,3.5,,8.7,,0,,0,,,285,,,,1018.4,,,7,,,,0.0,,,,0,,,3.5,3.9,3.2,,1.6,,3.4,2.1,3.2,
2018-01-01 08:40:00,203,209.0,,49,,2.6,2.7,,4.1,,0,,0,,,263,,,,1018.2,,,133,,,,0.0,,,,55,,,3.4,3.8,3.3,,2.5,,4.3,6.1,4.9,
2018-01-01 09:40:00,232,242.0,,112,,4.9,7.5,,12.2,,0,,0,,,284,,,,1017.5,,,248,,,,0.0,,,,47,,,3.8,3.8,4.4,,2.0,,6.0,7.2,6.3,
