,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,262,254.0,,0,0.2,4.6,2.4,,11.3,,0,,0,,,,,,,1014.3,,,1,,,,0.8,,,,0,,,,,,,4.4,3.7,7.5,5.3,7.1,7.9
2018-01-01 01:40:00,225,265.0,,0,,2.5,1.1,,8.1,,0,,0,,,,,,,1015.6,,,1,,,,0.4,,,,0,,,,,,,2.8,,6.2,4.1,5.7,
2018-01-01 02:40:00,256,248.0,,0,,2.2,3.2,,9.0,,0,,0,,,,,,,1016.4,,,1,,,,0.3,,,,0,,,,,,,2.6,,5.4,3.7,5.1,
2018-01-01 03:40:00,270,266.0,,0,,2.6,1.7,,8.6,,0,,0,,,,,,,1017.2,,,1,,,,3.1,,,,0,,,,,,,2.8,,4.8,3.6,4.8,
2018-01-01 04:40:00,289,317.0,,0,,2.2,1.7,,7.3,,0,,0,,,,,,,1017.3,,,0,,,,0.5,,,,0,,,,,,,3.0,,5.0,3.5,5.0,
2018-01-01 05:40:00,346,298.0,,0,,0.9,1.5,,10.6,,0,,0,,,,,,,1017.1,,,0,,,,0.1,,,,0,,,,,,,2.4,,5.0,3.4,5.2,
2018-01-01 06:40:00,264,255.0,,1,,4.2,2.5,,10.4,,0,,0,,,,,,,1018.4,,,2,,,,1.6,,,,0,,,,,,,2.2,,4.6,2.7,4.1,
2018-01-01 07:40:00,293,241.0,,7,,1.3,0.9,,5.4,,0,,0,,,,,,,1018.3,,,10,,,,0.0,,,,3,,,,,,,2.3,,4.1,1.8,4.3,
2018-01-01 08:40:00,279,288.0,,64,,2.1,1.6,,5.9,,0,,0,,,,,,,1018.1,,,109,,,,0.0,,,,29,,,,,,,2.2,,5.0,6.0,5.2,
2018-01-01 09:40:00,270,249.0,,103,,1.9,2.4,,7.5,,0,,0,,,,,,,1017.8,,,135,,,,0.0,,,,12,,,,,,,1.9,,5.5,4.7,5.6,
2018-01-01 10:40:00,255,252.0,,123,,2.4,2.1,,10.8,,0,,0,,,,,,,1015.9,,,345,,,,0.0,,,,57,,,,,,,1.7,,6.5,10.8,7.6,
2018-01-01 11:40:00,257,248.0,,113,,5.2,4.5,,13.3,,0,,0,,,,,,,1014.0,,,359,,,,0.0,,,,60,,,,,,,0.7,,7.4,8.4,7.4,
2018-01-01 12:40:00,259,274.0,,127,,4.7,3.5,,12.0,,0,,0,,,,,,,1011.2,,,208,,,,0.0,,,,27,,,,,,,-0.1,,7.3,6.6,7.1,
2018-01-01 13:40:00,279,278.0,,101,,4.1,5.1,,9.1,,0,,0,,,,,,,1009.9,,,109,,,,0.0,,,,0,,,,,,,0.3,,6.9,6.1,6.8,
