,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,63,304.0,,1,0.1,1.3,1.0,,3.2,,0,,0,,,,,,,1014.8,,,3,,,,0.0,,,,0,,,,,,,-1.7,-1.5,-1.3,-2.5,-1.2,5.3
2018-01-01 01:40:00,342,102.0,,1,,1.8,1.3,,7.5,,0,,0,,,,,,,1016.3,,,4,,,,0.0,,,,0,,,,,,,-0.1,,0.2,-0.1,0.9,
2018-01-01 02:40:00,101,279.0,,1,,0.9,0.5,,2.9,,0,,0,,,,,,,1017.9,,,2,,,,0.9,,,,0,,,,,,,1.2,,2.0,0.8,2.2,
2018-01-01 03:40:00,264,270.0,,1,,1.3,0.9,,2.4,,0,,0,,,,,,,1017.9,,,2,,,,0.9,,,,0,,,,,,,2.2,,2.9,1.3,2.7,
2018-01-01 04:40:00,360,315.0,,1,,1.0,1.7,,2.9,,0,,0,,,,,0.0,,1018.8,,,2,,,,2.0,,3.0,,0,,,,,,,2.4,,2.5,1.3,2.8,
2018-01-01 05:40:00,90,126.0,,0,,1.8,2.3,,5.0,,0,,0,,,,,,,1018.4,,,2,,,,0.2,,,,0,,,,,,,1.8,,3.3,1.4,2.6,
2018-01-01 06:40:00,107,22.0,,1,,1.4,0.4,,3.0,,0,,0,,,,,,,1018.4,,,3,,,,0.0,,,,0,,,,,,,1.5,,2.5,0.7,1.9,
2018-01-01 07:40:00,360,2.0,,8,,1.3,0.4,,3.2,,0,,0,,,,,,,1018.7,,,12,,,,0.0,,,,0,,,,,,,1.8,,2.1,0.9,2.2,
2018-01-01 08:40:00,135,147.0,,23,,1.0,0.6,,2.5,,0,,0,,,,,,,1019.3,,,33,,,,0.0,,,,0,,,,,,,1.0,,1.4,0.0,1.3,
2018-01-01 09:40:00,114,110.0,,57,,1.3,1.3,,3.5,,0,,0,,,,,,,1018.6,,,72,,,,0.0,,,,0,,,,,,,1.6,,2.5,1.6,2.8,
2018-01-01 10:40:00,119,123.0,,132,,1.4,2.6,,4.2,,0,,0,,,,,,,1016.9,,,174,,,,0.0,,,,10,,,,,,,1.4,,2.6,2.8,3.0,
2018-01-01 11:40:00,122,172.0,,44,,1.8,1.1,,4.6,,0,,0,,,,,,,1015.8,,,222,,,,0.0,,,,39,,,,,,,0.8,,3.3,0.4,2.3,
2018-01-01 12:40:00,131,136.0,,28,,2.2,1.8,,4.6,,0,,0,,,,,,,1013.0,,,45,,,,0.0,,,,0,,,,,,,-0.2,,2.9,-0.3,4.1,
