,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,275.0,275.0,,,0.2,4.3,6.2,,13.1,,0,,0,,,,,,,,,,0.0,,,,0.1,,,,0.0,,,,,,,2.9,1.4,6.0,3.3,5.5,6.5
2018-01-01 01:40:00,263.0,251.0,,,,4.0,2.9,,12.9,,0,,0,,,,,,,,,,0.0,,,,1.4,,,,0.0,,,,,,,2.0,,4.0,2.3,3.5,
2018-01-01 02:40:00,256.0,241.0,,,,2.2,1.4,,9.7,,0,,0,,,,,,,,,,0.0,,,,0.7,,,,0.0,,,,,,,1.7,,3.3,2.0,3.1,
2018-01-01 03:40:00,256.0,300.0,,,,1.4,0.7,,4.3,,0,,0,,,,,,,,,,0.0,,,,1.5,,,,0.0,,,,,,,1.6,,2.9,1.6,2.5,
2018-01-01 04:40:00,284.0,29.0,,,,0.9,0.2,,2.9,,0,,0,,,,,0.0,,,,,0.0,,,,1.3,,0.0,,0.0,,,,,,,1.2,,2.5,1.2,2.7,
2018-01-01 05:40:00,117.0,139.0,,,,0.6,0.1,,2.1,,0,,0,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.7,,2.4,0.3,2.2,
2018-01-01 06:40:00,333.0,300.0,,,,1.0,1.5,,3.6,,0,,0,,,,,,,,,,0.0,,,,0.2,,,,0.0,,,,,,,1.1,,2.0,1.3,2.4,
2018-01-01 07:40:00,265.0,264.0,,,,1.3,2.6,,6.2,,0,,0,,,,,,,,,,1.0,,,,0.6,,,,0.0,,,,,,,1.2,,2.4,1.3,2.6,
2018-01-01 08:40:00,279.0,37.0,,,,1.2,0.2,,7.4,,0,,0,,,,,,,,,,84.0,,,,0.0,,,,23.0,,,,,,,0.2,,3.3,4.5,3.8,
2018-01-01 09:40:00,257.0,264.0,,,,1.6,4.3,,6.6,,0,,0,,,,,,,,,,221.0,,,,0.0,,,,60.0,,,,,,,-0.5,,4.2,4.5,4.8,
