,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,263.0,276.0,,,0.1,8.1,4.9,,19.9,,0,,0,,,318.0,,,,,,,0.0,,-5.0,,0.1,,,68.0,0.0,,,,,,,0.5,-1.8,1.8,0.0,0.9,2.9
2018-01-01 01:40:00,253.0,233.0,,,,6.9,7.9,,16.6,,0,,0,,,315.0,,,,,,,0.0,,-6.0,,3.1,,,68.0,0.0,,,,,,,-1.1,,-0.2,0.0,-0.7,
2018-01-01 02:40:00,226.0,228.0,,,,8.9,8.3,,17.7,,0,,0,,,309.0,,,,,,,0.0,,-6.0,,2.9,,,71.0,0.0,,,,,,,-1.7,,-1.2,0.0,-1.4,
2018-01-01 03:40:00,228.0,235.0,,,,8.7,6.5,,16.3,,0,,0,,,307.0,,,,,,,0.0,,-5.0,,1.1,,,71.0,0.0,,,,,,,-1.7,,-1.3,0.0,-1.4,
2018-01-01 04:40:00,224.0,225.0,,,,10.3,11.4,,20.3,,0,,0,,,307.0,,,,,,,0.0,,-6.0,,1.4,,,74.0,0.0,,,,,,,-2.0,,-1.4,0.0,-1.0,
2018-01-01 05:40:00,218.0,219.0,,,,10.3,10.6,,19.0,,0,,0,,,273.0,,,,,,,0.0,,-6.0,,0.0,,,71.0,0.0,,,,,,,-2.5,,-1.7,0.0,-1.8,
2018-01-01 06:40:00,223.0,228.0,,,,10.2,8.1,,17.3,,0,,0,,,277.0,,,,,,,0.0,,-6.0,,0.2,,,70.0,0.0,,,,,,,-2.2,,-1.5,0.0,-1.8,
2018-01-01 07:40:00,233.0,236.0,,,,10.5,9.0,,20.0,,0,,0,,,303.0,,,,,,,0.0,,-3.0,,0.3,,,68.0,0.0,,,,,,,-2.2,,-1.6,0.0,-1.6,
2018-01-01 08:40:00,229.0,222.0,,,,9.2,9.9,,17.7,,0,,0,,,276.0,,,,,,,62.0,,53.0,,0.0,,,69.0,6.0,,,,,,,-2.9,,-1.8,0.0,-1.8,
2018-01-01 09:40:00,225.0,225.0,,,,9.4,8.5,,17.2,,0,,0,,,208.0,,,,,,,141.0,,184.0,,0.0,,,70.0,50.0,,,,,,,-3.2,,-1.6,0.0,-1.6,
2018-01-01 10:40:00,222.0,219.0,,,,9.2,8.8,,17.7,,0,,0,,,230.0,,,,,,,260.0,,205.0,,0.0,,,74.0,38.0,,,,,,,-2.8,,-1.3,0.0,-0.9,
2018-01-01 11:40:00,217.0,210.0,,,,8.1,6.9,,16.5,,0,,0,,,205.0,,,,,,,364.0,,270.0,,0.0,,,73.0,60.0,,,,,,,-2.4,,-0.5,0.0,-0.2,
2018-01-01 12:40:00,216.0,205.0,,,,8.1,8.2,,14.7,,0,,0,,,205.0,,,,,,,341.0,,238.0,,0.0,,,73.0,60.0,,,,,,,-2.9,,-0.1,0.0,0.1,
