,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,285,278.0,,,0.2,5.5,6.8,,11.7,,0,,0,,,,,,,1012.7,,,0,,,,0.4,,,,0.0,,,,,,,5.6,4.6,7.7,,7.7,9.0
2018-01-01 01:40:00,279,277.0,,,,5.1,4.9,,16.8,,0,,0,,,,,,,1013.7,,,0,,,,0.4,,,,0.0,,,,,,,4.5,,7.5,,7.4,
2018-01-01 02:40:00,288,294.0,,,,4.4,1.8,,11.5,,0,,0,,,,,,,1015.0,,,0,,,,0.9,,,,0.0,,,,,,,4.2,,6.2,,5.7,
2018-01-01 03:40:00,329,313.0,,,,1.2,1.5,,3.0,,0,,0,,,,,,,1015.0,,,0,,,,0.0,,,,0.0,,,,,,,4.3,,5.2,,5.5,
2018-01-01 04:40:00,265,240.0,,,,2.7,5.1,,9.6,,0,,0,,,,,,,1014.8,,,0,,,,0.0,,,,0.0,,,,,,,2.3,,6.3,,7.4,
2018-01-01 05:40:00,265,288.0,,,,5.2,4.7,,11.8,,0,,0,,,,,,,1015.5,,,0,,,,0.2,,,,0.0,,,,,,,3.1,,7.4,,6.7,
2018-01-01 06:40:00,303,333.0,,,,2.5,0.7,,9.9,,0,,0,,,,,,,1016.7,,,0,,,,0.5,,,,0.0,,,,,,,4.1,,5.2,,4.8,
2018-01-01 07:40:00,339,21.0,,,,1.0,0.6,,2.6,,0,,0,,,,,,,1017.2,,,3,,,,0.0,,,,0.0,,,,,,,4.1,,4.8,,4.6,
2018-01-01 08:40:00,297,274.0,,,,1.0,2.2,,4.4,,0,,0,,,,,,,1016.9,,,123,,,,0.0,,,,54.0,,,,,,,2.8,,5.6,,6.7,
2018-01-01 09:40:00,261,251.0,,,,3.8,5.6,,10.5,,0,,0,,,,,,,1016.6,,,192,,,,0.0,,,,45.0,,,,,,,1.7,,7.2,,7.6,
2018-01-01 10:40:00,260,274.0,,,,5.2,4.6,,10.0,,0,,0,,,,,,,1014.7,,,326,,,,0.0,,,,60.0,,,,,,,1.4,,8.2,,8.3,
2018-01-01 11:40:00,261,228.0,,,,4.5,3.9,,9.5,,0,,0,,,,,,,1012.4,,,343,,,,0.0,,,,60.0,,,,,,,1.4,,8.7,,8.7,
2018-01-01 12:40:00,217,204.0,,,,4.2,3.6,,9.0,,0,,0,,,,,,,1010.0,,,247,,,,0.0,,,,44.0,,,,,,,0.5,,8.7,,8.6,
2018-01-01 13:40:00,228,236.0,,,,4.9,3.3,,10.6,,0,,0,,,,,,,1008.7,,,84,,,,0.0,,,,0.0,,,,,,,0.3,,8.4,,8.3,
2018-01-01 14:40:00,212,228.0,,,,1.6,0.9,,6.6,,0,,0,,,,,,,1006.7,,,23,,,,0.0,,,,0.0,,,,,,,-0.8,,8.2,,8.3,
2018-01-01 15:40:00,246,254.0,,,,2.3,2.9,,10.8,,0,,0,,,,,,,1005.7,,,3,,,,0.0,,,,0.0,,,,,,,-0.8,,8.7,,8.9,
2018-01-01 16:40:00,232,238.0,,,,5.5,5.0,,10.9,,0,,0,,,,,,,1005.5,,,0,,,,0.0,,,,0.0,,,,,,,1.5,,8.5,,8.3,
2018-01-01 17:40:00,234,235.0,,,,5.6,4.8,,11.8,,0,,0,,,,,,,1005.6,,,0,,,,0.0,,,,0.0,,,,,,,2.3,,7.7,,7.9,
2018-01-01 18:40:00,237,245.0,,,,6.0,7.4,,14.0,,0,,0,,,,,,,1006.0,,,0,,,,0.0,,,,0.0,,,,,,,1.8,,8.2,,8.5,
2018-01-01 19:40:00,242,243.0,,,,7.4,7.5,,14.2,,0,,0,,,,,,,1006.9,,,0,,,,0.0,,,,0.0,,,,,,,2.8,,8.3,,7.9,
2018-01-01 20:40:00,248,253.0,,,,8.5,9.8,,16.2,,0,,0,,,,,,,1008.5,,,0,,,,0.0,,,,0.0,,,,,,,3.1,,7.6,,7.4,
2018-01-01 21:40:00,258,264.0,,,,9.9,9.9,,18.2,,0,,0,,,,,,,1010.9,,,0,,,,0.0,,,,0.0,,,,,,,3.3,,7.0,,7.0,
2018-01-01 22:40:00,266,263.0,,,,9.4,6.6,,20.5,,0,,0,,,,,,,1013.2,,,0,,,,0.7,,,,0.0,,,,,,,2.6,,5.9,,5.3,
2018-01-01 23:40:00,277,300.0,,,,4.4,3.7,,9.5,,0,,0,,,,,,,1014.1,,,0,,,,0.1,,,,0.0,,,,,,,3.1,,5.3,,5.3,
2018-01-02 00:40:00,267,269.0,,,0.1,6.5,6.8,,13.4,,0,,0,,,,,,,1014.7,,,0,,,,0.0,,,,0.0,,,,,,,2.2,3.5,5.2,,5.1,8.1
2018-01-02 01:40:00,264,260.0,,,,5.8,6.5,,12.3,,0,,0,,,,,,,1015.2,,,0,,,,0.1,,,,0.0,,,,,,,2.5,,5.0,,5.3,
2018-01-02 02:40:00,259,261.0,,,,6.1,6.4,,12.1,,0,,0,,,,,,,1015.4,,,0,,,,0.0,,,,0.0,,,,,,,2.2,,5.5,,5.6,
2018-01-02 03:40:00,260,260.0,,,,6.3,5.5,,12.2,,0,,0,,,,,,,1015.7,,,0,,,,0.0,,,,0.0,,,,,,,2.7,,5.2,,4.9,
2018-01-02 04:40:00,263,263.0,,,,7.1,7.3,,12.5,,0,,0,,,,,,,1016.2,,,0,,,,0.0,,,,0.0,,,,,,,2.2,,5.4,,5.6,
2018-01-02 05:40:00,265,299.0,,,,7.4,6.0,,13.1,,0,,0,,,,,,,1017.0,,,0,,,,0.4,,,,0.0,,,,,,,2.7,,5.4,,4.8,
2018-01-02 06:40:00,281,252.0,,,,5.2,5.4,,10.7,,1,,0,,,,,,,1018.2,,,0,,,,1.7,,,,0.0,,,,,,,2.2,,3.9,,3.5,
2018-01-02 07:40:00,270,313.0,,,,2.6,1.8,,8.2,,0,,0,,,,,,,1019.4,,,0,,,,0.1,,,,0.0,,,,,,,2.7,,3.6,,3.6,
2018-01-02 08:40:00,324,320.0,,,,1.7,2.3,,4.4,,0,,0,,,,,,,1020.4,,,33,,,,0.0,,,,0.0,,,,,,,3.3,,3.8,,4.3,
2018-01-02 09:40:00,296,287.0,,,,3.4,4.3,,7.5,,0,,0,,,,,,,1020.5,,,123,,,,0.0,,,,14.0,,,,,,,2.5,,5.4,,6.1,
2018-01-02 10:40:00,265,260.0,,,,6.1,4.6,,15.0,,0,,0,,,,,,,1020.3,,,177,,,,0.0,,,,29.0,,,,,,,2.6,,5.9,,5.6,
2018-01-02 11:40:00,259,255.0,,,,3.8,4.0,,7.6,,0,,0,,,,,,,1019.8,,,255,,,,0.0,,,,34.0,,,,,,,2.5,,6.1,,6.7,
2018-01-02 12:40:00,260,260.0,,,,5.9,5.7,,12.7,,0,,0,,,,,,,1019.4,,,205,,,,0.0,,,,30.0,,,,,,,0.3,,7.5,,7.1,
2018-01-02 13:40:00,256,254.0,,,,3.4,3.2,,6.8,,0,,0,,,,,,,1019.9,,,85,,,,0.0,,,,0.0,,,,,,,0.9,,7.0,,7.0,
2018-01-02 14:40:00,243,257.0,,,,2.4,1.9,,5.7,,0,,0,,,,,,,1019.6,,,28,,,,0.0,,,,0.0,,,,,,,1.3,,6.9,,6.8,
2018-01-02 15:40:00,246,142.0,,,,1.4,0.8,,3.5,,0,,0,,,,,,,1019.3,,,5,,,,0.0,,,,0.0,,,,,,,2.2,,6.5,,5.5,
2018-01-02 16:40:00,96,92.0,,,,1.0,1.0,,1.7,,0,,0,,,,,,,1018.9,,,0,,,,0.0,,,,0.0,,,,,,,2.7,,5.1,,4.5,
2018-01-02 17:40:00,59,48.0,,,,0.7,0.4,,1.4,,0,,0,,,,,,,1019.6,,,0,,,,0.0,,,,0.0,,,,,,,2.5,,4.4,,4.5,
2018-01-02 18:40:00,233,215.0,,,,0.7,0.4,,4.6,,0,,0,,,,,,,1019.1,,,0,,,,0.0,,,,0.0,,,,,,,1.6,,5.0,,5.4,
2018-01-02 19:40:00,169,112.0,,,,1.1,0.2,,4.0,,0,,0,,,,,,,1017.9,,,0,,,,0.0,,,,0.0,,,,,,,0.9,,5.6,,5.5,
2018-01-02 20:40:00,184,190.0,,,,1.5,1.6,,5.2,,0,,0,,,,,,,1016.9,,,0,,,,0.1,,,,0.0,,,,,,,1.6,,6.2,,5.9,
2018-01-02 21:40:00,76,69.0,,,,0.9,1.1,,2.3,,0,,0,,,,,,,1016.4,,,0,,,,0.3,,,,0.0,,,,,,,3.4,,4.6,,4.3,
