,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,222,220.0,,,0.1,2.6,2.6,,7.0,,0,,0,,,,,,,1012.8,,,1,,,,1.0,,,,0,,,,,,,6.3,3.5,7.3,6.3,7.2,7.8
2018-01-01 01:40:00,234,231.0,,,,4.0,3.2,,12.8,,0,,0,,,,,,,1014.3,,,1,,,,1.3,,,,0,,,,,,,3.5,,6.9,4.8,6.3,
2018-01-01 02:40:00,234,230.0,,,,3.4,3.1,,9.4,,0,,0,,,,,,,1015.3,,,1,,,,1.0,,,,0,,,,,,,3.1,,5.7,4.2,5.4,
2018-01-01 03:40:00,236,238.0,,,,3.7,4.7,,9.2,,0,,0,,,,,,,1016.2,,,1,,,,0.0,,,,0,,,,,,,2.7,,5.5,4.1,5.4,
2018-01-01 04:40:00,236,234.0,,,,5.2,5.5,,13.8,,0,,0,,,,,,,1017.0,,,1,,,,0.3,,,,0,,,,,,,2.7,,4.7,3.4,4.3,
2018-01-01 05:40:00,229,249.0,,,,2.3,1.0,,7.0,,0,,0,,,,,,,1016.7,,,1,,,,0.0,,,,0,,,,,,,2.2,,3.8,2.4,3.8,
2018-01-01 06:40:00,242,260.0,,,,2.9,5.9,,11.3,,0,,0,,,,,,,1017.6,,,1,,,,1.6,,,,0,,,,,,,2.4,,4.1,3.3,3.9,
2018-01-01 07:40:00,242,221.0,,,,2.3,2.2,,7.9,,0,,0,,,,,,,1017.9,,,3,,,,0.1,,,,0,,,,,,,3.2,,3.8,3.5,4.1,
2018-01-01 08:40:00,226,222.0,,,,2.9,3.8,,7.6,,0,,0,,,,,,,1017.6,,,118,,,,0.0,,,,24,,,,,,,3.2,,4.6,6.0,5.0,
2018-01-01 09:40:00,228,235.0,,,,4.1,4.2,,9.2,,0,,0,,,,,,,1016.9,,,170,,,,0.0,,,,30,,,,,,,3.2,,5.4,6.1,5.7,
2018-01-01 10:40:00,238,241.0,,,,5.0,5.1,,10.5,,0,,0,,,,,,,1015.1,,,254,,,,0.0,,,,46,,,,,,,2.7,,6.5,8.5,7.0,
2018-01-01 11:40:00,245,243.0,,,,6.2,5.2,,13.9,,0,,0,,,,,,,1013.3,,,265,,,,0.0,,,,41,,,,,,,2.2,,7.1,6.4,6.4,
2018-01-01 12:40:00,242,235.0,,,,5.0,5.5,,11.9,,0,,0,,,,,,,1010.6,,,254,,,,0.0,,,,44,,,,,,,1.0,,7.4,8.8,7.8,
2018-01-01 13:40:00,243,246.0,,,,5.0,5.2,,11.9,,0,,0,,,,,,,1008.9,,,135,,,,0.0,,,,4,,,,,,,1.3,,7.3,6.5,6.8,
2018-01-01 14:40:00,239,239.0,,,,6.0,6.2,,12.5,,0,,0,,,,,,,1007.6,,,68,,,,0.0,,,,0,,,,,,,1.2,,6.6,5.8,6.5,
2018-01-01 15:40:00,234,235.0,,,,5.6,6.6,,16.4,,0,,0,,,,,,,1006.9,,,15,,,,0.1,,,,0,,,,,,,1.2,,6.4,4.8,6.2,
2018-01-01 16:40:00,239,239.0,,,,5.9,5.6,,14.3,,0,,0,,,,,,,1007.0,,,1,,,,0.2,,,,0,,,,,,,1.9,,5.4,3.9,4.9,
2018-01-01 17:40:00,245,245.0,,,,5.4,5.6,,11.0,,0,,0,,,,,,,1007.7,,,1,,,,1.4,,,,0,,,,,,,2.2,,4.1,2.9,3.6,
2018-01-01 18:40:00,234,226.0,,,,3.9,3.8,,9.0,,0,,0,,,,,,,1008.5,,,1,,,,1.4,,,,0,,,,,,,2.8,,3.6,3.2,3.7,
2018-01-01 19:40:00,232,241.0,,,,3.5,3.9,,8.9,,0,,0,,,,,,,1008.8,,,1,,,,2.1,,,,0,,,,,,,3.6,,4.2,4.0,4.8,
2018-01-01 20:40:00,246,249.0,,,,6.2,5.8,,13.0,,0,,0,,,,,,,1010.1,,,1,,,,2.3,,,,0,,,,,,,3.8,,4.9,4.2,4.8,
2018-01-01 21:40:00,244,234.0,,,,4.9,4.5,,13.0,,0,,0,,,,,,,1012.0,,,1,,,,2.0,,,,0,,,,,,,4.0,,5.1,4.3,5.2,
2018-01-01 22:40:00,237,235.0,,,,4.8,4.9,,10.8,,0,,0,,,,,,,1013.5,,,1,,,,0.2,,,,0,,,,,,,2.6,,5.0,3.6,4.8,
2018-01-01 23:40:00,254,249.0,,,,4.0,4.6,,11.8,,0,,0,,,,,,,1014.7,,,1,,,,0.3,,,,0,,,,,,,2.6,,4.8,3.7,4.7,
2018-01-02 00:40:00,255,252.0,,,0.1,3.3,1.9,,8.6,,0,,0,,,,,,,1015.1,,,1,,,,1.2,,,,0,,,,,,,2.8,2.8,3.9,3.1,3.7,6.9
2018-01-02 01:40:00,235,226.0,,,,2.6,3.2,,9.0,,0,,0,,,,,,,1016.1,,,1,,,,1.3,,,,0,,,,,,,2.3,,3.8,2.6,3.5,
2018-01-02 02:40:00,220,209.0,,,,2.8,1.5,,8.6,,0,,0,,,,,,,1016.4,,,1,,,,0.0,,,,0,,,,,,,1.8,,3.1,1.8,2.8,
2018-01-02 03:40:00,211,230.0,,,,2.2,2.5,,5.8,,0,,0,,,,,,,1016.7,,,1,,,,0.1,,,,0,,,,,,,2.2,,3.2,2.3,3.4,
2018-01-02 04:40:00,250,269.0,,,,3.1,3.7,,7.0,,0,,0,,,,,,,1017.7,,,1,,,,1.8,,,,0,,,,,,,1.8,,3.3,2.5,3.1,
2018-01-02 05:40:00,246,248.0,,,,3.3,2.8,,8.4,,0,,0,,,,,,,1017.9,,,1,,,,0.6,,,,0,,,,,,,2.3,,3.2,2.7,3.2,
2018-01-02 06:40:00,226,227.0,,,,2.8,2.5,,7.9,,1,,0,,,,,,,1018.5,,,1,,,,1.4,,,,0,,,,,,,2.3,,3.2,1.6,3.2,
2018-01-02 07:40:00,224,226.0,,,,3.3,3.7,,7.4,,0,,0,,,,,,,1019.5,,,11,,,,0.0,,,,0,,,,,,,1.6,,3.4,1.9,3.5,
2018-01-02 08:40:00,233,233.0,,,,4.2,4.3,,9.8,,0,,0,,,,,,,1020.2,,,79,,,,0.0,,,,30,,,,,,,1.6,,3.9,3.9,4.4,
2018-01-02 09:40:00,238,236.0,,,,5.3,5.8,,12.6,,0,,0,,,,,,,1021.0,,,213,,,,0.0,,,,52,,,,,,,1.6,,4.9,5.4,4.9,
2018-01-02 10:40:00,245,238.0,,,,4.7,4.5,,10.7,,0,,0,,,,,,,1020.1,,,299,,,,0.0,,,,41,,,,,,,2.1,,5.9,8.5,6.5,
2018-01-02 11:40:00,245,240.0,,,,4.3,5.0,,11.9,,0,,0,,,,,,,1019.7,,,203,,,,0.0,,,,13,,,,,,,1.2,,6.6,7.0,6.5,
2018-01-02 12:40:00,239,236.0,,,,3.3,2.8,,8.4,,0,,0,,,,,,,1019.5,,,139,,,,0.0,,,,5,,,,,,,1.0,,6.6,6.8,6.6,
2018-01-02 13:40:00,248,257.0,,,,2.2,1.7,,5.7,,0,,0,,,,,,,1019.9,,,61,,,,0.0,,,,0,,,,,,,1.3,,6.4,6.1,6.2,
2018-01-02 14:40:00,245,259.0,,,,1.5,2.3,,4.5,,0,,0,,,,,,,1019.7,,,34,,,,0.0,,,,0,,,,,,,1.6,,6.1,5.6,6.2,
2018-01-02 15:40:00,229,217.0,,,,2.0,2.1,,6.8,,0,,0,,,,,,,1019.3,,,8,,,,0.0,,,,0,,,,,,,1.1,,5.7,4.1,5.6,
2018-01-02 16:40:00,229,222.0,,,,3.2,2.7,,8.3,,0,,0,,,,,,,1019.0,,,1,,,,0.0,,,,0,,,,,,,1.2,,5.5,4.2,5.5,
2018-01-02 17:40:00,226,223.0,,,,3.1,2.9,,6.4,,0,,0,,,,,,,1019.5,,,1,,,,0.0,,,,0,,,,,,,0.9,,5.5,4.3,5.6,
2018-01-02 18:40:00,230,230.0,,,,3.4,3.0,,8.1,,0,,0,,,,,,,1019.2,,,1,,,,0.0,,,,0,,,,,,,0.3,,5.5,4.4,5.5,
2018-01-02 19:40:00,225,226.0,,,,2.9,3.1,,8.6,,0,,0,,,,,,,1018.6,,,1,,,,0.0,,,,0,,,,,,,0.7,,5.2,4.2,5.1,
2018-01-02 20:40:00,239,241.0,,,,4.5,4.6,,10.2,,0,,0,,,,,,,1018.4,,,1,,,,0.0,,,,0,,,,,,,1.5,,4.7,3.5,4.1,
2018-01-02 21:40:00,230,221.0,,,,5.1,3.8,,13.5,,0,,0,,,,,,,1018.1,,,1,,,,0.7,,,,0,,,,,,,2.0,,3.2,2.5,2.9,
2018-01-02 22:40:00,220,219.0,,,,4.3,4.7,,10.4,,0,,0,,,,,,,1016.9,,,1,,,,0.0,,,,0,,,,,,,2.4,,3.1,2.8,3.2,
2018-01-02 23:40:00,217,213.0,,,,5.0,4.6,,11.5,,0,,0,,,,,,,1016.1,,,1,,,,0.1,,,,0,,,,,,,2.9,,3.5,3.2,3.7,
