,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,283,243.0,,1.0,0.2,5.1,5.7,,13.2,,0,,0,,,336,,,,,,,3,,,,0.2,,,,0,,,,,,,3.4,2.8,6.5,5.3,6.5,7.5
2018-01-01 01:40:00,241,242.0,,0.0,,7.0,6.4,,15.2,,0,,0,,,329,,,,,,,0,,,,0.2,,,,0,,,,,,,1.1,,5.8,4.5,5.8,
2018-01-01 02:40:00,242,238.0,,0.0,,6.8,4.2,,15.7,,0,,0,,,323,,,,,,,0,,,,0.0,,,,0,,,,,,,1.1,,5.9,4.3,5.8,
2018-01-01 03:40:00,219,200.0,,0.0,,3.4,4.8,,8.2,,0,,0,,,318,,,,,,,1,,,,0.0,,,,0,,,,,,,0.8,,5.7,4.3,5.4,
2018-01-01 04:40:00,204,190.0,,0.0,,4.8,5.0,,10.6,,0,,0,,,307,,,,,,,1,,,,0.0,,,,0,,,,,,,0.0,,5.4,3.9,5.0,
2018-01-01 05:40:00,204,213.0,,0.0,,5.4,5.0,,10.6,,0,,0,,,306,,,,,,,1,,,,0.0,,,,0,,,,,,,0.5,,4.8,3.9,4.8,
2018-01-01 06:40:00,227,211.0,,0.0,,4.7,2.8,,12.2,,0,,0,,,320,,,,,,,1,,,,0.6,,,,0,,,,,,,2.0,,3.9,2.5,3.4,
2018-01-01 07:40:00,220,232.0,,3.0,,4.0,3.4,,8.2,,0,,0,,,280,,,,,,,4,,,,0.1,,,,0,,,,,,,0.1,,3.9,1.9,3.6,
2018-01-01 08:40:00,217,218.0,,33.0,,3.4,3.0,,7.6,,0,,0,,,247,,,,,,,103,,,,0.0,,,,51,,,,,,,0.1,,4.3,5.4,4.9,
2018-01-01 09:40:00,224,226.0,,91.0,,5.0,6.5,,12.1,,0,,0,,,275,,,,,,,145,,,,0.0,,,,18,,,,,,,0.1,,5.0,5.3,4.9,
2018-01-01 10:40:00,224,230.0,,93.0,,5.9,5.1,,13.9,,0,,0,,,260,,,,,,,230,,,,0.0,,,,39,,,,,,,1.0,,5.2,7.5,5.6,
2018-01-01 11:40:00,223,226.0,,90.0,,7.0,8.4,,17.3,,0,,0,,,258,,,,,,,322,,,,0.0,,,,51,,,,,,,-1.2,,5.9,7.5,5.9,
2018-01-01 12:40:00,215,208.0,,97.0,,9.5,7.9,,19.8,,0,,0,,,254,,,,,,,315,,,,0.0,,,,51,,,,,,,-1.2,,6.3,6.9,6.1,
2018-01-01 13:40:00,211,221.0,,94.0,,6.7,3.0,,16.2,,0,,0,,,298,,,,,,,98,,,,0.0,,,,0,,,,,,,-2.8,,6.0,6.0,6.2,
2018-01-01 14:40:00,216,217.0,,35.0,,7.7,12.0,,20.8,,0,,0,,,316,,,,,,,36,,,,0.0,,,,0,,,,,,,-5.0,,6.6,6.1,7.1,
2018-01-01 15:40:00,213,212.0,,9.0,,12.9,13.0,,25.5,,0,,0,,,307,,,,,,,10,,,,0.0,,,,0,,,,,,,-2.9,,7.0,5.9,6.6,
2018-01-01 16:40:00,209,210.0,,1.0,,13.4,13.5,,24.8,,0,,0,,,325,,,,,,,2,,,,0.0,,,,0,,,,,,,0.6,,5.6,4.6,5.6,
2018-01-01 17:40:00,211,214.0,,0.0,,12.5,13.8,,23.7,,0,,0,,,327,,,,,,,1,,,,0.0,,,,0,,,,,,,0.8,,4.7,3.3,4.9,
2018-01-01 18:40:00,213,217.0,,0.0,,12.4,9.4,,25.8,,0,,0,,,319,,,,,,,0,,,,0.0,,,,0,,,,,,,0.8,,4.7,3.3,4.8,
2018-01-01 19:40:00,213,216.0,,0.0,,10.9,9.9,,22.0,,0,,0,,,317,,,,,,,0,,,,0.0,,,,0,,,,,,,1.1,,4.9,3.5,4.7,
2018-01-01 20:40:00,218,220.0,,0.0,,8.0,8.1,,17.0,,0,,0,,,324,,,,,,,0,,,,0.0,,,,0,,,,,,,1.2,,4.9,4.1,5.0,
2018-01-01 21:40:00,231,236.0,,0.0,,7.0,6.4,,16.3,,0,,0,,,327,,,,,,,1,,,,0.2,,,,0,,,,,,,1.6,,4.5,3.4,4.5,
2018-01-01 22:40:00,260,283.0,,1.0,,6.6,3.8,,14.3,,0,,0,,,325,,,,,,,1,,,,1.9,,,,0,,,,,,,1.5,,3.7,2.2,2.9,
2018-01-01 23:40:00,245,246.0,,0.0,,6.0,7.9,,19.9,,0,,0,,,289,,,,,,,0,,,,0.0,,,,0,,,,,,,0.5,,3.4,2.5,2.8,
2018-01-02 00:40:00,240,236.0,,0.0,0.2,5.5,4.3,,11.8,,0,,0,,,307,,,,,,,1,,,,0.2,,,,0,,,,,,,0.3,1.7,2.2,1.4,2.2,6.4
2018-01-02 01:40:00,239,234.0,,0.0,,4.8,5.4,,11.6,,0,,0,,,304,,,,,,,0,,,,0.0,,,,0,,,,,,,0.1,,3.0,1.7,3.2,
2018-01-02 02:40:00,238,237.0,,0.0,,5.3,5.5,,11.2,,0,,0,,,301,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.3,,3.4,2.2,3.4,
2018-01-02 03:40:00,240,237.0,,0.0,,4.3,4.8,,9.0,,0,,0,,,302,,,,,,,1,,,,0.1,,,,0,,,,,,,0.2,,3.1,1.8,3.0,
2018-01-02 04:40:00,246,249.0,,0.0,,5.4,5.5,,10.8,,0,,0,,,285,,,,,,,1,,,,0.0,,,,0,,,,,,,0.1,,3.1,1.4,3.0,
2018-01-02 05:40:00,244,240.0,,0.0,,5.8,6.3,,11.7,,0,,0,,,279,,,,,,,0,,,,0.0,,,,0,,,,,,,-0.1,,3.2,2.5,3.4,
2018-01-02 06:40:00,253,260.0,,1.0,,6.2,5.2,,12.8,,1,,0,,,311,,,,,,,1,,,,1.1,,,,0,,,,,,,-0.6,,3.0,0.5,2.0,
2018-01-02 07:40:00,254,253.0,,14.0,,4.5,4.6,,9.3,,0,,0,,,277,,,,,,,16,,,,0.0,,,,0,,,,,,,-0.1,,2.4,1.6,2.9,
2018-01-02 08:40:00,253,262.0,,50.0,,5.3,5.3,,12.1,,0,,0,,,264,,,,,,,85,,,,0.0,,,,24,,,,,,,-0.3,,3.2,3.2,3.5,
2018-01-02 09:40:00,252,247.0,,110.0,,5.6,6.0,,14.9,,0,,0,,,276,,,,,,,222,,,,0.0,,,,39,,,,,,,-0.4,,4.3,4.8,4.3,
2018-01-02 10:40:00,272,265.0,,124.0,,4.0,1.4,,15.6,,0,,0,,,295,,,,,,,144,,,,0.0,,,,4,,,,,,,0.6,,3.6,4.4,3.7,
2018-01-02 11:40:00,232,229.0,,129.0,,3.4,5.5,,9.4,,0,,0,,,291,,,,,,,158,,,,0.0,,,,4,,,,,,,-1.7,,4.6,6.2,5.2,
2018-01-02 12:40:00,228,233.0,,127.0,,5.2,3.3,,11.8,,0,,0,,,277,,,,,,,235,,,,0.0,,,,28,,,,,,,-2.5,,5.1,4.5,4.8,
