,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,259,251.0,,1.0,0.2,3.1,3.2,,9.9,,0,,0,,,,,,,1011.9,,,2,,,,0.8,,,,0,,,,,,,5.8,5.0,7.8,6.4,7.9,8.9
2018-01-01 01:40:00,243,220.0,,2.0,,3.6,3.0,,9.5,,0,,0,,,,,,,1012.9,,,3,,,,1.1,,,,0,,,,,,,4.2,,7.8,5.8,7.8,
2018-01-01 02:40:00,238,214.0,,2.0,,2.9,2.1,,10.4,,0,,0,,,,,,,1014.4,,,3,,,,2.6,,,,0,,,,,,,3.9,,7.1,4.9,6.4,
2018-01-01 03:40:00,189,188.0,,2.0,,2.0,3.6,,7.6,,0,,0,,,,,,,1014.6,,,3,,,,0.0,,,,0,,,,,,,4.2,,6.0,5.0,6.3,
2018-01-01 04:40:00,198,196.0,,2.0,,3.7,3.1,,8.8,,0,,0,,,,,,,1014.8,,,3,,,,0.0,,,,0,,,,,,,2.8,,6.4,4.7,6.3,
2018-01-01 05:40:00,203,204.0,,2.0,,4.5,5.1,,9.9,,0,,0,,,,,,,1015.0,,,3,,,,0.0,,,,0,,,,,,,2.0,,6.2,5.0,6.1,
2018-01-01 06:40:00,212,205.0,,2.0,,2.8,1.1,,10.1,,0,,0,,,,,,,1015.9,,,3,,,,0.3,,,,0,,,,,,,3.0,,6.0,3.7,5.5,
2018-01-01 07:40:00,194,189.0,,6.0,,1.3,1.4,,4.0,,0,,0,,,,,,,1016.4,,,7,,,,0.0,,,,0,,,,,,,3.3,,5.3,3.7,5.3,
2018-01-01 08:40:00,198,206.0,,26.0,,2.1,2.5,,5.3,,0,,0,,,,,,,1016.2,,,79,,,,0.0,,,,42,,,,,,,1.9,,5.5,5.4,6.4,
2018-01-01 09:40:00,203,195.0,,57.0,,2.1,1.8,,5.0,,0,,0,,,,,,,1015.9,,,164,,,,0.1,,,,46,,,,,,,1.7,,7.1,6.2,7.2,
2018-01-01 10:40:00,208,206.0,,78.0,,2.8,2.2,,10.3,,0,,0,,,,,,,1014.2,,,149,,,,0.0,,,,21,,,,,,,0.8,,7.7,7.3,7.8,
2018-01-01 11:40:00,211,220.0,,86.0,,2.8,2.1,,7.9,,0,,0,,,,,,,1012.6,,,102,,,,0.0,,,,3,,,,,,,0.6,,7.6,6.9,7.7,
2018-01-01 12:40:00,216,215.0,,79.0,,3.9,5.2,,12.0,,0,,0,,,,,,,1010.1,,,271,,,,0.0,,,,56,,,,,,,0.6,,8.7,9.0,8.5,
2018-01-01 13:40:00,217,214.0,,86.0,,3.6,1.9,,13.8,,0,,0,,,,,,,1008.2,,,115,,,,0.0,,,,13,,,,,,,0.2,,8.3,7.3,8.2,
2018-01-01 14:40:00,209,202.0,,35.0,,2.8,3.1,,7.9,,0,,0,,,,,,,1007.0,,,36,,,,0.0,,,,0,,,,,,,0.4,,8.0,7.1,7.9,
2018-01-01 15:40:00,199,203.0,,8.0,,3.6,3.0,,8.6,,0,,0,,,,,,,1005.7,,,9,,,,0.0,,,,0,,,,,,,-0.5,,7.9,6.9,8.0,
2018-01-01 16:40:00,206,214.0,,2.0,,4.4,5.5,,13.3,,0,,0,,,,,,,1005.6,,,4,,,,0.1,,,,0,,,,,,,1.0,,7.4,5.3,7.1,
2018-01-01 17:40:00,203,195.0,,2.0,,4.7,4.5,,14.0,,0,,0,,,,,,,1005.8,,,3,,,,0.4,,,,0,,,,,,,1.9,,7.0,4.4,6.7,
2018-01-01 18:40:00,190,195.0,,2.0,,5.9,6.3,,16.7,,0,,0,,,,,,,1006.4,,,3,,,,0.1,,,,0,,,,,,,1.8,,6.2,5.0,6.1,
2018-01-01 19:40:00,196,197.0,,2.0,,5.2,5.0,,13.8,,0,,0,,,,,,,1006.8,,,3,,,,0.0,,,,0,,,,,,,2.3,,5.7,4.7,5.9,
2018-01-01 20:40:00,208,212.0,,2.0,,4.2,4.2,,10.7,,0,,0,,,,,,,1007.9,,,3,,,,0.3,,,,0,,,,,,,2.0,,6.5,5.4,6.9,
2018-01-01 21:40:00,216,228.0,,2.0,,4.1,4.4,,11.9,,0,,0,,,,,,,1010.0,,,3,,,,0.2,,,,0,,,,,,,2.2,,7.0,5.8,7.4,
2018-01-01 22:40:00,234,235.0,,2.0,,6.0,6.6,,16.8,,0,,0,,,,,,,1011.8,,,3,,,,0.5,,,,0,,,,,,,2.3,,6.9,4.1,6.3,
2018-01-01 23:40:00,241,233.0,,2.0,,4.9,3.1,,13.5,,0,,0,,,,,,,1012.9,,,3,,,,0.0,,,,0,,,,,,,1.0,,6.1,4.5,6.2,
2018-01-02 00:40:00,245,227.0,,2.0,0.1,3.9,3.9,,14.3,,0,,0,,,,,,,1013.6,,,4,,,,1.1,,,,0,,,,,,,1.4,2.8,5.3,2.9,5.4,7.1
2018-01-02 01:40:00,236,252.0,,2.0,,4.0,3.9,,12.0,,0,,0,,,,,,,1014.1,,,3,,,,0.2,,,,0,,,,,,,1.1,,5.4,2.5,5.4,
2018-01-02 02:40:00,237,246.0,,1.0,,4.6,3.6,,12.3,,0,,0,,,,,,,1014.5,,,2,,,,0.0,,,,0,,,,,,,0.7,,5.9,3.5,6.3,
2018-01-02 03:40:00,238,221.0,,2.0,,4.2,3.9,,12.8,,0,,0,,,,,,,1015.0,,,3,,,,0.2,,,,0,,,,,,,1.0,,6.2,3.8,5.9,
2018-01-02 04:40:00,207,210.0,,2.0,,3.1,2.6,,9.7,,0,,0,,,,,,,1015.5,,,3,,,,0.0,,,,0,,,,,,,1.6,,5.2,3.7,5.2,
2018-01-02 05:40:00,215,221.0,,2.0,,3.5,3.4,,12.0,,0,,0,,,,,,,1015.8,,,3,,,,0.0,,,,0,,,,,,,1.1,,5.9,4.1,6.0,
2018-01-02 06:40:00,248,239.0,,3.0,,4.2,2.1,,12.0,,1,,0,,,,,,,1017.8,,,4,,,,2.0,,,,0,,,,,,,1.9,,4.8,2.9,4.1,
