,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,266,267.0,,,0.2,6.7,7.8,,14.1,,0,,0,,,,,,,1012.5,,,3,,,,0.0,,,,0,,,,,,,5.7,1.5,6.3,,7.3,7.9
2018-01-01 01:40:00,262,256.0,,,,10.0,8.4,,18.2,,0,,0,,,,,,,1014.7,,,0,,,,0.7,,,,0,,,,,,,3.5,,6.3,,5.5,
2018-01-01 02:40:00,249,243.0,,,,7.2,6.7,,14.5,,0,,0,,,,,,,1016.0,,,1,,,,0.3,,,,0,,,,,,,3.4,,5.2,,4.9,
2018-01-01 03:40:00,242,247.0,,,,7.0,8.1,,13.3,,0,,0,,,,,,,1016.0,,,2,,,,0.0,,,,0,,,,,,,2.6,,5.1,,5.3,
2018-01-01 04:40:00,250,245.0,,,,7.5,4.9,,16.3,,0,,0,,,,,,,1017.2,,,1,,,,0.1,,,,0,,,,,,,2.4,,4.5,,4.0,
2018-01-01 05:40:00,257,278.0,,,,4.0,3.8,,9.1,,0,,0,,,,,,,1016.3,,,2,,,,0.0,,,,0,,,,,,,2.0,,4.2,,4.5,
2018-01-01 06:40:00,281,270.0,,,,5.4,7.5,,12.6,,0,,0,,,,,,,1017.3,,,2,,,,0.6,,,,0,,,,,,,2.6,,4.4,,4.3,
2018-01-01 07:40:00,256,250.0,,,,8.0,8.7,,13.9,,0,,0,,,,,,,1017.5,,,9,,,,0.3,,,,0,,,,,,,2.4,,3.9,,4.0,
2018-01-01 08:40:00,261,264.0,,,,7.5,7.1,,13.0,,0,,0,,,,,,,1017.1,,,121,,,,0.0,,,,44,,,,,,,2.2,,4.6,,5.1,
2018-01-01 09:40:00,266,264.0,,,,6.8,6.0,,11.4,,0,,0,,,,,,,1016.8,,,228,,,,0.0,,,,60,,,,,,,2.0,,5.7,,6.0,
