,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,264,265.0,,,,2.9,1.5,,12.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.2,1.3,6.4,,5.8,7.7
2018-01-01 01:40:00,195,155.0,,,,3.8,4.2,,11.1,,0,,0,,,,,,,,,,,,,,3.9,,,,,,,,,,,0.8,,4.2,,2.8,
2018-01-01 02:40:00,117,101.0,,,,4.2,3.7,,10.6,,0,,0,,,,,,,,,,,,,,3.4,,,,,,,,,,,0.1,,2.5,,2.5,
2018-01-01 03:40:00,93,131.0,,,,4.0,4.2,,10.9,,0,,0,,,,,,,,,,,,,,1.8,,,,,,,,,,,0.1,,2.6,,2.5,
2018-01-01 04:40:00,125,169.0,,,,3.7,1.8,,10.5,,0,,0,,,,,0.0,,,,,,,,,1.3,,2.0,,,,,,,,,0.1,,2.6,,2.3,
2018-01-01 05:40:00,153,166.0,,,,2.0,0.6,,10.2,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.5,,2.0,,1.4,
2018-01-01 06:40:00,171,67.0,,,,1.9,0.6,,5.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,1.7,,2.3,
2018-01-01 07:40:00,119,123.0,,,,2.4,2.3,,7.2,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-1.0,,2.5,,2.6,
2018-01-01 08:40:00,129,133.0,,,,2.7,2.3,,6.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,2.7,,2.8,
2018-01-01 09:40:00,121,146.0,,,,3.5,3.8,,10.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.7,,3.0,,3.6,
2018-01-01 10:40:00,144,157.0,,,,3.8,3.0,,9.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.5,,3.9,,4.0,
2018-01-01 11:40:00,156,163.0,,,,2.2,1.9,,5.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.0,,4.2,,3.9,
2018-01-01 12:40:00,167,176.0,,,,1.9,2.0,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.2,,3.8,,3.5,
2018-01-01 13:40:00,170,177.0,,,,2.0,0.9,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.4,,3.1,,3.8,
2018-01-01 14:40:00,167,125.0,,,,1.6,1.4,,4.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.7,,3.7,,3.2,
2018-01-01 15:40:00,139,68.0,,,,1.5,1.4,,3.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.2,,3.3,,4.0,
2018-01-01 16:40:00,164,99.0,,,,1.9,1.1,,7.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.6,,3.7,,2.8,
2018-01-01 17:40:00,182,214.0,,,,3.6,2.7,,8.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,3.6,,3.5,
2018-01-01 18:40:00,152,144.0,,,,4.5,6.1,,10.5,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.2,,3.9,,4.0,
2018-01-01 19:40:00,149,152.0,,,,5.8,4.9,,14.5,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,-0.4,,4.3,,4.4,
2018-01-01 20:40:00,143,123.0,,,,4.2,2.9,,10.7,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,-0.1,,4.2,,3.8,
2018-01-01 21:40:00,115,129.0,,,,5.1,4.0,,13.1,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-0.9,,4.1,,4.1,
2018-01-01 22:40:00,132,155.0,,,,4.2,2.8,,11.6,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.4,,3.5,,3.1,
2018-01-01 23:40:00,144,151.0,,,,3.9,3.7,,9.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.2,,2.5,,2.4,
2018-01-02 00:40:00,131,92.0,,,,4.6,1.4,,15.5,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,-1.7,0.4,1.9,,2.1,7.9
2018-01-02 01:40:00,138,328.0,,,,3.6,1.0,,9.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.0,,2.1,,2.1,
2018-01-02 02:40:00,103,119.0,,,,3.7,4.3,,13.0,,0,,0,,,,,,,,,,,,,,1.1,,,,,,,,,,,-1.7,,0.9,,1.3,
2018-01-02 03:40:00,111,129.0,,,,4.0,2.8,,13.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,1.6,,1.8,
2018-01-02 04:40:00,102,103.0,,,,3.7,4.6,,12.2,,0,,0,,,,,4.0,,,,,,,,,0.3,,6.0,,,,,,,,,-1.9,,1.7,,1.7,
2018-01-02 05:40:00,98,90.0,,,,4.0,2.8,,11.7,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-1.4,,1.8,,1.3,
2018-01-02 06:40:00,115,102.0,,,,3.9,2.5,,11.1,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,-2.5,,1.7,,2.1,
2018-01-02 07:40:00,129,167.0,,,,5.0,4.8,,14.7,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-2.2,,1.8,,1.5,
2018-01-02 08:40:00,99,80.0,,,,3.8,1.3,,9.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.9,,1.7,,2.0,
2018-01-02 09:40:00,120,114.0,,,,4.1,4.0,,8.7,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,-2.5,,1.8,,2.0,
2018-01-02 10:40:00,124,149.0,,,,3.1,3.4,,8.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.3,,2.3,,2.5,
2018-01-02 11:40:00,160,173.0,,,,3.0,3.1,,8.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.2,,2.6,,2.6,
2018-01-02 12:40:00,145,142.0,,,,3.1,2.9,,7.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.2,,2.7,,2.8,
2018-01-02 13:40:00,125,92.0,,,,2.0,1.8,,7.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.7,,2.7,,2.7,
2018-01-02 14:40:00,155,169.0,,,,1.6,0.6,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.0,,2.3,,1.8,
2018-01-02 15:40:00,157,157.0,,,,1.5,1.7,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-3.6,,1.0,,0.4,
2018-01-02 16:40:00,171,161.0,,,,2.2,2.2,,4.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.3,,1.0,,1.5,
2018-01-02 17:40:00,184,163.0,,,,1.9,4.7,,7.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-7.0,,1.9,,3.1,
2018-01-02 18:40:00,167,175.0,,,,1.8,1.6,,5.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.9,,2.4,,1.8,
2018-01-02 19:40:00,204,211.0,,,,2.4,2.6,,4.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.0,,1.5,,1.6,
2018-01-02 20:40:00,153,180.0,,,,1.6,1.6,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.7,,1.6,,1.3,
2018-01-02 21:40:00,149,153.0,,,,1.7,0.9,,5.5,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.5,,2.4,,4.8,
2018-01-02 22:40:00,149,122.0,,,,3.2,2.9,,8.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.8,,4.8,,6.2,
2018-01-02 23:40:00,120,148.0,,,,3.8,3.1,,8.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,3.5,,7.6,,7.7,
2018-01-03 00:40:00,121,123.0,,,,3.7,3.3,,9.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,3.9,1.7,8.2,,8.8,12.8
2018-01-03 01:40:00,133,141.0,,,,3.6,2.9,,9.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,3.6,,8.6,,8.8,
2018-01-03 02:40:00,155,154.0,,,,4.5,4.7,,9.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.6,,9.2,,9.6,
2018-01-03 03:40:00,157,157.0,,,,4.2,4.9,,11.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,9.4,,9.6,
2018-01-03 04:40:00,157,146.0,,,,6.1,6.6,,15.2,,0,,0,,,,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,,2.2,,10.6,,11.1,
2018-01-03 05:40:00,156,170.0,,,,6.0,5.8,,16.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.5,,11.4,,11.6,
2018-01-03 06:40:00,156,151.0,,,,6.5,4.6,,15.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.8,,11.9,,12.0,
