,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,315,164.0,,,,1.3,0.6,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.4,3.5,5.2,,5.3,8.8
2018-01-01 01:40:00,342,176.0,,,,1.7,2.1,,6.2,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,3.1,,5.7,,7.1,
2018-01-01 02:40:00,180,235.0,,,,3.5,0.8,,13.0,,0,,0,,,,,,,,,,,,,,2.5,,,,,,,,,,,2.5,,6.7,,6.4,
2018-01-01 03:40:00,274,231.0,,,,2.7,2.9,,9.3,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,1.6,,6.1,,5.9,
2018-01-01 04:40:00,180,9.0,,,,2.3,2.0,,8.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.1,,5.4,,5.0,
2018-01-01 05:40:00,342,188.0,,,,1.8,1.7,,5.6,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,2.4,,4.6,,4.4,
2018-01-01 06:40:00,327,338.0,,,,2.0,2.1,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.6,,3.8,,3.5,
2018-01-01 07:40:00,307,24.0,,,,1.3,0.7,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.2,,4.0,,3.9,
2018-01-01 08:40:00,337,241.0,,,,1.7,0.5,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.4,,4.2,,4.1,
2018-01-01 09:40:00,148,129.0,,,,1.5,1.4,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.7,,5.2,,5.9,
2018-01-01 10:40:00,166,190.0,,,,2.0,1.6,,3.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.6,,6.5,,6.8,
2018-01-01 11:40:00,212,181.0,,,,1.5,1.7,,4.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,6.9,,7.3,
2018-01-01 12:40:00,165,167.0,,,,2.1,1.4,,5.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.4,,8.3,,8.7,
2018-01-01 13:40:00,163,20.0,,,,2.4,0.8,,4.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,8.8,,8.8,
2018-01-01 14:40:00,308,331.0,,,,1.8,0.6,,4.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.2,,7.5,,7.0,
2018-01-01 15:40:00,315,301.0,,,,1.2,0.8,,4.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.3,,6.4,,6.3,
2018-01-01 16:40:00,45,7.0,,,,1.6,1.8,,4.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,5.7,,5.6,
2018-01-01 17:40:00,207,185.0,,,,2.0,0.8,,4.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.7,,5.7,,5.6,
2018-01-01 18:40:00,345,307.0,,,,1.8,0.8,,3.5,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,2.3,,5.1,,5.0,
2018-01-01 19:40:00,354,10.0,,,,1.6,0.9,,6.6,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,3.2,,4.9,,4.8,
2018-01-01 20:40:00,292,59.0,,,,2.0,0.1,,5.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.6,,5.3,,5.3,
2018-01-01 21:40:00,220,253.0,,,,2.7,2.1,,9.4,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.5,,6.6,,7.7,
2018-01-01 22:40:00,254,222.0,,,,3.5,2.1,,11.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,7.6,,7.4,
2018-01-01 23:40:00,208,206.0,,,,4.3,4.7,,13.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.3,,6.9,,6.8,
