,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,299,118.0,,0,,1.2,0.2,,3.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.6,-1.0,0.1,,-0.3,1.9
2018-01-01 01:40:00,281,283.0,,0,,1.0,1.1,,2.2,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.7,,-0.3,,-0.1,
2018-01-01 02:40:00,277,356.0,,0,,1.5,0.7,,4.7,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-0.7,,0.0,,-0.3,
2018-01-01 03:40:00,320,320.0,,0,,6.6,9.9,,21.8,,0,,0,,,,,,,,,,1,,,,0.6,,,,0,,,,,,,-3.6,,1.0,,1.6,
2018-01-01 04:40:00,321,323.0,,0,,11.6,11.9,,21.7,,0,,0,,,,,,,,,,1,,,,0.1,,,,0,,,,,,,-4.0,,1.3,,1.1,
2018-01-01 05:40:00,321,322.0,,0,,12.5,11.0,,22.2,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-6.1,,1.1,,1.1,
2018-01-01 06:40:00,314,312.0,,0,,11.4,10.7,,21.6,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-6.9,,0.8,,0.4,
2018-01-01 07:40:00,312,307.0,,9,,10.1,8.2,,20.9,,0,,0,,,,,,,,,,13,,,,0.0,,,,0,,,,,,,-6.9,,0.6,,0.7,
2018-01-01 08:40:00,310,310.0,,51,,9.1,8.7,,18.7,,0,,0,,,,,,,,,,86,,,,0.0,,,,12,,,,,,,-6.6,,0.8,,0.9,
2018-01-01 09:40:00,315,317.0,,63,,11.4,11.7,,21.5,,0,,0,,,,,,,,,,271,,,,0.0,,,,60,,,,,,,-8.2,,1.0,,1.3,
2018-01-01 10:40:00,319,321.0,,67,,12.3,11.0,,22.6,,0,,0,,,,,,,,,,362,,,,0.0,,,,60,,,,,,,-8.3,,1.4,,1.4,
2018-01-01 11:40:00,316,321.0,,47,,11.6,10.8,,21.7,,0,,0,,,,,,,,,,112,,,,0.0,,,,14,,,,,,,-8.0,,0.7,,0.7,
2018-01-01 12:40:00,323,322.0,,28,,10.9,10.6,,21.0,,0,,0,,,,,,,,,,30,,,,0.0,,,,0,,,,,,,-9.0,,0.9,,0.9,
2018-01-01 13:40:00,321,320.0,,24,,10.4,7.6,,20.5,,0,,0,,,,,,,,,,27,,,,0.0,,,,0,,,,,,,-10.0,,0.9,,1.0,
2018-01-01 14:40:00,311,316.0,,38,,5.2,2.8,,13.7,,0,,0,,,,,,,,,,40,,,,0.0,,,,0,,,,,,,-11.3,,1.2,,1.4,
2018-01-01 15:40:00,302,320.0,,16,,3.3,5.9,,11.0,,0,,0,,,,,,,,,,17,,,,0.0,,,,0,,,,,,,-11.1,,1.8,,1.9,
2018-01-01 16:40:00,318,317.0,,0,,5.3,4.6,,13.2,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.9,,0.9,,0.8,
2018-01-01 17:40:00,315,317.0,,0,,5.7,5.8,,12.2,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-5.8,,0.5,,-0.1,
2018-01-01 18:40:00,317,319.0,,0,,5.6,5.1,,11.3,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-4.9,,-0.8,,-0.8,
2018-01-01 19:40:00,309,311.0,,0,,6.6,7.2,,14.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-4.1,,-0.1,,1.0,
2018-01-01 20:40:00,316,320.0,,0,,10.1,10.3,,20.5,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-4.5,,1.5,,1.2,
2018-01-01 21:40:00,318,314.0,,0,,10.6,10.5,,20.0,,0,,0,,,,,,,,,,1,,,,0.3,,,,0,,,,,,,-4.5,,1.1,,1.3,
2018-01-01 22:40:00,317,317.0,,0,,11.7,11.5,,22.8,,0,,0,,,,,,,,,,2,,,,0.3,,,,0,,,,,,,-5.5,,0.9,,0.8,
2018-01-01 23:40:00,315,315.0,,0,,11.3,11.9,,23.1,,0,,0,,,,,,,,,,1,,,,0.3,,,,0,,,,,,,-5.4,,0.2,,-0.3,
2018-01-02 00:40:00,317,318.0,,0,,11.2,10.9,,22.4,,0,,0,,,,,,,,,,1,,,,0.1,,,,0,,,,,,,-6.3,-2.8,-0.3,,-0.3,0.3
2018-01-02 01:40:00,315,310.0,,0,,10.5,8.9,,21.7,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-9.5,,-0.2,,-0.4,
2018-01-02 02:40:00,318,317.0,,0,,10.2,10.7,,20.5,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,-7.1,,-1.0,,-1.8,
