,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,95.0,109.0,,,0.2,2.5,2.6,,5.5,,0,,0,,,290,,,,,,,0,,,,0.0,,,22.0,0,,,,,,,-2.5,0.1,4.0,2.2,4.5,5.6
2018-01-01 01:40:00,255.0,271.0,,,,3.1,2.0,,9.4,,0,,0,,,310,,,,,,,0,,,,0.0,,,22.0,0,,,,,,,-1.4,,3.2,3.6,3.6,
2018-01-01 02:40:00,275.0,246.0,,,,2.2,0.6,,7.3,,0,,0,,,320,,,,,,,0,,,,0.1,,,22.0,0,,,,,,,-1.5,,3.9,2.3,3.4,
2018-01-01 03:40:00,270.0,261.0,,,,1.3,1.1,,3.6,,0,,0,,,319,,,,,,,0,,,,0.5,,,22.0,0,,,,,,,0.0,,2.3,1.1,1.3,
2018-01-01 04:40:00,117.0,252.0,,,,0.9,1.1,,2.6,,0,,0,,,317,,0.0,,,,,0,,,,0.5,,20.0,22.0,0,,,,,,,0.0,,0.8,0.5,0.6,
2018-01-01 05:40:00,333.0,305.0,,,,1.4,1.0,,4.8,,0,,0,,,303,,,,,,,0,,,,0.5,,,22.0,0,,,,,,,-0.2,,0.6,0.4,0.7,
2018-01-01 06:40:00,96.0,55.0,,,,2.4,1.0,,6.3,,0,,0,,,271,,,,,,,0,,,,0.0,,,22.0,0,,,,,,,-1.5,,0.6,0.2,0.5,
2018-01-01 07:40:00,225.0,248.0,,,,1.4,0.4,,3.6,,0,,0,,,285,,,,,,,10,,,,0.0,,,23.0,0,,,,,,,-0.7,,0.6,0.3,0.6,
2018-01-01 08:40:00,315.0,285.0,,,,1.7,1.1,,5.4,,0,,0,,,272,,,,,,,36,,,,0.0,,,22.0,0,,,,,,,-0.9,,0.8,0.4,0.7,
2018-01-01 09:40:00,49.0,28.0,,,,2.0,0.9,,5.8,,0,,0,,,244,,,,,,,67,,,,0.0,,,22.0,0,,,,,,,-3.7,,1.5,0.6,2.0,
2018-01-01 10:40:00,77.0,99.0,,,,1.7,1.1,,3.9,,0,,0,,,239,,,,,,,70,,,,0.0,,,22.0,0,,,,,,,-3.2,,1.2,-0.2,0.1,
2018-01-01 11:40:00,96.0,80.0,,,,2.3,2.8,,5.1,,0,,0,,,231,,,,,,,257,,,,0.0,,,22.0,45,,,,,,,-5.8,,1.8,3.4,3.4,
2018-01-01 12:40:00,96.0,91.0,,,,3.2,2.8,,6.0,,0,,0,,,230,,,,,,,342,,,,0.0,,,22.0,60,,,,,,,-6.2,,2.8,3.3,2.7,
2018-01-01 13:40:00,93.0,97.0,,,,3.6,4.6,,6.8,,0,,0,,,232,,,,,,,154,,,,0.0,,,22.0,27,,,,,,,-7.6,,2.8,0.8,2.2,
2018-01-01 14:40:00,87.0,301.0,,,,2.8,0.8,,6.3,,0,,0,,,260,,,,,,,66,,,,0.0,,,22.0,0,,,,,,,-7.5,,2.8,1.9,2.3,
2018-01-01 15:40:00,307.0,207.0,,,,1.5,0.7,,4.6,,0,,0,,,296,,,,,,,10,,,,0.0,,,22.0,0,,,,,,,-5.2,,2.5,1.0,1.9,
