,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,101,229.0,,,,0.7,0.5,,2.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 01:40:00,265,251.0,,,,1.4,0.6,,3.1,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
2018-01-01 02:40:00,259,239.0,,,,2.3,1.3,,6.1,,0,,0,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
2018-01-01 03:40:00,225,84.0,,,,0.7,0.3,,2.8,,0,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2018-01-01 04:40:00,278,275.0,,,,1.9,3.0,,7.2,,0,,0,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,
2018-01-01 05:40:00,297,72.0,,,,1.7,2.0,,6.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 06:40:00,107,80.0,,,,1.5,0.2,,4.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 07:40:00,0,171.0,,,,1.1,0.5,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 08:40:00,90,103.0,,,,1.6,2.4,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 09:40:00,104,106.0,,,,1.9,1.3,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 10:40:00,97,97.0,,,,1.8,2.8,,4.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 11:40:00,108,93.0,,,,2.0,2.8,,3.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 12:40:00,109,119.0,,,,1.8,1.7,,3.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 13:40:00,114,121.0,,,,2.0,2.2,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 14:40:00,110,97.0,,,,1.7,1.2,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 15:40:00,141,201.0,,,,1.2,1.1,,2.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 16:40:00,98,110.0,,,,1.6,2.8,,3.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 17:40:00,101,117.0,,,,1.2,1.4,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-01 18:40:00,180,146.0,,,,1.0,0.7,,2.4,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
2018-01-01 19:40:00,93,86.0,,,,2.0,2.3,,3.5,,0,,0,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,
2018-01-01 20:40:00,104,96.0,,,,1.8,0.5,,3.3,,0,,0,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,
2018-01-01 21:40:00,304,108.0,,,,0.9,0.1,,3.2,,0,,0,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,
2018-01-01 22:40:00,257,265.0,,,,5.2,8.3,,16.2,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,
2018-01-01 23:40:00,275,273.0,,,,7.6,7.1,,15.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 00:40:00,288,288.0,,,,4.1,6.4,,13.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 01:40:00,294,309.0,,,,5.8,4.1,,12.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 02:40:00,301,295.0,,,,5.0,6.2,,11.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 03:40:00,299,298.0,,,,4.7,4.9,,10.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 04:40:00,296,284.0,,,,5.8,8.1,,17.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 05:40:00,289,308.0,,,,6.6,6.0,,14.2,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
2018-01-02 06:40:00,288,301.0,,,,6.8,5.5,,15.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 07:40:00,287,274.0,,,,7.2,8.0,,17.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 08:40:00,268,301.0,,,,7.5,5.8,,17.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 09:40:00,289,283.0,,,,6.7,6.8,,14.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 10:40:00,275,283.0,,,,7.1,6.5,,13.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 11:40:00,280,285.0,,,,5.0,4.6,,10.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 12:40:00,280,281.0,,,,5.1,3.9,,10.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 13:40:00,288,284.0,,,,3.9,4.1,,7.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 14:40:00,290,318.0,,,,3.4,1.6,,6.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 15:40:00,112,129.0,,,,1.3,0.5,,3.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 16:40:00,101,108.0,,,,1.7,1.0,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 17:40:00,110,95.0,,,,1.3,1.1,,2.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 18:40:00,153,240.0,,,,0.9,1.4,,1.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 19:40:00,98,110.0,,,,1.6,1.6,,2.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 20:40:00,90,278.0,,,,0.8,0.7,,1.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-02 21:40:00,214,128.0,,,,0.5,0.6,,1.3,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,
2018-01-02 22:40:00,97,87.0,,,,1.9,2.5,,3.9,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,
2018-01-02 23:40:00,94,100.0,,,,1.7,2.0,,3.2,,0,,0,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,
2018-01-03 00:40:00,117,7.0,,,,1.3,0.3,,3.1,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
2018-01-03 01:40:00,112,116.0,,,,0.9,1.5,,2.5,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
2018-01-03 02:40:00,103,94.0,,,,1.1,1.1,,2.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 03:40:00,103,90.0,,,,1.1,0.7,,2.4,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
2018-01-03 04:40:00,106,121.0,,,,2.0,2.5,,4.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 05:40:00,153,216.0,,,,1.1,0.4,,3.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 06:40:00,108,92.0,,,,1.7,1.9,,3.5,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
2018-01-03 07:40:00,117,81.0,,,,0.9,1.2,,3.0,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,
2018-01-03 08:40:00,112,105.0,,,,2.4,1.7,,4.5,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
2018-01-03 09:40:00,95,78.0,,,,2.8,2.2,,5.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 10:40:00,271,270.0,,,,12.4,12.5,,26.1,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,
2018-01-03 11:40:00,278,272.0,,,,17.5,17.9,,37.5,,22,,0,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,
2018-01-03 12:40:00,260,244.0,,,,12.9,9.7,,33.4,,10,,0,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,
2018-01-03 13:40:00,250,246.0,,,,10.2,9.1,,22.9,,0,,0,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,
2018-01-03 14:40:00,248,251.0,,,,11.1,12.2,,25.4,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
2018-01-03 15:40:00,254,253.0,,,,10.1,9.3,,23.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 16:40:00,263,264.0,,,,8.7,9.3,,25.0,,0,,0,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
2018-01-03 17:40:00,284,306.0,,,,7.8,6.7,,17.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 18:40:00,280,271.0,,,,8.6,6.6,,20.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 19:40:00,288,276.0,,,,7.4,9.7,,17.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 20:40:00,293,293.0,,,,7.3,8.3,,13.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 21:40:00,277,278.0,,,,10.2,8.3,,24.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2018-01-03 22:40:00,287,272.0,,,,7.6,7.2,,15.4,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
2018-01-03 23:40:00,296,299.0,,,,7.9,7.1,,16.0,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,
2018-01-04 00:40:00,291,294.0,,,,6.9,5.6,,11.8,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
2018-01-04 01:40:00,295,302.0,,,,4.5,5.0,,8.1,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,
2018-01-04 02:40:00,297,293.0,,,,4.9,5.4,,8.4,,0,,0,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,
2018-01-04 03:40:00,283,273.0,,,,4.8,4.7,,8.6,,0,,0,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,
2018-01-04 04:40:00,274,259.0,,,,4.0,2.9,,7.2,,0,,0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
2018-01-04 05:40:00,246,79.0,,,,1.8,1.8,,4.8,,0,,0,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,
2018-01-04 06:40:00,96,93.0,,,,2.1,2.1,,4.2,,0,,0,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,
2018-01-04 07:40:00,98,103.0,,,,1.5,1.3,,2.4,,0,,0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
2018-01-04 08:40:00,102,111.0,,,,1.5,1.3,,2.6,,0,,0,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,
2018-01-04 09:40:00,104,98.0,,,,1.3,1.3,,1.9,,0,,0,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,
2018-01-04 10:40:00,106,104.0,,,,1.6,1.5,,2.7,,0,,0,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,
2018-01-04 11:40:00,111,145.0,,,,1.0,0.6,,2.1,,0,,0,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,,
2018-01-04 12:40:00,100,70.0,,,,1.3,0.9,,2.5,,1,,0,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,
2018-01-04 13:40:00,111,107.0,,,,2.0,2.5,,3.9,,2,,0,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,
2018-01-04 14:40:00,101,97.0,,,,2.2,2.0,,4.4,,3,,0,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,
2018-01-04 15:40:00,102,88.0,,,,2.2,2.4,,3.4,,0,,0,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,
2018-01-04 16:40:00,110,88.0,,,,1.6,1.6,,3.5,,0,,0,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
2018-01-04 17:40:00,111,140.0,,,,1.7,1.4,,3.4,,0,,0,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,
2018-01-04 18:40:00,96,82.0,,,,1.3,1.3,,2.1,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
2018-01-04 19:40:00,111,109.0,,,,1.7,2.6,,3.5,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
2018-01-04 20:40:00,124,260.0,,,,1.7,2.4,,3.4,,0,,0,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,
2018-01-04 21:40:00,108,92.0,,,,1.6,2.2,,4.0,,0,,0,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
2018-01-04 22:40:00,100,100.0,,,,1.5,0.5,,2.8,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
