,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,288,321.0,,,0.2,1.0,1.6,,3.0,,0,,0,,,,,,,1013.8,,,0,,,,0.0,,,,0,,,,,,,0.7,-0.9,-0.3,,0.8,9.5
2018-01-01 01:40:00,153,205.0,,,,1.3,1.2,,7.4,,0,,0,,,,,,,1015.3,,,0,,,,0.1,,,,0,,,,,,,3.4,,2.4,,3.9,
2018-01-01 02:40:00,222,216.0,,,,4.9,4.7,,13.8,,0,,0,,,,,,,1016.5,,,0,,,,0.8,,,,0,,,,,,,1.8,,7.1,,7.0,
2018-01-01 03:40:00,230,67.0,,,,1.4,0.6,,5.6,,0,,0,,,,,,,1017.2,,,0,,,,1.0,,,,0,,,,,,,4.7,,5.6,,4.9,
2018-01-01 04:40:00,243,217.0,,,,0.8,1.1,,1.7,,0,,0,,,,,,,1018.1,,,0,,,,1.5,,,,0,,,,,,,4.1,,4.5,,4.2,
2018-01-01 05:40:00,214,226.0,,,,0.9,1.0,,2.6,,0,,0,,,,,,,1017.6,,,0,,,,0.4,,,,0,,,,,,,2.6,,3.4,,2.7,
2018-01-01 06:40:00,342,245.0,,,,1.5,1.3,,3.5,,0,,0,,,,,,,1017.2,,,0,,,,0.0,,,,0,,,,,,,2.9,,3.2,,3.0,
2018-01-01 07:40:00,241,281.0,,,,1.3,1.2,,6.8,,0,,0,,,,,,,1017.5,,,6,,,,0.0,,,,0,,,,,,,2.7,,4.0,,3.2,
2018-01-01 08:40:00,259,228.0,,,,1.3,1.2,,3.3,,0,,0,,,,,,,1017.6,,,47,,,,0.0,,,,0,,,,,,,2.2,,3.4,,4.0,
2018-01-01 09:40:00,198,339.0,,,,1.9,0.5,,4.3,,0,,0,,,,,,,1016.7,,,180,,,,0.0,,,,38,,,,,,,2.7,,6.1,,6.0,
2018-01-01 10:40:00,210,219.0,,,,3.6,4.1,,7.4,,0,,0,,,,,,,1014.7,,,253,,,,0.0,,,,41,,,,,,,0.5,,7.5,,8.2,
2018-01-01 11:40:00,208,213.0,,,,4.3,3.7,,8.1,,0,,0,,,,,,,1012.8,,,346,,,,0.0,,,,60,,,,,,,-1.1,,8.5,,9.4,
2018-01-01 12:40:00,214,207.0,,,,5.7,6.0,,10.8,,0,,0,,,,,,,1010.6,,,322,,,,0.0,,,,60,,,,,,,-1.1,,9.2,,9.0,
2018-01-01 13:40:00,201,207.0,,,,6.1,5.4,,10.4,,0,,0,,,,,,,1008.1,,,207,,,,0.0,,,,50,,,,,,,-1.6,,8.8,,8.6,
2018-01-01 14:40:00,190,113.0,,,,5.0,2.9,,9.9,,0,,0,,,,,,,1006.9,,,70,,,,0.0,,,,1,,,,,,,-3.3,,8.6,,8.8,
2018-01-01 15:40:00,70,45.0,,,,1.9,2.1,,4.8,,0,,0,,,,,,,1006.6,,,12,,,,0.0,,,,0,,,,,,,0.0,,7.9,,7.0,
2018-01-01 16:40:00,27,210.0,,,,1.1,0.5,,3.9,,0,,0,,,,,,,1006.5,,,0,,,,0.0,,,,0,,,,,,,0.6,,6.5,,6.0,
2018-01-01 17:40:00,225,85.0,,,,1.1,1.6,,2.7,,0,,0,,,,,,,1006.9,,,0,,,,0.0,,,,0,,,,,,,1.6,,5.4,,5.6,
2018-01-01 18:40:00,239,201.0,,,,1.5,3.3,,8.9,,0,,0,,,,,,,1008.6,,,0,,,,0.3,,,,0,,,,,,,2.3,,5.2,,5.8,
2018-01-01 19:40:00,201,208.0,,,,5.6,5.2,,10.2,,0,,0,,,,,,,1009.6,,,0,,,,1.3,,,,0,,,,,,,2.7,,6.1,,5.6,
2018-01-01 20:40:00,207,216.0,,,,6.7,5.9,,13.4,,0,,0,,,,,,,1010.4,,,0,,,,1.2,,,,0,,,,,,,2.9,,5.7,,5.7,
2018-01-01 21:40:00,219,228.0,,,,6.9,7.5,,15.4,,0,,0,,,,,,,1010.8,,,0,,,,0.6,,,,0,,,,,,,1.0,,6.7,,7.9,
2018-01-01 22:40:00,226,223.0,,,,10.2,9.0,,19.3,,0,,0,,,,,,,1012.0,,,0,,,,0.0,,,,0,,,,,,,-1.7,,7.9,,8.0,
2018-01-01 23:40:00,227,241.0,,,,7.3,5.5,,17.9,,0,,0,,,,,,,1013.5,,,0,,,,0.0,,,,0,,,,,,,-1.0,,7.4,,7.0,
2018-01-02 00:40:00,232,238.0,,,0.1,5.3,6.5,,16.7,,0,,0,,,,,,,1014.6,,,0,,,,0.2,,,,0,,,,,,,-0.6,2.7,6.3,,6.6,7.3
2018-01-02 01:40:00,234,226.0,,,,5.7,4.1,,14.8,,0,,0,,,,,,,1015.1,,,0,,,,0.0,,,,0,,,,,,,-1.7,,6.3,,6.2,
2018-01-02 02:40:00,256,248.0,,,,3.2,3.8,,13.2,,0,,0,,,,,,,1016.9,,,0,,,,0.2,,,,0,,,,,,,0.9,,5.0,,4.4,
2018-01-02 03:40:00,259,20.0,,,,1.5,0.6,,4.0,,0,,0,,,,,,,1017.5,,,0,,,,0.2,,,,0,,,,,,,2.4,,3.8,,3.3,
2018-01-02 04:40:00,207,193.0,,,,1.6,2.9,,9.6,,0,,0,,,,,,,1017.3,,,0,,,,0.1,,,,0,,,,,,,0.8,,3.5,,4.6,
2018-01-02 05:40:00,245,242.0,,,,4.0,4.9,,12.1,,0,,0,,,,,,,1017.3,,,0,,,,0.1,,,,0,,,,,,,-0.9,,5.6,,5.9,
2018-01-02 06:40:00,233,226.0,,,,3.5,4.5,,11.7,,0,,0,,,,,,,1018.4,,,0,,,,0.3,,,,0,,,,,,,-1.4,,5.1,,5.9,
2018-01-02 07:40:00,236,219.0,,,,5.1,3.8,,13.7,,0,,0,,,,,,,1020.1,,,2,,,,0.1,,,,0,,,,,,,0.0,,5.9,,4.4,
2018-01-02 08:40:00,288,48.0,,,,1.9,1.0,,6.5,,0,,0,,,,,,,1020.7,,,27,,,,0.1,,,,0,,,,,,,1.0,,4.1,,3.8,
2018-01-02 09:40:00,31,110.0,,,,1.3,0.5,,3.4,,0,,0,,,,,,,1021.5,,,47,,,,0.2,,,,0,,,,,,,-0.2,,4.3,,5.1,
2018-01-02 10:40:00,234,245.0,,,,2.0,2.5,,6.8,,0,,0,,,,,,,1020.6,,,82,,,,0.0,,,,0,,,,,,,-2.6,,6.0,,6.7,
2018-01-02 11:40:00,243,241.0,,,,4.2,4.1,,12.6,,0,,0,,,,,,,1020.2,,,122,,,,0.0,,,,0,,,,,,,-4.0,,7.1,,6.9,
2018-01-02 12:40:00,241,203.0,,,,2.7,1.6,,6.9,,0,,0,,,,,,,1020.1,,,121,,,,0.0,,,,0,,,,,,,-3.1,,7.0,,6.9,
2018-01-02 13:40:00,256,208.0,,,,1.5,0.7,,4.0,,0,,0,,,,,,,1020.1,,,131,,,,0.0,,,,13,,,,,,,-1.2,,7.1,,6.6,
2018-01-02 14:40:00,252,223.0,,,,0.7,1.2,,2.8,,0,,0,,,,,,,1020.3,,,55,,,,0.0,,,,0,,,,,,,-0.8,,6.5,,5.5,
2018-01-02 15:40:00,232,282.0,,,,1.4,1.1,,2.7,,0,,0,,,,,,,1020.7,,,11,,,,0.0,,,,0,,,,,,,-1.2,,4.7,,4.0,
2018-01-02 16:40:00,234,242.0,,,,2.8,3.3,,7.6,,0,,0,,,,,,,1019.2,,,0,,,,0.0,,,,0,,,,,,,-4.2,,5.3,,6.4,
2018-01-02 17:40:00,242,251.0,,,,2.2,1.0,,7.6,,0,,0,,,,,,,1019.5,,,0,,,,0.0,,,,0,,,,,,,-3.6,,6.0,,5.8,
2018-01-02 18:40:00,253,253.0,,,,1.5,2.0,,4.0,,0,,0,,,,,,,1020.1,,,0,,,,0.0,,,,0,,,,,,,-3.2,,5.9,,5.4,
