,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,203.0,198.0,,,,6.1,8.2,,16.0,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-1.9,-6.6,-1.7,,-1.9,-1.0
2018-01-01 01:40:00,203.0,203.0,,,,7.5,6.5,,17.7,,0,,0,,,,,,,,,,0,,,,0.8,,,,0,,,,,,,-4.3,,-3.2,,-4.3,
2018-01-01 02:40:00,201.0,205.0,,,,7.8,8.6,,20.4,,0,,0,,,,,,,,,,0,,,,1.1,,,,0,,,,,,,-5.2,,-5.0,,-5.2,
2018-01-01 03:40:00,199.0,203.0,,,,7.2,8.1,,19.6,,0,,0,,,,,,,,,,0,,,,1.4,,,,0,,,,,,,-6.1,,-5.6,,-6.1,
2018-01-01 04:40:00,203.0,197.0,,,,8.2,5.7,,23.1,,0,,0,,,,,,,,,,0,,,,2.0,,,,0,,,,,,,-5.6,,-5.6,,-5.6,
2018-01-01 05:40:00,211.0,210.0,,,,17.2,18.9,,33.4,,0,,0,,,,,,,,,,0,,,,1.2,,,,0,,,,,,,-5.7,,-5.8,,-5.7,
2018-01-01 06:40:00,213.0,210.0,,,,17.4,12.3,,30.8,,0,,0,,,,,,,,,,0,,,,0.1,,,,0,,,,,,,-7.7,,-5.5,,-5.9,
2018-01-01 07:40:00,206.0,201.0,,,,9.5,7.2,,26.5,,0,,0,,,,,,,,,,6,,,,0.0,,,,0,,,,,,,-5.8,,-5.9,,-5.8,
2018-01-01 08:40:00,204.0,191.0,,,,7.8,6.0,,23.9,,0,,0,,,,,,,,,,75,,,,0.0,,,,3,,,,,,,-6.8,,-5.9,,-5.8,
2018-01-01 09:40:00,207.0,210.0,,,,9.6,12.3,,23.7,,0,,0,,,,,,,,,,256,,,,0.0,,,,54,,,,,,,-8.4,,-5.7,,-5.2,
2018-01-01 10:40:00,212.0,209.0,,,,13.1,12.1,,23.2,,0,,0,,,,,,,,,,241,,,,0.0,,,,37,,,,,,,-7.0,,-5.6,,-5.0,
2018-01-01 11:40:00,214.0,210.0,,,,12.7,12.3,,20.8,,0,,0,,,,,,,,,,376,,,,0.0,,,,60,,,,,,,-7.3,,-4.7,,-4.3,
2018-01-01 12:40:00,206.0,201.0,,,,10.0,8.4,,18.6,,0,,0,,,,,,,,,,348,,,,0.0,,,,60,,,,,,,-9.6,,-4.1,,-3.7,
2018-01-01 13:40:00,212.0,211.0,,,,11.1,12.5,,20.6,,0,,0,,,,,,,,,,225,,,,0.0,,,,49,,,,,,,-12.2,,-4.0,,-3.8,
2018-01-01 14:40:00,211.0,212.0,,,,11.7,8.7,,24.3,,0,,0,,,,,,,,,,67,,,,0.0,,,,0,,,,,,,-10.3,,-3.3,,-3.3,
2018-01-01 15:40:00,213.0,212.0,,,,10.7,10.9,,24.9,,0,,0,,,,,,,,,,10,,,,0.0,,,,0,,,,,,,-8.8,,-3.1,,-3.2,
2018-01-01 16:40:00,214.0,215.0,,,,12.1,12.1,,22.9,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-7.2,,-3.9,,-3.1,
2018-01-01 17:40:00,214.0,214.0,,,,12.0,12.7,,23.2,,0,,0,,,,,,,,,,0,,,,0.8,,,,0,,,,,,,-3.9,,-4.0,,-3.9,
2018-01-01 18:40:00,210.0,212.0,,,,10.4,10.0,,24.4,,0,,0,,,,,,,,,,0,,,,1.9,,,,0,,,,,,,-4.2,,-4.0,,-4.2,
2018-01-01 19:40:00,208.0,212.0,,,,14.4,16.7,,32.9,,0,,0,,,,,,,,,,0,,,,2.4,,,,0,,,,,,,-4.4,,-4.3,,-4.4,
2018-01-01 20:40:00,209.0,203.0,,,,14.7,8.2,,31.8,,0,,0,,,,,,,,,,0,,,,2.2,,,,0,,,,,,,-4.3,,-4.3,,-4.3,
2018-01-01 21:40:00,203.0,200.0,,,,10.9,11.1,,30.2,,0,,0,,,,,,,,,,0,,,,2.8,,,,0,,,,,,,-4.6,,-4.5,,-4.6,
2018-01-01 22:40:00,197.0,199.0,,,,11.4,9.0,,28.8,,0,,0,,,,,,,,,,0,,,,1.2,,,,0,,,,,,,-5.7,,-5.0,,-5.7,
2018-01-01 23:40:00,201.0,207.0,,,,9.5,9.5,,22.3,,0,,0,,,,,,,,,,0,,,,0.4,,,,0,,,,,,,-7.0,,-6.2,,-6.6,
2018-01-02 00:40:00,199.0,200.0,,,,7.9,10.1,,23.2,,0,,0,,,,,,,,,,0,,,,2.5,,,,0,,,,,,,-5.9,-8.1,-5.9,,-5.9,0.2
2018-01-02 01:40:00,206.0,210.0,,,,10.3,11.2,,24.2,,0,,0,,,,,,,,,,0,,,,0.4,,,,0,,,,,,,-6.7,,-6.6,,-6.7,
2018-01-02 02:40:00,202.0,200.0,,,,8.8,6.6,,23.6,,0,,0,,,,,,,,,,0,,,,1.2,,,,0,,,,,,,-6.8,,-6.6,,-6.8,
2018-01-02 03:40:00,205.0,203.0,,,,8.2,7.0,,20.7,,0,,0,,,,,,,,,,0,,,,0.9,,,,0,,,,,,,-7.2,,-7.1,,-7.2,
2018-01-02 04:40:00,206.0,207.0,,,,9.3,7.9,,22.0,,0,,0,,,,,,,,,,0,,,,0.7,,,,0,,,,,,,-6.9,,-7.0,,-6.9,
2018-01-02 05:40:00,205.0,208.0,,,,10.6,9.0,,24.6,,0,,0,,,,,,,,,,0,,,,1.1,,,,0,,,,,,,-6.5,,-6.7,,-6.5,
2018-01-02 06:40:00,203.0,203.0,,,,9.5,11.7,,22.3,,0,,0,,,,,,,,,,0,,,,0.5,,,,0,,,,,,,-7.1,,-7.1,,-7.1,
2018-01-02 07:40:00,205.0,212.0,,,,9.8,10.8,,22.5,,0,,0,,,,,,,,,,1,,,,0.5,,,,0,,,,,,,-7.5,,-7.3,,-7.5,
2018-01-02 08:40:00,207.0,210.0,,,,8.7,7.7,,19.7,,0,,0,,,,,,,,,,41,,,,0.1,,,,0,,,,,,,-8.2,,-7.8,,-8.1,
2018-01-02 09:40:00,202.0,200.0,,,,7.1,7.7,,17.2,,0,,0,,,,,,,,,,83,,,,0.3,,,,0,,,,,,,-7.5,,-7.5,,-7.5,
2018-01-02 10:40:00,200.0,196.0,,,,6.4,4.0,,18.2,,0,,0,,,,,,,,,,90,,,,0.1,,,,0,,,,,,,-8.1,,-7.6,,-7.8,
2018-01-02 11:40:00,202.0,197.0,,,,6.4,5.7,,19.1,,0,,0,,,,,,,,,,97,,,,0.0,,,,0,,,,,,,-8.9,,-8.0,,-7.9,
2018-01-02 12:40:00,202.0,204.0,,,,6.1,7.5,,14.5,,0,,0,,,,,,,,,,115,,,,0.0,,,,0,,,,,,,-9.4,,-7.9,,-7.9,
2018-01-02 13:40:00,208.0,206.0,,,,7.7,5.7,,17.4,,0,,0,,,,,,,,,,87,,,,0.0,,,,1,,,,,,,-9.5,,-7.8,,-7.6,
2018-01-02 14:40:00,203.0,207.0,,,,5.5,5.0,,15.4,,0,,0,,,,,,,,,,76,,,,0.0,,,,0,,,,,,,-9.3,,-7.6,,-7.5,
2018-01-02 15:40:00,206.0,177.0,,,,7.1,4.1,,19.2,,0,,0,,,,,,,,,,8,,,,0.0,,,,0,,,,,,,-12.6,,-7.3,,-6.7,
2018-01-02 16:40:00,213.0,200.0,,,,12.4,9.2,,21.5,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-12.9,,-6.8,,-6.3,
