,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,241,253.0,,,0.3,7.8,6.5,,15.5,,0,,0,,,311,,,,1011.0,,,0,,,,0.0,,,,0,,,,,,,3.6,2.7,8.2,7.9,8.1,8.5
2018-01-01 01:40:00,260,254.0,,,,5.5,8.7,,14.9,,0,,0,,,340,,,,1013.1,,,0,,,,0.2,,,,0,,,,,,,4.0,,6.8,5.8,6.6,
2018-01-01 02:40:00,244,237.0,,,,8.4,7.3,,17.7,,0,,0,,,332,,,,1015.0,,,0,,,,0.8,,,,0,,,,,,,2.5,,5.5,4.2,4.9,
2018-01-01 03:40:00,224,219.0,,,,7.3,7.2,,15.9,,0,,0,,,323,,,,1015.5,,,0,,,,0.3,,,,0,,,,,,,1.7,,4.9,3.9,5.1,
2018-01-01 04:40:00,220,224.0,,,,6.3,6.0,,12.4,,0,,0,,,313,,0.0,,1015.6,,,0,,,,0.0,,0.0,,0,,,,,,,0.9,,5.1,4.3,5.1,
2018-01-01 05:40:00,224,220.0,,,,6.6,6.6,,15.8,,0,,0,,,307,,,,1015.5,,,0,,,,0.0,,,,0,,,,,,,0.7,,5.0,4.0,4.8,
2018-01-01 06:40:00,238,245.0,,,,7.9,6.8,,18.0,,0,,0,,,292,,,,1015.5,,,0,,,,0.0,,,,0,,,,,,,0.2,,5.4,4.6,5.4,
2018-01-01 07:40:00,247,242.0,,,,8.7,9.0,,17.5,,0,,0,,,298,,,,1016.7,,,4,,,,0.0,,,,0,,,,,,,0.9,,4.9,4.1,4.5,
2018-01-01 08:40:00,243,229.0,,,,6.7,5.2,,15.7,,0,,0,,,262,,,,1016.9,,,79,,,,0.0,,,,22,,,,,,,0.5,,4.5,5.6,5.1,
2018-01-01 09:40:00,239,238.0,,,,6.0,5.2,,13.8,,0,,0,,,284,,,,1016.3,,,217,,,,0.0,,,,40,,,,,,,0.8,,5.6,7.4,5.9,
2018-01-01 10:40:00,242,252.0,,,,6.9,9.0,,16.2,,0,,0,,,266,,,,1014.2,,,315,,,,0.0,,,,55,,,,,,,0.4,,6.4,8.1,6.6,
2018-01-01 11:40:00,240,235.0,,,,8.0,6.9,,15.9,,0,,0,,,253,,,,1012.6,,,335,,,,0.0,,,,59,,,,,,,-0.3,,7.4,8.6,7.8,
2018-01-01 12:40:00,233,224.0,,,,6.7,6.7,,15.5,,0,,0,,,253,,,,1010.5,,,312,,,,0.0,,,,60,,,,,,,-1.3,,7.9,9.3,7.9,
2018-01-01 13:40:00,226,220.0,,,,5.0,3.2,,13.5,,0,,0,,,260,,,,1008.3,,,167,,,,0.0,,,,41,,,,,,,-1.5,,7.6,8.1,7.5,
2018-01-01 14:40:00,231,230.0,,,,3.3,2.9,,6.8,,0,,0,,,301,,,,1007.4,,,63,,,,0.0,,,,2,,,,,,,-1.3,,7.2,6.9,7.1,
2018-01-01 15:40:00,214,222.0,,,,3.0,3.3,,6.6,,0,,0,,,299,,,,1006.5,,,6,,,,0.0,,,,0,,,,,,,-1.0,,6.5,4.7,6.1,
2018-01-01 16:40:00,228,228.0,,,,4.5,5.0,,10.1,,0,,0,,,310,,,,1005.9,,,0,,,,0.0,,,,0,,,,,,,-1.1,,6.0,5.6,6.0,
2018-01-01 17:40:00,237,228.0,,,,5.7,6.2,,13.2,,0,,0,,,323,,,,1006.6,,,0,,,,0.2,,,,0,,,,,,,0.7,,5.5,3.6,4.9,
2018-01-01 18:40:00,233,222.0,,,,6.2,5.4,,12.4,,0,,0,,,323,,,,1007.3,,,0,,,,0.1,,,,0,,,,,,,1.5,,4.7,3.5,4.3,
2018-01-01 19:40:00,230,216.0,,,,6.4,5.4,,12.9,,0,,0,,,324,,,,1008.0,,,0,,,,0.4,,,,0,,,,,,,1.9,,4.2,3.3,4.0,
2018-01-01 20:40:00,229,233.0,,,,6.7,7.0,,15.6,,0,,0,,,326,,,,1009.1,,,0,,,,0.6,,,,0,,,,,,,2.1,,4.5,3.7,4.7,
2018-01-01 21:40:00,240,246.0,,,,8.5,9.8,,22.1,,0,,0,,,330,,,,1010.5,,,0,,,,1.0,,,,0,,,,,,,2.5,,4.6,3.9,4.7,
