,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,51,52.0,,,,2.1,2.1,,6.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.9,1.6,3.4,,6.3,6.3
2018-01-01 01:40:00,259,259.0,,,,2.9,5.0,,11.4,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,2.4,,5.0,,5.5,
2018-01-01 02:40:00,247,246.0,,,,4.8,5.1,,14.8,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.8,,4.5,,4.1,
2018-01-01 03:40:00,220,185.0,,,,3.8,2.7,,17.8,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,0.6,,3.8,,3.7,
2018-01-01 04:40:00,204,244.0,,,,4.4,3.1,,10.6,,,,,,,,,0.0,,,,,,,,,0.0,,6.0,,,,,,,,,-0.4,,3.6,,3.5,
2018-01-01 05:40:00,193,168.0,,,,2.2,2.7,,7.2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.2,,3.1,,3.4,
2018-01-01 06:40:00,207,227.0,,,,1.2,1.0,,3.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,2.3,,1.9,
2018-01-01 07:40:00,180,199.0,,,,1.2,1.9,,5.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,2.5,,3.8,
2018-01-01 08:40:00,256,208.0,,,,2.4,2.6,,11.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.3,,3.3,,3.7,
2018-01-01 09:40:00,146,178.0,,,,1.7,1.1,,5.4,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,3.7,,3.8,
2018-01-01 10:40:00,210,188.0,,,,1.8,2.0,,4.2,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.2,,4.4,,4.7,
2018-01-01 11:40:00,200,196.0,,,,2.3,1.8,,4.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1.2,,4.9,,4.7,
2018-01-01 12:40:00,221,228.0,,,,2.3,2.1,,5.6,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.4,,4.9,,4.9,
2018-01-01 13:40:00,221,183.0,,,,2.1,0.5,,5.7,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,4.7,,4.5,
2018-01-01 14:40:00,184,203.0,,,,1.6,1.3,,4.5,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,3.9,,3.9,
2018-01-01 15:40:00,82,56.0,,,,1.1,1.9,,3.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.1,,2.9,,2.1,
2018-01-01 16:40:00,45,283.0,,,,1.6,0.6,,3.1,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.9,,2.5,,3.3,
2018-01-01 17:40:00,63,108.0,,,,1.4,0.6,,3.3,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.4,,2.4,,3.0,
2018-01-01 18:40:00,180,87.0,,,,1.2,0.9,,3.9,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.5,,2.8,,2.4,
