,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,252,285.0,,0.0,0.2,5.4,5.0,,12.3,,0,,0,,,,,,,1011.5,,,1,,,,0.0,,,0.0,0.0,,,4.7,4.7,4.5,4.3,4.8,3.6,8.6,7.4,7.9,8.9
2018-01-01 01:40:00,258,241.0,,1.0,,4.5,5.3,,11.6,,0,,0,,,,,,,1013.0,,,1,,,,0.3,,,0.0,0.0,,,4.7,4.8,4.7,,4.7,,7.3,6.0,7.3,
2018-01-01 02:40:00,240,231.0,,0.0,,6.7,6.4,,13.2,,0,,0,,,,,,,1014.5,,,1,,,,1.0,,,0.0,0.0,,,4.8,4.8,4.5,,3.2,,6.3,4.6,6.1,
2018-01-01 03:40:00,232,230.0,,0.0,,4.6,2.5,,11.8,,0,,0,,,,,,,1015.3,,,0,,,,0.1,,,0.0,0.0,,,4.8,4.8,4.4,,2.2,,5.9,4.1,6.0,
2018-01-01 04:40:00,224,236.0,,0.0,,4.0,4.6,,8.2,,0,,0,,,,,,,1015.5,,,1,,,,0.0,,,0.0,0.0,,,4.7,4.8,4.3,,1.3,,6.1,4.0,6.1,
2018-01-01 05:40:00,231,247.0,,0.0,,5.3,4.7,,13.5,,0,,0,,,,,,,1015.6,,,1,,,,0.0,,,0.0,0.0,,,4.7,4.8,4.2,,1.2,,5.8,3.8,5.6,
2018-01-01 06:40:00,259,261.0,,0.0,,3.8,4.2,,10.0,,0,,0,,,,,,,1015.6,,,1,,,,0.0,,,0.0,0.0,,,4.6,4.8,4.1,,1.4,,5.6,4.1,5.7,
2018-01-01 07:40:00,258,249.0,,6.0,,5.1,5.1,,11.3,,0,,0,,,,,,,1016.7,,,7,,,,0.0,,,0.0,0.0,,,4.6,4.7,4.1,,1.8,,5.4,4.3,5.2,
2018-01-01 08:40:00,235,237.0,,28.0,,4.3,4.2,,9.8,,0,,0,,,,,,,1016.9,,,41,,,,0.0,,,0.0,9.0,,,4.5,4.7,4.0,,1.6,,4.9,4.3,5.1,
2018-01-01 09:40:00,234,246.0,,66.0,,5.3,4.6,,10.8,,0,,0,,,,,,,1016.5,,,88,,,,0.0,,,0.0,9.0,,,4.5,4.7,4.0,,1.6,,5.6,5.6,5.8,
2018-01-01 10:40:00,243,235.0,,129.0,,5.2,5.1,,13.1,,0,,0,,,,,,,1014.4,,,241,,,,0.0,,,0.0,29.0,,,4.6,4.7,4.3,,1.3,,6.7,8.6,7.2,
2018-01-01 11:40:00,243,240.0,,53.0,,6.9,5.9,,14.2,,0,,0,,,,,,,1012.7,,,333,,,,0.0,,,0.0,60.0,,,4.7,4.7,4.5,,0.0,,7.9,9.0,8.2,
2018-01-01 12:40:00,232,227.0,,45.0,,6.4,5.8,,13.9,,0,,0,,,,,,,1010.2,,,304,,,,0.0,,,0.0,60.0,,,4.7,4.7,4.5,,-0.1,,8.4,9.0,8.6,
2018-01-01 13:40:00,232,238.0,,62.0,,5.3,3.3,,11.6,,0,,0,,,,,,,1008.2,,,149,,,,0.0,,,0.0,36.0,,,4.8,4.7,4.5,,-0.5,,8.1,7.5,7.9,
2018-01-01 14:40:00,240,239.0,,50.0,,2.5,2.0,,7.0,,0,,0,,,,,,,1007.4,,,55,,,,0.0,,,0.0,2.0,,,4.8,4.8,4.5,,-0.1,,7.6,6.8,7.5,
2018-01-01 15:40:00,224,216.0,,7.0,,3.1,3.6,,6.7,,0,,0,,,,,,,1006.5,,,8,,,,0.0,,,0.0,0.0,,,4.8,4.8,4.4,,-0.3,,7.2,5.1,6.8,
2018-01-01 16:40:00,235,226.0,,0.0,,4.3,4.4,,9.8,,0,,0,,,,,,,1005.9,,,1,,,,0.0,,,0.0,0.0,,,4.8,4.8,4.3,,0.4,,6.4,5.4,6.4,
2018-01-01 17:40:00,242,240.0,,0.0,,4.8,3.9,,10.0,,0,,0,,,,,,,1006.5,,,1,,,,0.1,,,0.0,0.0,,,4.7,4.8,4.2,,1.5,,6.1,4.0,5.5,
2018-01-01 18:40:00,235,213.0,,0.0,,4.0,2.6,,9.2,,0,,0,,,,,,,1007.3,,,1,,,,0.0,,,0.0,0.0,,,4.7,4.8,4.2,,2.0,,5.2,3.5,4.8,
2018-01-01 19:40:00,233,231.0,,0.0,,3.5,3.9,,8.3,,0,,0,,,,,,,1007.7,,,1,,,,0.1,,,0.0,0.0,,,4.7,4.8,4.2,,2.3,,4.9,3.6,5.2,
2018-01-01 20:40:00,234,232.0,,0.0,,4.6,6.2,,12.2,,0,,0,,,,,,,1009.0,,,1,,,,0.3,,,0.0,0.0,,,4.7,4.8,4.2,,2.9,,5.3,4.0,5.3,
2018-01-01 21:40:00,237,241.0,,0.0,,7.4,8.3,,14.3,,0,,0,,,,,,,1010.4,,,1,,,,0.9,,,0.0,0.0,,,4.6,4.8,4.1,,2.8,,5.3,4.1,5.4,
2018-01-01 22:40:00,248,253.0,,0.0,,7.9,7.7,,16.6,,0,,0,,,,,,,1011.3,,,1,,,,0.1,,,0.0,0.0,,,4.6,4.8,4.2,,2.6,,5.4,3.9,5.4,
2018-01-01 23:40:00,242,232.0,,1.0,,7.7,5.9,,20.7,,0,,0,,,,,,,1013.2,,,2,,,,1.3,,,0.0,0.0,,,4.5,4.8,3.7,,2.0,,4.1,2.4,4.2,
2018-01-02 00:40:00,243,245.0,,0.0,0.1,6.6,7.6,,13.6,,0,,0,,,,,,,1013.9,,,0,,,,0.0,,,0.0,0.0,,,4.5,4.8,3.8,3.7,1.2,2.7,4.3,2.4,3.9,6.8
2018-01-02 01:40:00,239,228.0,,0.0,,6.6,6.5,,13.6,,0,,0,,,,,,,1014.5,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.7,3.7,,1.2,,3.8,2.3,3.8,
2018-01-02 02:40:00,235,236.0,,0.0,,6.6,5.6,,11.8,,0,,0,,,,,,,1014.8,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.7,3.6,,1.2,,4.0,2.1,4.0,
2018-01-02 03:40:00,227,226.0,,0.0,,4.6,4.8,,8.9,,0,,0,,,,,,,1015.5,,,1,,,,0.0,,,0.0,0.0,,,4.3,4.7,3.6,,0.8,,3.8,2.2,3.8,
2018-01-02 04:40:00,230,228.0,,0.0,,5.2,5.5,,10.2,,0,,0,,,,,,,1015.9,,,1,,,,0.1,,,0.0,0.0,,,4.3,4.7,3.5,,1.2,,3.6,2.0,3.8,
2018-01-02 05:40:00,231,229.0,,0.0,,6.0,5.5,,11.3,,0,,0,,,,,,,1016.5,,,1,,,,0.0,,,0.0,0.0,,,4.2,4.6,3.5,,1.0,,3.7,2.3,3.5,
2018-01-02 06:40:00,233,238.0,,0.0,,4.7,3.6,,9.3,,0,,0,,,,,,,1017.7,,,1,,,,0.3,,,0.0,0.0,,,4.2,4.6,3.5,,1.2,,3.6,2.5,3.7,
2018-01-02 07:40:00,248,240.0,,3.0,,3.8,1.8,,10.7,,0,,0,,,,,,,1019.2,,,4,,,,0.4,,,0.0,0.0,,,4.2,4.6,3.4,,1.5,,3.3,2.2,2.9,
2018-01-02 08:40:00,274,322.0,,21.0,,1.7,1.9,,4.4,,0,,0,,,,,,,1020.1,,,22,,,,0.4,,,0.0,0.0,,,4.2,4.6,3.6,,1.7,,3.0,2.6,2.8,
2018-01-02 09:40:00,247,250.0,,70.0,,2.7,3.7,,6.4,,0,,0,,,,,,,1020.4,,,72,,,,0.1,,,0.0,0.0,,,4.2,4.6,3.7,,1.2,,3.9,4.2,4.7,
2018-01-02 10:40:00,233,241.0,,124.0,,3.9,3.3,,7.6,,0,,0,,,,,,,1019.8,,,197,,,,0.0,,,0.0,18.0,,,4.3,4.6,3.9,,1.4,,5.5,6.7,6.1,
2018-01-02 11:40:00,255,256.0,,78.0,,4.9,3.4,,10.6,,0,,0,,,,,,,1020.0,,,134,,,,0.7,,,0.0,14.0,,,4.4,4.6,3.9,,1.8,,5.0,3.6,4.5,
2018-01-02 12:40:00,247,245.0,,110.0,,4.7,5.4,,10.8,,0,,0,,,,,,,1019.1,,,248,,,,0.1,,,0.0,44.0,,,4.4,4.6,4.1,,0.2,,6.1,6.9,6.8,
2018-01-02 13:40:00,242,244.0,,107.0,,4.7,5.6,,10.1,,0,,0,,,,,,,1019.5,,,156,,,,0.0,,,0.0,21.0,,,4.5,4.6,4.1,,-0.5,,6.5,4.9,6.4,
2018-01-02 14:40:00,242,237.0,,69.0,,3.7,2.5,,9.9,,0,,0,,,,,,,1019.4,,,76,,,,0.0,,,0.0,2.0,,,4.5,4.6,4.1,,0.3,,6.2,4.4,6.0,
2018-01-02 15:40:00,223,210.0,,7.0,,1.8,1.8,,4.2,,0,,0,,,,,,,1019.4,,,8,,,,0.0,,,0.0,0.0,,,4.5,4.6,4.1,,-0.1,,6.0,3.8,5.8,
2018-01-02 16:40:00,202,233.0,,0.0,,1.2,0.5,,3.8,,0,,0,,,,,,,1018.7,,,1,,,,0.0,,,0.0,0.0,,,4.5,4.7,3.9,,-0.6,,5.3,1.6,5.3,
2018-01-02 17:40:00,231,235.0,,0.0,,2.6,3.6,,7.0,,0,,0,,,,,,,1018.9,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.7,3.9,,-0.8,,5.6,4.2,5.9,
2018-01-02 18:40:00,245,228.0,,0.0,,4.3,4.5,,10.4,,0,,0,,,,,,,1019.4,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.7,3.8,,-2.2,,5.8,4.5,6.0,
2018-01-02 19:40:00,210,188.0,,0.0,,2.6,1.9,,5.5,,0,,0,,,,,,,1018.1,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.7,3.8,,-1.3,,5.7,4.1,5.6,
2018-01-02 20:40:00,201,201.0,,0.0,,2.0,1.9,,4.1,,0,,0,,,,,,,1017.1,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.6,3.8,,-1.1,,5.5,4.2,5.3,
2018-01-02 21:40:00,224,215.0,,1.0,,4.7,4.0,,13.6,,0,,0,,,,,,,1017.3,,,2,,,,0.7,,,0.0,0.0,,,4.3,4.6,3.5,,1.1,,4.3,2.4,3.5,
2018-01-02 22:40:00,216,215.0,,0.0,,3.6,3.4,,6.8,,0,,0,,,,,,,1016.6,,,1,,,,0.3,,,0.0,0.0,,,4.3,4.6,3.6,,1.6,,3.6,2.7,3.6,
2018-01-02 23:40:00,216,217.0,,0.0,,3.7,2.8,,8.0,,0,,0,,,,,,,1015.3,,,1,,,,0.8,,,0.0,0.0,,,4.3,4.6,3.6,,2.0,,3.9,3.0,3.9,
2018-01-03 00:40:00,198,204.0,,0.0,0.1,2.9,3.7,,6.2,,0,,0,,,,,,,1013.7,,,1,,,,0.2,,,0.0,0.0,,,4.3,4.6,3.7,4.6,2.2,3.7,3.9,3.3,4.3,12.8
2018-01-03 01:40:00,203,211.0,,0.0,,4.9,5.3,,9.5,,0,,0,,,,,,,1013.0,,,0,,,,0.0,,,0.0,0.0,,,4.3,4.6,3.8,,2.9,,4.8,3.9,5.2,
2018-01-03 02:40:00,209,220.0,,0.0,,4.1,2.2,,8.5,,0,,0,,,,,,,1011.2,,,0,,,,0.0,,,0.0,0.0,,,4.3,4.6,3.9,,3.6,,5.5,4.6,5.8,
2018-01-03 03:40:00,225,239.0,,0.0,,2.9,3.8,,7.7,,0,,0,,,,,,,1008.8,,,1,,,,0.0,,,0.0,0.0,,,4.4,4.6,4.0,,4.1,,6.0,4.5,6.4,
2018-01-03 04:40:00,243,234.0,,0.0,,3.8,3.1,,8.8,,0,,0,,,,,,,1005.8,,,0,,,,0.0,,,0.0,0.0,,,4.5,4.6,4.3,,5.1,,8.0,6.6,8.8,
