,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,198,187.0,,,,1.8,3.2,,5.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.1,0.8,6.8,,6.3,7.4
2018-01-01 01:40:00,189,13.0,,,,2.3,0.7,,5.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.5,,5.6,,5.2,
2018-01-01 02:40:00,9,185.0,,,,1.4,0.5,,6.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.4,,4.6,,4.3,
2018-01-01 03:40:00,8,341.0,,,,3.3,2.9,,9.2,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.8,,3.9,,3.2,
2018-01-01 04:40:00,9,8.0,,,,2.6,1.8,,6.4,,0,,0,,,,,0.0,,,,,,,,,0.1,,40.0,,,,,,,,,0.9,,2.5,,2.2,
2018-01-01 05:40:00,9,359.0,,,,2.8,4.1,,9.0,,0,,0,,,,,,,,,,,,,,0.2,,,,,,,,,,,0.4,,1.8,,1.4,
2018-01-01 06:40:00,360,40.0,,,,1.3,0.6,,6.3,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.4,,1.2,,1.1,
2018-01-01 07:40:00,56,28.0,,,,1.1,1.5,,2.5,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.5,,1.0,,0.9,
2018-01-01 08:40:00,304,257.0,,,,1.6,0.7,,5.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.8,,1.2,,1.4,
2018-01-01 09:40:00,14,45.0,,,,1.3,0.8,,4.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.6,,1.8,,2.0,
2018-01-01 10:40:00,340,299.0,,,,1.5,0.9,,3.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.3,,2.2,,2.3,
2018-01-01 11:40:00,135,155.0,,,,1.3,1.5,,3.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,2.5,,2.9,
2018-01-01 12:40:00,198,215.0,,,,2.8,3.0,,6.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,3.5,,3.6,
2018-01-01 13:40:00,196,191.0,,,,3.8,4.0,,7.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-4.3,,3.3,,3.5,
2018-01-01 14:40:00,208,197.0,,,,3.3,2.0,,7.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-5.9,,4.1,,4.5,
2018-01-01 15:40:00,201,200.0,,,,3.0,3.4,,7.6,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.7,,4.3,,4.4,
2018-01-01 16:40:00,217,236.0,,,,3.4,3.2,,8.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-7.4,,5.6,,6.5,
2018-01-01 17:40:00,218,217.0,,,,3.9,4.4,,9.8,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-6.1,,6.7,,6.8,
2018-01-01 18:40:00,196,78.0,,,,2.6,2.7,,7.9,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-2.3,,5.8,,5.0,
2018-01-01 19:40:00,360,234.0,,,,2.1,2.4,,4.4,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,4.3,,3.2,
