,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,251,270.0,,1.0,0.2,6.3,4.4,,13.7,,0,,0,,,336,,,,1011.6,,,2,,,,0.0,,,,0,,,5.2,5.4,5.2,5.0,5.0,4.0,8.6,6.3,7.5,9.3
2018-01-01 01:40:00,256,249.0,,1.0,,4.8,6.8,,11.7,,0,,0,,,341,,,,1012.9,,,2,,,,0.3,,,,0,,,5.3,5.4,5.4,,5.0,,7.2,6.1,7.1,
2018-01-01 02:40:00,238,229.0,,1.0,,7.4,7.2,,14.9,,0,,0,,,338,,,,1014.4,,,3,,,,1.2,,,,0,,,5.4,5.4,5.3,,3.4,,6.4,4.8,6.1,
2018-01-01 03:40:00,227,211.0,,1.0,,5.6,4.4,,12.4,,0,,0,,,329,,,,1015.3,,,2,,,,0.3,,,,0,,,5.3,5.4,5.1,,2.7,,5.9,4.5,6.0,
2018-01-01 04:40:00,221,227.0,,1.0,,5.7,5.3,,13.3,,0,,0,,,319,,0.0,,1015.4,,,2,,,,0.0,,0.0,,0,,,5.2,5.4,4.9,,1.7,,6.2,4.5,6.2,
2018-01-01 05:40:00,227,227.0,,1.0,,6.4,6.6,,14.3,,0,,0,,,305,,,,1015.6,,,2,,,,0.0,,,,0,,,5.2,5.4,4.7,,1.7,,5.8,4.5,5.6,
2018-01-01 06:40:00,240,252.0,,1.0,,6.2,5.6,,11.6,,0,,0,,,315,,,,1015.9,,,2,,,,0.0,,,,0,,,5.1,5.4,4.6,,2.3,,5.7,4.7,5.3,
2018-01-01 07:40:00,245,239.0,,8.0,,6.9,7.3,,14.4,,0,,0,,,311,,,,1016.6,,,9,,,,0.0,,,,0,,,5.0,5.3,4.5,,1.9,,5.2,4.4,5.2,
2018-01-01 08:40:00,232,226.0,,33.0,,5.6,4.7,,15.2,,0,,0,,,264,,,,1016.8,,,70,,,,0.0,,,,24,,,4.9,5.3,4.4,,1.7,,5.0,5.3,5.4,
2018-01-01 09:40:00,232,235.0,,59.0,,7.1,7.2,,13.7,,0,,0,,,258,,,,1016.2,,,182,,,,0.0,,,,47,,,4.9,5.3,4.7,,1.8,,6.0,6.5,6.2,
2018-01-01 10:40:00,235,240.0,,75.0,,7.2,4.6,,15.6,,0,,0,,,261,,,,1014.5,,,169,,,,0.0,,,,27,,,5.0,5.3,4.8,,1.7,,6.2,7.0,6.9,
2018-01-01 11:40:00,240,235.0,,60.0,,6.8,7.1,,13.3,,0,,0,,,260,,,,1012.6,,,318,,,,0.0,,,,59,,,5.1,5.2,5.4,,0.9,,7.8,8.5,8.1,
2018-01-01 12:40:00,235,231.0,,51.0,,6.9,5.3,,12.2,,0,,0,,,261,,,,1010.4,,,266,,,,0.0,,,,56,,,5.4,5.3,5.7,,0.1,,8.2,9.0,8.4,
2018-01-01 13:40:00,222,222.0,,65.0,,5.7,4.9,,9.9,,0,,0,,,265,,,,1008.4,,,159,,,,0.0,,,,32,,,5.6,5.3,5.8,,-0.3,,8.1,6.3,7.4,
2018-01-01 14:40:00,234,243.0,,47.0,,3.8,2.7,,7.1,,0,,0,,,307,,,,1007.4,,,50,,,,0.0,,,,0,,,5.5,5.3,5.5,,0.4,,7.4,6.4,7.2,
2018-01-01 15:40:00,223,216.0,,9.0,,3.5,3.8,,7.4,,0,,0,,,316,,,,1006.4,,,10,,,,0.0,,,,0,,,5.5,5.4,5.3,,0.1,,6.9,5.5,6.7,
2018-01-01 16:40:00,229,230.0,,1.0,,4.2,5.1,,9.2,,0,,0,,,324,,,,1005.8,,,2,,,,0.0,,,,0,,,5.3,5.4,4.9,,0.8,,6.6,5.4,6.5,
2018-01-01 17:40:00,230,226.0,,1.0,,6.0,6.3,,11.6,,0,,0,,,329,,,,1006.4,,,3,,,,0.1,,,,0,,,5.2,5.4,4.8,,1.9,,6.1,4.4,5.7,
2018-01-01 18:40:00,234,235.0,,1.0,,6.0,7.2,,12.0,,0,,0,,,328,,,,1007.0,,,2,,,,0.0,,,,0,,,5.2,5.4,4.7,,2.0,,5.3,4.0,5.2,
2018-01-01 19:40:00,221,218.0,,1.0,,6.6,6.0,,11.7,,0,,0,,,326,,,,1007.6,,,2,,,,0.2,,,,0,,,5.1,5.4,4.6,,2.2,,5.1,4.0,5.2,
2018-01-01 20:40:00,228,236.0,,1.0,,7.4,8.6,,15.8,,0,,0,,,330,,,,1008.7,,,2,,,,0.7,,,,0,,,5.0,5.3,4.6,,3.0,,5.3,4.3,5.4,
2018-01-01 21:40:00,235,237.0,,1.0,,9.6,9.8,,18.8,,0,,0,,,332,,,,1010.2,,,2,,,,0.5,,,,0,,,5.0,5.3,4.6,,2.8,,5.5,4.2,5.3,
2018-01-01 22:40:00,241,245.0,,1.0,,9.1,9.6,,16.8,,0,,0,,,315,,,,1011.0,,,2,,,,0.0,,,,0,,,5.0,5.3,4.6,,2.7,,5.6,4.1,5.5,
2018-01-01 23:40:00,243,231.0,,1.0,,8.5,6.2,,19.4,,0,,0,,,277,,,,1013.1,,,2,,,,0.0,,,,0,,,4.9,5.3,4.4,,1.8,,4.8,2.7,4.1,
2018-01-02 00:40:00,243,240.0,,1.0,0.1,6.9,6.9,,14.1,,0,,0,,,287,,,,1013.7,,,2,,,,0.0,,,,0,,,4.8,5.3,4.1,4.1,1.4,1.6,4.6,3.3,4.3,7.0
2018-01-02 01:40:00,236,237.0,,1.0,,7.2,6.1,,14.0,,0,,0,,,275,,,,1014.3,,,2,,,,0.1,,,,0,,,4.7,5.2,3.9,,1.1,,3.9,2.3,3.8,
2018-01-02 02:40:00,235,237.0,,1.0,,7.0,6.2,,13.5,,0,,0,,,261,,,,1014.7,,,2,,,,0.0,,,,0,,,4.5,5.2,3.7,,1.3,,4.0,2.7,4.0,
2018-01-02 03:40:00,230,227.0,,1.0,,4.2,3.5,,11.6,,0,,0,,,278,,,,1015.4,,,2,,,,0.0,,,,0,,,4.4,5.2,3.6,,1.0,,3.7,2.0,3.7,
2018-01-02 04:40:00,231,231.0,,1.0,,5.0,5.0,,10.6,,0,,0,,,309,,0.0,,1016.0,,,2,,,,0.0,,0.0,,0,,,4.4,5.1,3.6,,1.5,,3.7,2.7,3.8,
2018-01-02 05:40:00,233,229.0,,1.0,,5.6,5.5,,10.8,,0,,0,,,292,,,,1016.4,,,2,,,,0.0,,,,0,,,4.3,5.1,3.5,,1.3,,3.9,3.0,3.8,
2018-01-02 06:40:00,240,273.0,,2.0,,5.4,3.7,,11.1,,0,,0,,,324,,,,1018.1,,,3,,,,1.9,,,,0,,,4.0,5.0,3.3,,1.6,,3.5,2.1,2.8,
2018-01-02 07:40:00,247,234.0,,6.0,,3.3,3.7,,7.5,,0,,0,,,331,,,,1019.0,,,7,,,,0.5,,,,0,,,4.1,5.0,3.4,,1.7,,2.8,2.4,3.1,
2018-01-02 08:40:00,252,269.0,,13.0,,3.2,2.3,,7.5,,0,,0,,,333,,,,1020.5,,,14,,,,3.1,,,,0,,,4.1,4.9,3.3,,0.9,,2.5,1.2,1.6,
2018-01-02 09:40:00,288,334.0,,41.0,,2.2,0.9,,5.4,,0,,0,,,327,,,,1020.9,,,43,,,,0.9,,,,0,,,4.1,4.9,3.3,,1.6,,2.4,2.6,2.7,
2018-01-02 10:40:00,228,248.0,,163.0,,2.0,3.3,,6.5,,0,,0,,,327,,,,1019.9,,,232,,,,0.0,,,,17,,,4.2,4.9,4.3,,2.2,,4.8,5.1,5.8,
2018-01-02 11:40:00,239,234.0,,110.0,,5.6,3.1,,14.3,,0,,0,,,298,,,,1020.0,,,179,,,,0.2,,,,20,,,4.6,4.8,4.7,,2.5,,5.0,4.6,4.7,
2018-01-02 12:40:00,236,236.0,,149.0,,4.7,6.3,,9.8,,0,,0,,,291,,,,1019.2,,,230,,,,0.0,,,,22,,,4.8,4.9,5.2,,1.0,,5.7,5.1,6.1,
2018-01-02 13:40:00,234,237.0,,122.0,,6.0,5.9,,11.7,,0,,0,,,278,,,,1019.5,,,191,,,,0.0,,,,28,,,5.0,4.9,5.3,,0.3,,6.6,5.4,6.2,
2018-01-02 14:40:00,234,231.0,,68.0,,5.1,4.7,,9.4,,0,,0,,,288,,,,1019.4,,,75,,,,0.0,,,,0,,,5.1,5.0,5.0,,-0.1,,6.2,5.0,6.3,
2018-01-02 15:40:00,223,206.0,,8.0,,3.5,2.7,,8.1,,0,,0,,,311,,,,1019.4,,,9,,,,0.0,,,,0,,,5.0,5.1,4.7,,0.3,,5.8,4.4,5.8,
2018-01-02 16:40:00,203,194.0,,1.0,,2.3,1.6,,4.5,,0,,0,,,293,,,,1018.8,,,2,,,,0.0,,,,0,,,4.9,5.1,4.4,,0.2,,5.2,3.3,5.2,
2018-01-02 17:40:00,187,216.0,,1.0,,2.0,3.1,,7.2,,0,,0,,,310,,,,1018.9,,,2,,,,0.0,,,,0,,,4.8,5.1,4.2,,-0.2,,5.3,3.8,5.6,
2018-01-02 18:40:00,243,231.0,,1.0,,5.8,5.8,,12.3,,0,,0,,,319,,,,1019.3,,,2,,,,0.0,,,,0,,,4.7,5.1,4.2,,-0.8,,5.9,4.7,5.8,
2018-01-02 19:40:00,212,192.0,,1.0,,4.2,3.7,,9.2,,0,,0,,,319,,,,1018.1,,,2,,,,0.0,,,,0,,,4.6,5.1,4.1,,-0.8,,5.7,4.4,5.7,
2018-01-02 20:40:00,182,174.0,,1.0,,3.1,3.1,,6.8,,0,,0,,,323,,,,1017.1,,,2,,,,0.0,,,,0,,,4.6,5.1,4.1,,-0.5,,5.3,4.0,5.2,
2018-01-02 21:40:00,214,193.0,,2.0,,5.5,3.6,,13.1,,0,,0,,,329,,,,1017.3,,,3,,,,0.4,,,,0,,,4.5,5.0,3.9,,0.9,,4.3,2.6,3.8,
2018-01-02 22:40:00,164,161.0,,1.0,,2.8,2.9,,5.7,,0,,0,,,328,,,,1016.6,,,2,,,,0.4,,,,0,,,4.5,5.0,3.9,,2.0,,3.6,2.8,3.6,
2018-01-02 23:40:00,169,178.0,,1.0,,3.2,3.7,,7.8,,0,,0,,,330,,,,1015.3,,,2,,,,0.4,,,,0,,,4.4,5.0,3.9,,2.4,,3.8,3.1,3.9,
2018-01-03 00:40:00,183,182.0,,1.0,0.1,5.6,5.5,,9.6,,0,,0,,,331,,,,1013.7,,,2,,,,0.1,,,,0,,,4.4,5.0,3.9,5.1,2.4,3.3,3.6,2.9,3.4,11.9
2018-01-03 01:40:00,191,185.0,,1.0,,6.0,5.7,,11.3,,0,,0,,,334,,,,1012.9,,,2,,,,0.1,,,,0,,,4.4,4.9,4.0,,3.1,,4.7,4.0,4.9,
2018-01-03 02:40:00,200,222.0,,0.0,,5.5,7.5,,12.4,,0,,0,,,335,,,,1011.0,,,2,,,,0.0,,,,0,,,4.5,4.9,4.2,,4.2,,5.5,5.2,6.4,
2018-01-03 03:40:00,203,204.0,,1.0,,4.2,5.0,,11.3,,0,,0,,,328,,,,1008.5,,,2,,,,0.0,,,,0,,,4.6,4.9,4.4,,4.7,,6.4,5.2,7.0,
2018-01-03 04:40:00,219,205.0,,0.0,,7.1,6.9,,13.8,,0,,0,,,334,,0.0,,1005.7,,,2,,,,0.0,,0.0,,0,,,4.7,4.9,4.8,,5.2,,8.6,7.1,8.9,
2018-01-03 05:40:00,215,221.0,,1.0,,7.2,5.5,,16.0,,0,,0,,,342,,,,1003.5,,,2,,,,0.0,,,,0,,,4.9,5.0,5.3,,5.4,,9.1,7.5,9.1,
