,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,235,251.0,,,,7.1,6.4,,12.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 01:40:00,248,245.0,,,,10.0,11.6,,16.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 02:40:00,244,236.0,,,,10.9,8.1,,17.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 03:40:00,240,229.0,,,,9.3,7.7,,15.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 04:40:00,226,229.0,,,,9.0,8.6,,16.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 05:40:00,229,237.0,,,,8.3,7.3,,14.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 06:40:00,235,237.0,,,,8.5,8.8,,13.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 07:40:00,241,232.0,,,,8.4,6.8,,14.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 08:40:00,230,230.0,,,,6.5,5.9,,11.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 09:40:00,229,231.0,,,,7.4,6.8,,13.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 10:40:00,229,230.0,,,,7.4,7.2,,11.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 11:40:00,233,243.0,,,,7.4,7.0,,14.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 12:40:00,240,236.0,,,,7.7,7.9,,12.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 13:40:00,233,231.0,,,,5.7,5.0,,10.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 14:40:00,230,232.0,,,,3.8,3.1,,6.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 15:40:00,236,192.0,,,,1.8,0.6,,4.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 16:40:00,235,218.0,,,,1.3,2.0,,2.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
