,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,158.0,128.0,,0.0,0.2,1.4,0.7,,3.3,,0,,0,,,301,313,,,1012.4,,,0,,-2,,0.0,,,,0,,,,,,,0.6,0.9,2.0,0.4,2.1,8.7
2018-01-01 01:40:00,322.0,33.0,,0.0,,3.5,2.6,,8.7,,0,,0,,,317,322,,,1012.5,,,0,,-1,,0.0,,,,0,,,,,,,1.8,,5.7,4.3,6.1,
2018-01-01 02:40:00,353.0,356.0,,0.0,,8.3,11.2,,16.5,,0,,0,,,331,336,,,1014.0,,,0,,-3,,0.0,,,,0,,,,,,,3.0,,7.9,6.1,7.7,
2018-01-01 03:40:00,353.0,318.0,,0.0,,8.1,4.5,,16.2,,0,,0,,,333,337,,,1015.2,,,0,,-3,,0.1,,,,0,,,,,,,1.3,,7.7,5.4,7.6,
2018-01-01 04:40:00,349.0,345.0,,0.0,,7.8,6.6,,15.6,,0,,0,,,332,335,0.0,,1016.4,,,0,,-3,,0.3,,0.0,,0,,,,,,,1.5,,6.8,4.2,6.1,
2018-01-01 05:40:00,301.0,165.0,,1.0,,3.0,1.7,,7.8,,0,,0,,,326,332,,,1017.0,,,0,,-2,,0.2,,,,0,,,,,,,2.1,,5.6,3.6,5.2,
2018-01-01 06:40:00,128.0,72.0,,0.0,,2.3,1.5,,4.8,,0,,0,,,292,325,,,1016.6,,,0,,-2,,0.0,,,,0,,,,,,,2.1,,4.4,2.5,3.5,
2018-01-01 07:40:00,233.0,169.0,,9.0,,1.1,1.9,,3.5,,0,,0,,,294,323,,,1017.1,,,9,,-1,,0.0,,,,0,,,,,,,2.5,,3.9,2.2,3.7,
2018-01-01 08:40:00,171.0,121.0,,19.0,,1.3,0.5,,3.4,,0,,0,,,296,326,,,1017.6,,,23,,1,,0.0,,,,0,,,,,,,2.6,,3.9,2.6,3.8,
2018-01-01 09:40:00,124.0,108.0,,53.0,,1.2,1.1,,2.4,,0,,0,,,258,334,,,1017.1,,,139,,31,,0.0,,,,30,,,,,,,3.1,,4.7,7.2,5.4,
2018-01-01 10:40:00,152.0,153.0,,48.0,,1.6,1.3,,3.0,,0,,0,,,249,346,,,1015.6,,,227,,54,,0.0,,,,57,,,,,,,3.1,,6.1,8.3,6.5,
2018-01-01 11:40:00,156.0,144.0,,41.0,,1.2,1.5,,3.1,,0,,0,,,249,360,,,1013.7,,,340,,85,,0.0,,,,60,,,,,,,2.7,,7.4,10.8,7.6,
2018-01-01 12:40:00,158.0,236.0,,37.0,,1.9,0.8,,3.8,,0,,0,,,248,359,,,1011.8,,,321,,83,,0.0,,,,60,,,,,,,1.5,,7.5,10.1,6.8,
2018-01-01 13:40:00,193.0,220.0,,30.0,,1.9,1.9,,4.3,,0,,0,,,245,330,,,1009.6,,,42,,3,,0.0,,,,2,,,,,,,0.5,,5.6,3.1,5.1,
2018-01-01 14:40:00,149.0,133.0,,50.0,,1.3,1.5,,2.8,,0,,0,,,259,326,,,1008.3,,,52,,8,,0.0,,,,0,,,,,,,0.8,,5.1,3.3,5.2,
2018-01-01 15:40:00,288.0,86.0,,8.0,,0.9,0.1,,4.0,,0,,0,,,299,326,,,1006.6,,,8,,-1,,0.0,,,,0,,,,,,,-0.4,,5.2,3.3,5.5,
2018-01-01 16:40:00,335.0,27.0,,0.0,,2.3,0.4,,5.6,,0,,0,,,312,331,,,1006.4,,,0,,-2,,0.0,,,,0,,,,,,,1.2,,6.1,4.4,6.0,
