,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,90,157.0,,,0.2,1.5,1.6,,3.1,,0,,0,,,,,,,1013.0,,,0,,,,0.0,,,,0,,,,,,,2.7,3.3,3.6,,4.1,9.1
2018-01-01 01:40:00,248,257.0,,,,4.9,7.4,,14.3,,0,,0,,,,,,,1014.0,,,0,,,,0.0,,,,0,,,,,,,4.4,,6.5,,7.3,
2018-01-01 02:40:00,246,221.0,,,,6.6,5.2,,11.9,,0,,0,,,,,,,1015.9,,,0,,,,0.3,,,,0,,,,,,,3.4,,6.5,,6.3,
2018-01-01 03:40:00,219,229.0,,,,4.8,4.8,,8.8,,0,,0,,,,,,,1016.1,,,0,,,,0.1,,,,0,,,,,,,2.4,,6.0,,6.2,
2018-01-01 04:40:00,232,225.0,,,,6.3,6.0,,14.5,,0,,0,,,,,,,1016.6,,,0,,,,0.2,,,,0,,,,,,,2.2,,6.2,,5.4,
2018-01-01 05:40:00,230,226.0,,,,4.1,2.6,,8.7,,0,,0,,,,,,,1016.1,,,0,,,,0.0,,,,0,,,,,,,2.1,,5.4,,5.4,
2018-01-01 06:40:00,264,284.0,,,,3.0,3.7,,7.5,,0,,0,,,,,,,1016.2,,,0,,,,0.0,,,,0,,,,,,,1.6,,5.1,,5.1,
2018-01-01 07:40:00,267,260.0,,,,5.2,6.1,,10.0,,0,,0,,,,,,,1017.0,,,6,,,,0.0,,,,0,,,,,,,2.2,,5.2,,5.0,
2018-01-01 08:40:00,253,248.0,,,,5.3,3.3,,11.1,,0,,0,,,,,,,1017.3,,,27,,,,0.0,,,,0,,,,,,,1.4,,5.4,,5.5,
2018-01-01 09:40:00,233,237.0,,,,2.1,2.3,,4.5,,0,,0,,,,,,,1016.6,,,214,,,,0.0,,,,46,,,,,,,1.4,,6.6,,7.3,
2018-01-01 10:40:00,254,254.0,,,,4.9,6.7,,11.1,,0,,0,,,,,,,1014.6,,,311,,,,0.0,,,,60,,,,,,,0.7,,7.9,,8.1,
2018-01-01 11:40:00,254,257.0,,,,6.6,6.1,,11.1,,0,,0,,,,,,,1012.8,,,334,,,,0.0,,,,60,,,,,,,-0.1,,8.7,,8.8,
2018-01-01 12:40:00,261,229.0,,,,4.0,2.9,,7.5,,0,,0,,,,,,,1010.8,,,308,,,,0.0,,,,60,,,,,,,0.0,,8.9,,9.1,
2018-01-01 13:40:00,157,158.0,,,,2.4,2.3,,4.3,,0,,0,,,,,,,1008.4,,,205,,,,0.0,,,,57,,,,,,,1.5,,8.2,,7.6,
2018-01-01 14:40:00,214,241.0,,,,1.6,1.5,,2.7,,0,,0,,,,,,,1007.7,,,57,,,,0.0,,,,1,,,,,,,0.7,,7.6,,7.5,
2018-01-01 15:40:00,275,262.0,,,,1.4,2.5,,4.1,,0,,0,,,,,,,1007.1,,,4,,,,0.0,,,,0,,,,,,,0.9,,7.0,,6.8,
2018-01-01 16:40:00,246,126.0,,,,2.5,1.7,,5.7,,0,,0,,,,,,,1006.0,,,0,,,,0.0,,,,0,,,,,,,1.0,,6.7,,6.3,
2018-01-01 17:40:00,252,224.0,,,,2.2,1.8,,5.4,,0,,0,,,,,,,1006.9,,,0,,,,0.1,,,,0,,,,,,,1.2,,6.2,,6.2,
2018-01-01 18:40:00,251,254.0,,,,2.6,3.0,,5.9,,0,,0,,,,,,,1007.7,,,0,,,,0.1,,,,0,,,,,,,2.6,,5.7,,5.2,
2018-01-01 19:40:00,253,235.0,,,,3.3,2.0,,6.5,,0,,0,,,,,,,1008.2,,,0,,,,0.0,,,,0,,,,,,,2.9,,5.0,,4.8,
2018-01-01 20:40:00,290,274.0,,,,3.3,3.2,,6.1,,0,,0,,,,,,,1009.6,,,0,,,,0.1,,,,0,,,,,,,3.3,,4.9,,5.3,
2018-01-01 21:40:00,227,237.0,,,,3.7,4.5,,8.7,,0,,0,,,,,,,1010.9,,,0,,,,0.0,,,,0,,,,,,,2.6,,6.4,,6.9,
