,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,315,20.0,,,0.1,1.0,1.1,,4.1,,0,,0,,,304,,,,,,,0,,,,0.0,,,,0.0,,,,,,,1.3,0.6,2.9,1.5,2.7,5.3
2018-01-01 01:40:00,253,246.0,,,,5.7,8.0,,14.6,,0,,0,,,329,,,,,,,0,,,,0.6,,,,0.0,,,,,,,3.8,,4.7,2.6,4.4,
2018-01-01 02:40:00,247,244.0,,,,10.2,11.2,,18.7,,0,,0,,,327,,,,,,,0,,,,1.2,,,,0.0,,,,,,,2.3,,3.1,1.1,2.5,
2018-01-01 03:40:00,243,232.0,,,,8.9,7.5,,16.5,,0,,0,,,323,,,,,,,0,,,,1.4,,,,0.0,,,,,,,1.7,,2.2,0.8,2.2,
2018-01-01 04:40:00,222,237.0,,,,6.5,6.5,,16.8,,0,,0,,,316,,0.0,,,,,0,,,,0.0,,12.0,,0.0,,,,,,,0.9,,2.5,1.0,2.3,
2018-01-01 05:40:00,215,188.0,,,,4.3,4.0,,12.3,,0,,0,,,312,,,,,,,0,,,,0.1,,,,0.0,,,,,,,1.1,,2.2,1.0,2.5,
2018-01-01 06:40:00,197,218.0,,,,3.0,1.9,,7.9,,0,,0,,,283,,,,,,,0,,,,0.0,,,,0.0,,,,,,,0.6,,2.9,1.0,2.8,
2018-01-01 07:40:00,262,252.0,,,,2.5,3.5,,9.6,,0,,0,,,297,,,,,,,5,,,,0.0,,,,0.0,,,,,,,1.1,,2.5,1.4,2.7,
2018-01-01 08:40:00,255,249.0,,,,4.9,6.9,,13.5,,0,,0,,,306,,,,,,,27,,,,0.0,,,,0.0,,,,,,,1.0,,2.7,1.9,2.7,
2018-01-01 09:40:00,244,245.0,,,,4.6,4.1,,11.8,,0,,0,,,266,,,,,,,129,,,,0.0,,,,4.0,,,,,,,0.1,,3.0,3.0,3.3,
