,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,297,282.0,,,,2.5,4.8,,6.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 01:40:00,271,267.0,,,,6.2,8.9,,13.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 02:40:00,275,266.0,,,,8.7,7.7,,15.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 03:40:00,250,233.0,,,,8.2,7.9,,13.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 04:40:00,250,269.0,,,,7.4,7.1,,13.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 05:40:00,245,248.0,,,,4.8,3.9,,11.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 06:40:00,263,280.0,,,,4.0,4.2,,7.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 07:40:00,278,280.0,,,,6.1,5.7,,12.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 08:40:00,266,262.0,,,,6.7,8.5,,13.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 09:40:00,269,265.0,,,,8.4,6.5,,14.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 10:40:00,255,241.0,,,,5.6,5.5,,14.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 11:40:00,261,256.0,,,,4.5,3.0,,8.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 12:40:00,165,153.0,,,,1.5,1.9,,3.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 13:40:00,111,113.0,,,,2.5,3.9,,6.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 14:40:00,105,41.0,,,,2.3,1.5,,6.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 15:40:00,270,321.0,,,,1.4,0.4,,4.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 16:40:00,267,16.0,,,,2.2,0.3,,6.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 17:40:00,300,271.0,,,,2.7,1.8,,7.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 18:40:00,264,294.0,,,,3.7,4.3,,8.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 19:40:00,207,231.0,,,,5.1,7.0,,13.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 20:40:00,238,269.0,,,,5.7,7.7,,12.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 21:40:00,273,283.0,,,,7.6,9.8,,15.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 22:40:00,268,257.0,,,,9.5,9.7,,17.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 23:40:00,263,263.0,,,,8.5,5.8,,20.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 00:40:00,278,298.0,,,,7.2,9.0,,13.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 01:40:00,288,274.0,,,,5.4,2.8,,13.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 02:40:00,285,290.0,,,,5.3,6.5,,12.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 03:40:00,273,260.0,,,,4.2,2.4,,9.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 04:40:00,270,286.0,,,,4.4,3.9,,8.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 05:40:00,276,277.0,,,,4.7,4.7,,10.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 06:40:00,278,274.0,,,,3.6,3.7,,9.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 07:40:00,275,264.0,,,,6.7,7.4,,16.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 08:40:00,264,271.0,,,,5.3,4.3,,9.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 09:40:00,257,247.0,,,,5.0,3.9,,8.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 10:40:00,254,266.0,,,,5.2,5.9,,9.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 11:40:00,258,258.0,,,,5.7,6.5,,9.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 12:40:00,257,248.0,,,,6.6,6.5,,12.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 13:40:00,260,271.0,,,,5.7,5.1,,10.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 14:40:00,258,253.0,,,,4.5,4.6,,7.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 15:40:00,235,209.0,,,,2.2,1.5,,6.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 16:40:00,337,349.0,,,,1.1,1.0,,2.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 17:40:00,13,27.0,,,,1.2,1.1,,2.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 18:40:00,249,267.0,,,,1.8,3.2,,5.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 19:40:00,168,161.0,,,,4.6,6.5,,10.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 20:40:00,149,178.0,,,,5.8,1.7,,11.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 21:40:00,283,261.0,,,,1.5,0.6,,6.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 22:40:00,76,71.0,,,,1.4,1.5,,3.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 23:40:00,99,96.0,,,,2.5,3.5,,6.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 00:40:00,100,91.0,,,,1.8,1.7,,5.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 01:40:00,307,2.0,,,,1.1,0.9,,2.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 02:40:00,81,104.0,,,,1.6,2.7,,5.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 03:40:00,79,259.0,,,,1.7,2.5,,6.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 04:40:00,49,76.0,,,,2.4,1.8,,6.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 05:40:00,74,280.0,,,,2.1,0.6,,9.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 06:40:00,273,278.0,,,,4.8,4.5,,12.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 07:40:00,274,271.0,,,,4.7,5.1,,12.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 08:40:00,264,261.0,,,,12.4,12.8,,25.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 09:40:00,267,269.0,,,,14.9,14.2,,26.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 10:40:00,279,279.0,,,,15.7,16.6,,31.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 11:40:00,290,282.0,,,,13.9,10.8,,28.6,,38,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 12:40:00,263,248.0,,,,5.9,6.4,,13.2,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 13:40:00,259,265.0,,,,6.0,6.2,,11.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 14:40:00,252,257.0,,,,6.5,5.8,,12.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 15:40:00,249,252.0,,,,5.6,3.9,,12.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 16:40:00,252,251.0,,,,4.4,6.5,,11.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 17:40:00,251,243.0,,,,7.0,7.0,,15.2,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 18:40:00,258,259.0,,,,8.9,8.1,,14.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 19:40:00,261,259.0,,,,7.5,6.8,,14.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 20:40:00,260,258.0,,,,6.9,5.4,,13.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 21:40:00,264,255.0,,,,8.0,7.3,,16.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 22:40:00,262,270.0,,,,6.8,4.6,,17.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03 23:40:00,269,263.0,,,,8.9,9.7,,15.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 00:40:00,259,256.0,,,,8.2,6.0,,15.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 01:40:00,257,262.0,,,,4.2,2.3,,11.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 02:40:00,146,57.0,,,,1.4,1.0,,3.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 03:40:00,58,87.0,,,,1.0,1.0,,2.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 04:40:00,96,98.0,,,,1.0,1.5,,2.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 05:40:00,101,106.0,,,,2.2,2.7,,4.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 06:40:00,112,109.0,,,,1.3,1.1,,3.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 07:40:00,100,110.0,,,,1.2,0.6,,2.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 08:40:00,86,95.0,,,,1.4,3.2,,5.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 09:40:00,97,102.0,,,,2.7,2.8,,5.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 10:40:00,274,273.0,,,,4.2,6.2,,11.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 11:40:00,275,275.0,,,,5.9,6.3,,12.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 12:40:00,262,259.0,,,,6.7,7.4,,12.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 13:40:00,268,264.0,,,,8.5,7.3,,17.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 14:40:00,264,264.0,,,,7.7,8.0,,16.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 15:40:00,256,252.0,,,,6.6,5.2,,14.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 16:40:00,256,255.0,,,,5.5,6.0,,15.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 17:40:00,255,260.0,,,,5.0,4.7,,10.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 18:40:00,250,242.0,,,,6.2,6.1,,15.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 19:40:00,265,270.0,,,,6.3,7.2,,12.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 20:40:00,265,268.0,,,,7.0,8.6,,13.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 21:40:00,255,249.0,,,,7.4,5.4,,15.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 22:40:00,248,258.0,,,,6.7,2.9,,16.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04 23:40:00,247,251.0,,,,4.6,4.5,,10.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05 00:40:00,279,285.0,,,,4.0,4.0,,6.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
