,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,243.0,242.0,,1.0,,15.9,11.6,,26.3,,0,,0,,,,,,,,,,2,,,94.5,,,,,0,,,,,,,3.5,,4.6,,4.3,
2018-01-01 01:40:00,247.0,243.0,,1.0,,13.6,15.4,,19.4,,0,,0,,,,,,,,,,3,,,100.0,,,,,0,,,,,,,2.8,,3.6,,2.8,
2018-01-01 02:40:00,239.0,234.0,,2.0,,16.6,16.6,,21.5,,0,,0,,,,,,,,,,3,,,97.5,,,,,0,,,,,,,1.0,,1.7,,1.4,
2018-01-01 03:40:00,230.0,226.0,,1.0,,16.4,14.4,,20.9,,0,,0,,,,,,,,,,2,,,88.0,,,,,0,,,,,,,-0.1,,1.5,,1.7,
2018-01-01 04:40:00,231.0,233.0,,1.0,,16.7,17.3,,22.3,,0,,0,,,,,,,,,,2,,,82.4,,,,,0,,,,,,,-1.1,,1.5,,1.6,
2018-01-01 05:40:00,230.0,231.0,,1.0,,16.5,16.5,,21.9,,0,,0,,,,,,,,,,2,,,86.6,,,,,0,,,,,,,-0.6,,1.2,,1.4,
2018-01-01 06:40:00,236.0,240.0,,1.0,,17.1,17.1,,22.0,,0,,0,,,,,,,,,,2,,,82.2,,,,,0,,,,,,,-1.0,,1.8,,1.7,
2018-01-01 07:40:00,240.0,239.0,,7.0,,17.8,16.9,,24.3,,0,,0,,,,,,,,,,9,,,96.7,,,,,0,,,,,,,0.0,,1.0,,0.5,
2018-01-01 08:40:00,237.0,234.0,,50.0,,14.1,11.6,,19.7,,0,,0,,,,,,,,,,65,,,92.7,,,,,7,,,,,,,-0.2,,0.7,,0.8,
2018-01-01 09:40:00,236.0,236.0,,106.0,,10.4,8.4,,16.9,,0,,0,,,,,,,,,,114,,,87.0,,,,,1,,,,,,,-0.6,,1.1,,1.3,
2018-01-01 10:40:00,235.0,237.0,,151.0,,11.1,12.1,,18.7,,0,,0,,,,,,,,,,182,,,82.2,,,,,4,,,,,,,-0.9,,1.5,,1.8,
2018-01-01 11:40:00,231.0,229.0,,111.0,,13.8,14.6,,21.1,,0,,0,,,,,,,,,,394,,,71.9,,,,,56,,,,,,,-2.2,,2.2,,2.3,
2018-01-01 12:40:00,231.0,232.0,,69.0,,12.0,9.0,,18.7,,0,,0,,,,,,,,,,373,,,67.7,,,,,60,,,,,,,-2.6,,2.6,,2.8,
