,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,239,241.0,,,0.2,1.8,3.7,,6.0,,0,,0,,,,,,,1010.6,,,4,,,,0.0,,,,0.0,,,,,,,3.5,4.0,5.5,,8.2,9.1
2018-01-01 01:40:00,246,252.0,,,,4.1,4.0,,11.2,,0,,0,,,,,,,1012.2,,,5,,,,0.3,,,,0.0,,,,,,,5.6,,8.8,,8.1,
2018-01-01 02:40:00,245,243.0,,,,4.3,5.3,,9.7,,0,,0,,,,,,,1014.1,,,5,,,,1.1,,,,0.0,,,,,,,5.4,,6.9,,6.7,
2018-01-01 03:40:00,236,232.0,,,,5.3,5.0,,11.4,,0,,0,,,,,,,1015.3,,,4,,,,0.7,,,,0.0,,,,,,,3.7,,5.7,,5.3,
2018-01-01 04:40:00,233,233.0,,,,4.0,4.9,,10.4,,0,,0,,,,,,,1014.8,,,4,,,,0.1,,,,0.0,,,,,,,2.3,,5.4,,5.7,
2018-01-01 05:40:00,238,240.0,,,,4.5,4.0,,9.4,,0,,0,,,,,,,1014.8,,,4,,,,0.0,,,,0.0,,,,,,,1.3,,6.0,,5.9,
2018-01-01 06:40:00,239,240.0,,,,4.7,3.5,,11.4,,0,,0,,,,,,,1015.2,,,4,,,,0.0,,,,0.0,,,,,,,1.3,,5.9,,5.7,
2018-01-01 07:40:00,245,256.0,,,,2.9,1.1,,7.4,,0,,0,,,,,,,1016.3,,,13,,,,0.0,,,,0.0,,,,,,,1.5,,5.8,,5.6,
2018-01-01 08:40:00,243,242.0,,,,3.4,3.8,,7.9,,0,,0,,,,,,,1016.7,,,34,,,,0.0,,,,0.0,,,,,,,1.5,,6.0,,5.9,
2018-01-01 09:40:00,239,240.0,,,,4.4,5.2,,11.5,,0,,0,,,,,,,1015.9,,,139,,,,0.0,,,,36.0,,,,,,,1.0,,6.0,,6.7,
2018-01-01 10:40:00,244,248.0,,,,4.5,3.8,,10.0,,0,,0,,,,,,,1014.9,,,210,,,,0.0,,,,29.0,,,,,,,1.1,,6.8,,7.3,
2018-01-01 11:40:00,245,246.0,,,,4.5,4.5,,10.3,,0,,0,,,,,,,1013.1,,,298,,,,0.0,,,,41.0,,,,,,,0.7,,7.7,,8.0,
2018-01-01 12:40:00,244,236.0,,,,3.2,3.3,,7.5,,0,,0,,,,,,,1010.7,,,275,,,,0.0,,,,59.0,,,,,,,0.1,,8.3,,8.6,
2018-01-01 13:40:00,230,227.0,,,,2.8,1.6,,7.7,,0,,0,,,,,,,1008.8,,,218,,,,0.0,,,,60.0,,,,,,,-0.3,,8.7,,8.8,
2018-01-01 14:40:00,228,222.0,,,,1.3,0.5,,4.2,,0,,0,,,,,,,1007.5,,,95,,,,0.0,,,,34.0,,,,,,,-0.2,,8.3,,7.7,
2018-01-01 15:40:00,56,228.0,,,,0.8,0.9,,1.7,,0,,0,,,,,,,1006.7,,,16,,,,0.0,,,,0.0,,,,,,,1.5,,6.6,,5.2,
2018-01-01 16:40:00,225,227.0,,,,0.7,1.0,,1.4,,0,,0,,,,,,,1006.3,,,4,,,,0.0,,,,0.0,,,,,,,1.8,,4.9,,4.5,
2018-01-01 17:40:00,233,337.0,,,,0.8,0.5,,3.6,,0,,0,,,,,,,1005.4,,,4,,,,0.0,,,,0.0,,,,,,,1.2,,5.2,,5.9,
2018-01-01 18:40:00,242,252.0,,,,3.1,1.6,,12.8,,0,,0,,,,,,,1006.3,,,5,,,,0.3,,,,0.0,,,,,,,2.8,,5.6,,5.2,
2018-01-01 19:40:00,250,246.0,,,,2.1,2.2,,5.8,,0,,0,,,,,,,1007.1,,,4,,,,0.2,,,,0.0,,,,,,,3.2,,5.1,,4.8,
2018-01-01 20:40:00,246,248.0,,,,3.2,3.3,,7.4,,0,,0,,,,,,,1007.3,,,4,,,,0.2,,,,0.0,,,,,,,3.2,,5.8,,6.3,
2018-01-01 21:40:00,241,235.0,,,,5.8,7.1,,13.3,,0,,0,,,,,,,1008.4,,,4,,,,0.5,,,,0.0,,,,,,,3.3,,5.9,,5.7,
2018-01-01 22:40:00,238,240.0,,,,7.8,7.7,,16.2,,0,,0,,,,,,,1009.7,,,4,,,,0.2,,,,0.0,,,,,,,3.0,,5.8,,5.9,
2018-01-01 23:40:00,244,249.0,,,,7.6,6.8,,17.1,,0,,0,,,,,,,1011.9,,,4,,,,0.0,,,,0.0,,,,,,,1.6,,6.0,,5.6,
2018-01-02 00:40:00,241,242.0,,,0.1,5.6,4.7,,16.2,,0,,0,,,,,,,1013.1,,,4,,,,0.0,,,,0.0,,,,,,,1.4,2.8,4.7,,5.1,5.6
2018-01-02 01:40:00,241,246.0,,,,4.7,3.3,,11.8,,0,,0,,,,,,,1014.3,,,4,,,,0.0,,,,0.0,,,,,,,1.0,,4.9,,4.3,
2018-01-02 02:40:00,243,242.0,,,,5.0,5.4,,10.1,,0,,0,,,,,,,1014.5,,,4,,,,0.0,,,,0.0,,,,,,,0.9,,4.3,,4.3,
2018-01-02 03:40:00,239,239.0,,,,5.0,4.8,,10.5,,0,,0,,,,,,,1014.9,,,4,,,,0.0,,,,0.0,,,,,,,0.7,,4.6,,4.8,
2018-01-02 04:40:00,237,239.0,,,,4.8,4.9,,9.9,,0,,0,,,,,,,1015.5,,,4,,,,0.1,,,,0.0,,,,,,,1.1,,4.6,,4.2,
2018-01-02 05:40:00,237,233.0,,,,4.6,4.3,,9.4,,0,,0,,,,,,,1015.9,,,4,,,,0.0,,,,0.0,,,,,,,1.2,,4.1,,4.2,
2018-01-02 06:40:00,235,237.0,,,,4.5,3.8,,10.8,,0,,0,,,,,,,1016.8,,,5,,,,0.1,,,,0.0,,,,,,,1.8,,4.2,,3.8,
2018-01-02 07:40:00,239,240.0,,,,4.9,4.4,,10.5,,0,,0,,,,,,,1018.2,,,8,,,,0.1,,,,0.0,,,,,,,1.3,,3.8,,3.5,
2018-01-02 08:40:00,223,227.0,,,,4.2,4.1,,8.5,,0,,0,,,,,,,1019.1,,,31,,,,0.2,,,,3.0,,,,,,,1.4,,3.2,,3.3,
2018-01-02 09:40:00,234,237.0,,,,4.7,3.4,,10.7,,0,,0,,,,,,,1020.4,,,88,,,,0.0,,,,12.0,,,,,,,1.8,,3.7,,3.8,
2018-01-02 10:40:00,234,235.0,,,,4.1,4.0,,8.1,,0,,0,,,,,,,1020.1,,,107,,,,0.0,,,,3.0,,,,,,,1.5,,4.1,,4.3,
