,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,81,153.0,,,,1.1,0.5,,2.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 01:40:00,73,40.0,,,,1.4,0.5,,4.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 02:40:00,266,277.0,,,,5.3,6.3,,15.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 03:40:00,272,261.0,,,,3.9,4.2,,10.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 04:40:00,274,301.0,,,,2.3,0.9,,9.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 05:40:00,268,315.0,,,,4.8,1.4,,14.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 06:40:00,27,64.0,,,,1.5,0.6,,6.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 07:40:00,281,297.0,,,,0.8,1.5,,3.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 08:40:00,286,311.0,,,,4.5,2.9,,9.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 09:40:00,291,145.0,,,,1.7,0.4,,5.6,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 10:40:00,248,267.0,,,,3.4,6.5,,9.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 11:40:00,253,209.0,,,,3.8,2.0,,8.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 12:40:00,151,110.0,,,,2.2,1.2,,4.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 13:40:00,113,102.0,,,,3.1,3.3,,6.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 14:40:00,87,79.0,,,,3.6,3.5,,7.5,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 15:40:00,84,227.0,,,,2.7,2.0,,6.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 16:40:00,268,259.0,,,,3.0,2.9,,6.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 17:40:00,60,310.0,,,,2.1,2.2,,7.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 18:40:00,56,338.0,,,,1.6,0.8,,4.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 19:40:00,284,124.0,,,,1.3,1.3,,3.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 20:40:00,84,25.0,,,,1.3,0.3,,3.1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 21:40:00,297,23.0,,,,1.2,0.5,,3.3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 22:40:00,274,268.0,,,,5.0,9.9,,15.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01 23:40:00,271,280.0,,,,10.8,7.8,,18.9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 00:40:00,278,275.0,,,,6.3,7.8,,13.7,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 01:40:00,283,323.0,,,,5.3,2.9,,16.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 02:40:00,320,304.0,,,,3.6,4.0,,7.0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 03:40:00,291,279.0,,,,4.3,4.6,,9.8,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 04:40:00,288,295.0,,,,3.3,4.2,,7.4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02 05:40:00,288,287.0,,,,4.6,5.1,,10.2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
