,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,135,73.0,,1,0.2,0.8,0.6,,2.1,,0,,0,,,277,,,,1012.9,,,2,,,,0.0,,,,0,,,,,,,-0.9,1.5,2.1,-2.1,1.9,8.1
2018-01-01 01:40:00,301,138.0,,0,,2.8,0.8,,7.7,,0,,0,,,314,,,,1013.4,,,2,,,,0.0,,,,0,,,,,,,-0.5,,2.9,0.2,3.2,
2018-01-01 02:40:00,287,280.0,,1,,9.1,11.8,,17.2,,0,,0,,,327,,,,1013.9,,,2,,,,0.0,,,,0,,,,,,,2.1,,6.3,0.8,5.7,
2018-01-01 03:40:00,306,309.0,,1,,9.0,8.1,,14.5,,0,,0,,,337,,,,1016.0,,,3,,,,1.1,,,,0,,,,,,,1.6,,5.1,1.9,4.5,
2018-01-01 04:40:00,301,314.0,,1,,6.6,4.2,,13.8,,0,,0,,,333,,0.0,,1017.2,,,2,,,,1.9,,14.0,,0,,,,,,,1.3,,4.3,1.5,3.4,
2018-01-01 05:40:00,169,198.0,,1,,2.5,2.0,,5.6,,0,,0,,,321,,,,1017.0,,,2,,,,0.0,,,,0,,,,,,,1.6,,3.4,1.3,3.4,
2018-01-01 06:40:00,146,159.0,,0,,4.3,4.4,,9.5,,0,,0,,,307,,,,1016.3,,,2,,,,0.0,,,,0,,,,,,,1.4,,3.0,1.5,3.2,
2018-01-01 07:40:00,169,265.0,,10,,2.0,1.6,,4.5,,0,,0,,,295,,,,1017.0,,,12,,,,0.0,,,,0,,,,,,,1.2,,3.0,1.4,2.8,
2018-01-01 08:40:00,198,113.0,,42,,1.0,0.5,,3.8,,0,,0,,,308,,,,1017.8,,,44,,,,0.0,,,,0,,,,,,,1.4,,3.0,2.0,2.7,
2018-01-01 09:40:00,127,69.0,,76,,1.4,0.9,,3.5,,0,,0,,,288,,,,1017.3,,,103,,,,0.0,,,,14,,,,,,,1.3,,3.4,4.4,4.0,
2018-01-01 10:40:00,131,139.0,,74,,2.3,2.4,,4.8,,0,,0,,,262,,,,1015.7,,,133,,,,0.0,,,,27,,,,,,,0.9,,4.1,3.2,4.2,
2018-01-01 11:40:00,270,162.0,,44,,0.9,0.7,,2.5,,0,,0,,,255,,,,1014.2,,,282,,,,0.0,,,,58,,,,,,,0.6,,4.5,4.5,4.7,
2018-01-01 12:40:00,256,255.0,,38,,0.6,0.4,,2.2,,0,,0,,,253,,,,1012.1,,,316,,,,0.0,,,,60,,,,,,,0.0,,5.1,5.2,5.3,
2018-01-01 13:40:00,276,290.0,,26,,1.1,2.2,,3.8,,0,,0,,,250,,,,1010.3,,,33,,,,0.0,,,,2,,,,,,,-1.1,,3.8,1.0,3.3,
2018-01-01 14:40:00,256,154.0,,31,,1.4,0.7,,4.3,,0,,0,,,260,,,,1009.7,,,34,,,,0.0,,,,0,,,,,,,0.1,,3.3,1.0,3.2,
2018-01-01 15:40:00,211,184.0,,8,,1.2,1.0,,3.8,,0,,0,,,273,,,,1008.3,,,10,,,,0.0,,,,0,,,,,,,-0.9,,3.3,0.7,2.9,
2018-01-01 16:40:00,225,219.0,,1,,1.1,1.5,,3.1,,0,,0,,,291,,,,1007.3,,,3,,,,0.0,,,,0,,,,,,,-1.3,,2.7,1.0,3.4,
2018-01-01 17:40:00,150,8.0,,1,,2.1,0.5,,4.8,,0,,0,,,307,,,,1007.4,,,2,,,,0.0,,,,0,,,,,,,-0.9,,2.4,1.3,2.3,
2018-01-01 18:40:00,149,113.0,,0,,2.4,2.3,,5.8,,0,,0,,,314,,,,1008.0,,,2,,,,0.0,,,,0,,,,,,,-0.9,,3.0,2.0,2.7,
2018-01-01 19:40:00,225,267.0,,1,,1.7,2.6,,4.4,,0,,0,,,317,,,,1009.0,,,2,,,,0.0,,,,0,,,,,,,-1.4,,2.7,1.5,3.2,
2018-01-01 20:40:00,153,182.0,,0,,2.2,2.6,,7.2,,0,,0,,,320,,,,1008.5,,,2,,,,0.0,,,,0,,,,,,,-0.6,,3.2,2.3,4.0,
2018-01-01 21:40:00,152,161.0,,1,,2.6,1.0,,8.1,,0,,0,,,326,,,,1010.1,,,2,,,,0.0,,,,0,,,,,,,-0.6,,4.6,2.0,4.8,
2018-01-01 22:40:00,144,120.0,,1,,1.9,2.2,,4.8,,0,,0,,,327,,,,1011.9,,,3,,,,0.7,,,,0,,,,,,,0.7,,3.5,1.3,2.4,
2018-01-01 23:40:00,7,37.0,,0,,5.1,6.7,,13.3,,0,,0,,,320,,,,1011.6,,,1,,,,0.1,,,,0,,,,,,,-3.1,,6.3,3.4,7.6,
2018-01-02 00:40:00,352,336.0,,0,0.1,5.6,4.1,,16.8,,0,,0,,,313,,,,1012.1,,,2,,,,0.0,,,,0,,,,,,,-3.9,0.0,7.5,3.9,7.0,8.1
2018-01-02 01:40:00,311,289.0,,2,,8.0,8.2,,15.9,,0,,0,,,329,,,,1015.3,,,4,,,,1.1,,,,0,,,,,,,0.4,,4.1,0.8,1.8,
2018-01-02 02:40:00,270,70.0,,0,,2.5,1.2,,10.4,,0,,0,,,316,,,,1015.7,,,2,,,,0.1,,,,0,,,,,,,1.0,,2.4,1.0,1.8,
2018-01-02 03:40:00,300,295.0,,1,,5.0,9.5,,13.5,,0,,0,,,323,,,,1016.0,,,2,,,,0.3,,,,0,,,,,,,0.5,,2.6,1.1,2.7,
2018-01-02 04:40:00,316,284.0,,0,,5.1,1.3,,15.0,,0,,0,,,319,,0.0,,1016.1,,,1,,,,0.1,,12.0,,0,,,,,,,-0.2,,3.4,1.2,3.5,
2018-01-02 05:40:00,329,161.0,,0,,2.4,1.5,,7.5,,0,,0,,,318,,,,1016.4,,,2,,,,0.1,,,,0,,,,,,,0.3,,3.1,1.0,3.0,
2018-01-02 06:40:00,319,321.0,,0,,5.1,3.0,,11.9,,0,,0,,,322,,,,1017.3,,,2,,,,0.2,,,,0,,,,,,,-0.1,,3.3,1.4,3.8,
2018-01-02 07:40:00,318,323.0,,6,,4.0,8.7,,12.6,,0,,0,,,315,,,,1017.9,,,7,,,,0.2,,,,0,,,,,,,-0.2,,3.6,1.4,3.8,
2018-01-02 08:40:00,349,340.0,,23,,7.3,4.7,,13.1,,0,,0,,,320,,,,1019.8,,,25,,,,0.7,,,,0,,,,,,,0.4,,2.8,1.4,2.5,
2018-01-02 09:40:00,264,178.0,,33,,1.8,1.0,,6.5,,0,,0,,,310,,,,1021.1,,,34,,,,0.0,,,,0,,,,,,,0.4,,2.9,1.0,3.0,
2018-01-02 10:40:00,172,221.0,,44,,1.5,1.3,,3.8,,0,,0,,,306,,,,1021.2,,,46,,,,0.0,,,,0,,,,,,,0.3,,2.5,1.6,2.7,
2018-01-02 11:40:00,180,163.0,,76,,1.1,0.4,,2.8,,0,,0,,,307,,,,1020.9,,,79,,,,0.0,,,,0,,,,,,,1.1,,2.8,2.0,2.7,
2018-01-02 12:40:00,132,160.0,,106,,3.3,4.9,,6.8,,0,,0,,,301,,,,1020.5,,,111,,,,0.0,,,,0,,,,,,,-1.3,,3.2,3.0,4.0,
2018-01-02 13:40:00,135,70.0,,81,,1.8,0.8,,5.1,,0,,0,,,285,,,,1020.3,,,84,,,,0.0,,,,0,,,,,,,-0.1,,3.2,2.3,3.2,
2018-01-02 14:40:00,135,60.0,,72,,1.7,0.3,,4.7,,0,,0,,,273,,,,1020.6,,,74,,,,0.0,,,,0,,,,,,,-0.5,,3.5,1.9,3.5,
2018-01-02 15:40:00,225,136.0,,10,,1.0,1.1,,2.5,,0,,0,,,289,,,,1021.0,,,11,,,,0.0,,,,0,,,,,,,-0.8,,3.0,1.2,2.6,
2018-01-02 16:40:00,144,118.0,,1,,1.9,3.2,,5.0,,0,,0,,,290,,,,1019.7,,,2,,,,0.0,,,,0,,,,,,,-2.0,,2.8,1.9,3.4,
