,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,122,121.0,,1,0.2,2.7,1.7,,6.2,,0,,0,,,264,,,,1012.9,,,0,,,,0.0,,,,0,,,,,,,-0.2,1.8,4.3,1.0,3.9,8.0
2018-01-01 01:40:00,131,142.0,,1,,3.9,2.7,,8.7,,0,,0,,,309,,,,1012.8,,,0,,,,0.0,,,,0,,,,,,,-0.1,,4.4,3.5,4.3,
2018-01-01 02:40:00,307,195.0,,1,,2.3,1.0,,9.5,,0,,0,,,316,,,,1013.6,,,0,,,,0.0,,,,0,,,,,,,0.1,,4.1,2.8,4.7,
2018-01-01 03:40:00,300,303.0,,1,,6.1,5.6,,20.5,,0,,0,,,329,,,,1015.0,,,0,,,,0.3,,,,0,,,,,,,1.5,,5.3,3.8,5.1,
2018-01-01 04:40:00,301,308.0,,1,,8.5,7.6,,18.2,,0,,0,,,330,,,,1015.4,,,0,,,,0.4,,,,0,,,,,,,-0.3,,5.4,3.6,6.1,
2018-01-01 05:40:00,295,276.0,,1,,4.1,3.6,,15.8,,0,,0,,,318,,,,1015.4,,,0,,,,0.0,,,,0,,,,,,,-1.3,,5.9,4.0,5.9,
2018-01-01 06:40:00,284,38.0,,1,,1.9,1.5,,9.4,,0,,0,,,312,,,,1015.8,,,0,,,,0.0,,,,0,,,,,,,-1.6,,6.0,3.8,6.8,
2018-01-01 07:40:00,129,115.0,,12,,2.3,1.7,,5.6,,0,,0,,,304,,,,1016.5,,,7,,,,0.0,,,,0,,,,,,,-0.2,,5.1,3.2,4.7,
2018-01-01 08:40:00,127,191.0,,63,,1.3,0.2,,4.4,,0,,0,,,312,,,,1016.9,,,58,,,,0.0,,,,0,,,,,,,0.3,,4.9,4.6,4.9,
2018-01-01 09:40:00,90,47.0,,71,,0.7,1.0,,3.1,,0,,0,,,306,,,,1016.9,,,69,,,,0.0,,,,0,,,,,,,0.6,,5.4,4.7,5.4,
2018-01-01 10:40:00,153,107.0,,96,,1.1,0.4,,3.0,,0,,0,,,291,,,,1015.3,,,131,,,,0.0,,,,11,,,,,,,1.1,,6.1,7.9,6.5,
2018-01-01 11:40:00,202,135.0,,50,,0.7,0.4,,1.8,,0,,0,,,257,,,,1013.7,,,334,,,,0.0,,,,60,,,,,,,0.8,,7.0,11.9,7.5,
2018-01-01 12:40:00,150,139.0,,41,,1.7,3.3,,5.2,,0,,0,,,257,,,,1012.0,,,301,,,,0.0,,,,60,,,,,,,0.3,,7.8,10.6,8.0,
2018-01-01 13:40:00,141,137.0,,37,,4.4,4.8,,8.5,,0,,0,,,255,,,,1010.5,,,187,,,,0.0,,,,50,,,,,,,0.2,,7.6,6.5,6.9,
2018-01-01 14:40:00,128,130.0,,27,,6.7,6.6,,11.3,,0,,0,,,255,,,,1009.2,,,27,,,,0.0,,,,0,,,,,,,-0.3,,6.6,5.5,6.6,
2018-01-01 15:40:00,125,129.0,,10,,7.5,8.8,,14.8,,0,,0,,,256,,,,1007.9,,,5,,,,0.0,,,,0,,,,,,,-1.2,,6.0,4.8,6.0,
2018-01-01 16:40:00,127,124.0,,1,,8.5,8.5,,13.4,,0,,0,,,264,,,,1007.4,,,0,,,,0.0,,,,0,,,,,,,-0.9,,5.7,4.5,5.2,
2018-01-01 17:40:00,121,123.0,,1,,8.3,8.7,,14.3,,0,,0,,,289,,,,1006.8,,,0,,,,0.0,,,,0,,,,,,,-1.9,,5.2,4.5,5.2,
2018-01-01 18:40:00,127,96.0,,1,,5.1,1.1,,14.5,,0,,0,,,299,,,,1008.1,,,0,,,,0.0,,,,0,,,,,,,-3.1,,5.1,3.4,4.4,
2018-01-01 19:40:00,126,155.0,,1,,2.8,3.0,,5.8,,0,,0,,,307,,,,1008.5,,,0,,,,0.0,,,,0,,,,,,,-2.5,,4.6,3.4,4.3,
2018-01-01 20:40:00,133,120.0,,1,,2.7,2.9,,7.0,,0,,0,,,309,,,,1009.5,,,0,,,,0.0,,,,0,,,,,,,-2.1,,4.1,3.1,4.0,
2018-01-01 21:40:00,128,128.0,,1,,3.4,1.9,,6.3,,0,,0,,,320,,,,1010.0,,,0,,,,0.0,,,,0,,,,,,,-2.5,,3.9,3.4,4.1,
2018-01-01 22:40:00,144,144.0,,1,,1.6,2.6,,4.3,,0,,0,,,327,,,,1012.2,,,0,,,,0.3,,,,0,,,,,,,-0.4,,3.4,1.9,3.0,
2018-01-01 23:40:00,126,128.0,,1,,3.2,3.6,,6.3,,0,,0,,,320,,,,1013.8,,,0,,,,0.6,,,,0,,,,,,,0.2,,2.2,1.1,1.8,
2018-01-02 00:40:00,123,117.0,,1,0.1,3.6,2.6,,7.3,,0,,0,,,299,,,,1014.4,,,0,,,,0.0,,,,0,,,,,,,0.2,0.9,1.8,0.8,2.0,6.3
2018-01-02 01:40:00,138,314.0,,1,,4.5,5.8,,14.3,,0,,0,,,312,,,,1015.3,,,0,,,,0.4,,,,0,,,,,,,0.8,,2.4,2.1,2.8,
2018-01-02 02:40:00,291,75.0,,1,,3.7,1.9,,15.2,,0,,0,,,323,,,,1015.6,,,0,,,,1.5,,,,0,,,,,,,1.2,,2.7,1.7,2.4,
2018-01-02 03:40:00,125,110.0,,1,,1.8,1.9,,3.9,,0,,0,,,303,,,,1016.2,,,0,,,,0.0,,,,0,,,,,,,0.8,,2.2,1.1,2.0,
2018-01-02 04:40:00,278,271.0,,0,,3.8,2.1,,11.7,,0,,0,,,291,,,,1015.9,,,0,,,,0.0,,,,0,,,,,,,-0.8,,3.7,1.5,3.8,
2018-01-02 05:40:00,194,146.0,,1,,1.7,2.0,,8.1,,0,,0,,,300,,,,1016.6,,,0,,,,0.0,,,,0,,,,,,,0.3,,3.2,1.0,2.6,
2018-01-02 06:40:00,129,121.0,,1,,2.2,2.3,,5.8,,0,,0,,,297,,,,1016.8,,,0,,,,0.0,,,,0,,,,,,,0.3,,2.9,1.7,3.0,
2018-01-02 07:40:00,283,270.0,,9,,2.7,0.9,,7.6,,0,,0,,,288,,,,1017.1,,,5,,,,0.0,,,,0,,,,,,,-0.9,,4.3,2.1,4.5,
2018-01-02 08:40:00,308,310.0,,39,,6.8,11.3,,20.9,,0,,0,,,314,,,,1019.0,,,32,,,,0.2,,,,0,,,,,,,-0.2,,4.2,2.5,3.5,
2018-01-02 09:40:00,283,280.0,,100,,4.9,2.8,,12.2,,0,,0,,,299,,,,1020.0,,,132,,,,0.0,,,,11,,,,,,,-0.1,,4.2,5.3,4.9,
2018-01-02 10:40:00,286,277.0,,91,,3.7,3.1,,9.3,,0,,0,,,310,,,,1020.0,,,91,,,,0.0,,,,0,,,,,,,-0.3,,4.8,4.8,5.1,
2018-01-02 11:40:00,279,271.0,,144,,3.3,3.2,,6.9,,0,,0,,,303,,,,1019.7,,,236,,,,0.0,,,,29,,,,,,,-1.0,,5.8,7.9,6.1,
2018-01-02 12:40:00,275,280.0,,169,,3.5,3.7,,7.9,,0,,0,,,293,,,,1019.6,,,218,,,,0.0,,,,18,,,,,,,-1.3,,6.1,6.7,5.9,
2018-01-02 13:40:00,270,246.0,,130,,2.6,1.6,,6.0,,0,,0,,,296,,,,1019.4,,,158,,,,0.0,,,,14,,,,,,,-3.1,,6.2,6.6,6.3,
2018-01-02 14:40:00,126,139.0,,79,,2.6,2.8,,5.3,,0,,0,,,296,,,,1020.3,,,70,,,,0.0,,,,0,,,,,,,0.1,,5.3,4.9,5.1,
2018-01-02 15:40:00,143,141.0,,25,,3.1,3.1,,4.9,,0,,0,,,282,,,,1020.8,,,17,,,,0.0,,,,0,,,,,,,-0.2,,4.6,3.2,4.4,
2018-01-02 16:40:00,140,139.0,,1,,3.3,2.9,,7.9,,0,,0,,,286,,,,1020.7,,,0,,,,0.0,,,,0,,,,,,,-0.3,,4.1,2.5,3.4,
2018-01-02 17:40:00,133,128.0,,1,,3.6,4.3,,6.3,,0,,0,,,276,,,,1020.7,,,0,,,,0.0,,,,0,,,,,,,0.1,,3.0,2.2,2.9,
2018-01-02 18:40:00,120,118.0,,1,,4.8,4.4,,8.2,,0,,0,,,299,,,,1021.3,,,0,,,,0.0,,,,0,,,,,,,-0.4,,3.1,2.4,2.8,
2018-01-02 19:40:00,120,125.0,,1,,5.5,6.5,,11.0,,0,,0,,,304,,,,1020.8,,,0,,,,0.0,,,,0,,,,,,,-0.8,,2.9,2.5,3.0,
2018-01-02 20:40:00,124,135.0,,1,,7.0,7.8,,12.5,,0,,0,,,312,,,,1019.6,,,0,,,,0.0,,,,0,,,,,,,-2.6,,3.2,3.0,4.1,
2018-01-02 21:40:00,131,132.0,,1,,8.4,8.6,,15.0,,0,,0,,,317,,,,1019.2,,,0,,,,0.0,,,,0,,,,,,,-1.6,,3.3,2.6,2.9,
2018-01-02 22:40:00,134,128.0,,1,,8.0,7.8,,13.9,,0,,0,,,322,,,,1020.0,,,0,,,,0.1,,,,0,,,,,,,0.0,,2.9,1.2,1.7,
2018-01-02 23:40:00,122,120.0,,1,,7.7,7.3,,12.7,,0,,0,,,323,,,,1019.3,,,0,,,,0.4,,,,0,,,,,,,0.0,,1.1,0.1,1.0,
2018-01-03 00:40:00,120,116.0,,1,0.1,7.7,8.3,,14.2,,0,,0,,,321,,,,1018.2,,,0,,,,0.6,,,,0,,,,,,,0.0,1.1,1.2,0.3,1.4,9.8
2018-01-03 01:40:00,118,119.0,,0,,9.1,9.6,,15.6,,0,,0,,,323,,,,1016.7,,,0,,,,0.3,,,,0,,,,,,,-0.1,,1.4,0.8,1.5,
2018-01-03 02:40:00,118,119.0,,1,,9.3,9.1,,15.8,,0,,0,,,320,,,,1015.4,,,0,,,,0.1,,,,0,,,,,,,-0.5,,1.8,1.0,2.0,
2018-01-03 03:40:00,120,119.0,,1,,9.2,9.3,,16.7,,0,,0,,,313,,,,1012.9,,,0,,,,0.0,,,,0,,,,,,,-1.0,,2.3,1.4,2.2,
2018-01-03 04:40:00,119,114.0,,1,,8.3,9.0,,16.3,,0,,0,,,316,,,,1011.5,,,0,,,,0.0,,,,0,,,,,,,-1.1,,2.3,1.6,2.4,
2018-01-03 05:40:00,115,118.0,,1,,9.4,10.3,,18.2,,0,,0,,,320,,,,1009.0,,,0,,,,0.0,,,,0,,,,,,,-1.0,,2.6,1.8,2.5,
2018-01-03 06:40:00,121,124.0,,1,,10.6,10.1,,18.0,,0,,0,,,319,,,,1006.5,,,0,,,,0.0,,,,0,,,,,,,-0.8,,2.7,2.4,2.8,
2018-01-03 07:40:00,129,124.0,,4,,9.8,9.7,,16.6,,0,,0,,,328,,,,1005.1,,,1,,,,0.0,,,,0,,,,,,,-0.1,,3.4,3.2,3.9,
2018-01-03 08:40:00,128,139.0,,23,,9.7,8.9,,16.4,,0,,0,,,330,,,,1002.5,,,17,,,,0.0,,,,0,,,,,,,0.9,,4.1,3.4,4.2,
2018-01-03 09:40:00,135,138.0,,31,,8.9,9.0,,15.1,,0,,0,,,333,,,,1000.4,,,27,,,,0.1,,,,0,,,,,,,2.3,,5.1,4.8,5.8,
2018-01-03 10:40:00,125,277.0,,13,,5.4,2.1,,12.1,,110,,0,,,340,,,,1002.9,,,8,,,,0.7,,,,0,,,,,,,3.2,,6.1,5.0,6.4,
2018-01-03 11:40:00,318,319.0,,16,,8.8,18.4,,35.0,,102,,0,,,345,,,,1005.5,,,12,,,,2.1,,,,0,,,,,,,2.7,,7.3,5.1,6.7,
2018-01-03 12:40:00,320,329.0,,6,,14.8,8.1,,38.6,,0,,0,,,339,,,,1010.7,,,0,,,,3.7,,,,0,,,,,,,0.6,,5.1,3.5,5.3,
2018-01-03 13:40:00,293,262.0,,10,,3.4,1.5,,21.8,,0,,0,,,328,,,,1010.2,,,6,,,,0.1,,,,0,,,,,,,0.8,,5.2,3.6,5.4,
2018-01-03 14:40:00,259,317.0,,13,,2.3,3.6,,9.7,,0,,0,,,318,,,,1010.3,,,9,,,,0.1,,,,0,,,,,,,-0.5,,5.2,3.7,6.3,
2018-01-03 15:40:00,337,333.0,,6,,5.1,3.4,,14.8,,0,,0,,,311,,,,1011.0,,,3,,,,0.0,,,,0,,,,,,,-3.7,,7.2,4.9,7.6,
2018-01-03 16:40:00,326,334.0,,1,,4.9,4.7,,18.6,,0,,0,,,316,,,,1010.4,,,0,,,,0.0,,,,0,,,,,,,-3.6,,7.4,5.6,7.8,
2018-01-03 17:40:00,162,147.0,,2,,3.1,3.1,,9.6,,0,,0,,,320,,,,1010.8,,,0,,,,0.0,,,,0,,,,,,,0.2,,6.0,4.0,4.8,
2018-01-03 18:40:00,124,119.0,,1,,3.8,3.4,,7.3,,0,,0,,,322,,,,1011.7,,,0,,,,0.0,,,,0,,,,,,,1.1,,4.4,3.2,4.0,
2018-01-03 19:40:00,135,132.0,,1,,3.5,4.5,,6.9,,0,,0,,,327,,,,1013.1,,,0,,,,0.3,,,,0,,,,,,,1.6,,3.9,2.6,3.3,
2018-01-03 20:40:00,124,105.0,,1,,4.3,4.4,,8.2,,0,,0,,,315,,,,1013.1,,,0,,,,0.1,,,,0,,,,,,,1.2,,3.0,2.1,3.0,
2018-01-03 21:40:00,127,130.0,,1,,4.2,4.7,,7.0,,0,,0,,,314,,,,1012.5,,,0,,,,0.0,,,,0,,,,,,,1.1,,3.0,2.2,2.8,
2018-01-03 22:40:00,130,126.0,,1,,3.4,5.3,,8.7,,0,,0,,,324,,,,1013.1,,,0,,,,0.3,,,,0,,,,,,,1.6,,3.0,2.2,2.8,
2018-01-03 23:40:00,125,124.0,,1,,4.9,4.6,,8.5,,0,,0,,,320,,,,1012.5,,,0,,,,0.2,,,,0,,,,,,,1.1,,2.7,1.9,2.5,
2018-01-04 00:40:00,110,111.0,,1,0.0,3.3,3.3,,6.5,,0,,0,,,327,,,,1013.0,,,0,,,,0.5,,,,0,,,,,,,1.3,1.4,2.5,1.9,2.4,4.5
2018-01-04 01:40:00,122,123.0,,1,,3.7,3.5,,5.9,,0,,0,,,326,,,,1013.1,,,0,,,,1.1,,,,0,,,,,,,0.7,,2.3,1.5,2.1,
2018-01-04 02:40:00,132,129.0,,1,,4.3,4.3,,6.4,,0,,0,,,323,,,,1012.1,,,0,,,,0.6,,,,0,,,,,,,0.4,,1.6,1.0,1.5,
2018-01-04 03:40:00,128,135.0,,1,,4.2,3.8,,6.9,,0,,0,,,323,,,,1012.3,,,0,,,,0.5,,,,0,,,,,,,0.4,,1.5,1.0,1.5,
2018-01-04 04:40:00,137,138.0,,1,,3.6,3.5,,6.4,,0,,0,,,322,,,,1011.9,,,0,,,,1.0,,,,0,,,,,,,0.7,,1.6,1.1,1.6,
2018-01-04 05:40:00,125,119.0,,1,,3.8,3.7,,7.5,,0,,0,,,326,,,,1011.7,,,0,,,,0.5,,,,0,,,,,,,0.8,,1.9,1.3,1.9,
2018-01-04 06:40:00,123,122.0,,1,,4.4,4.9,,9.5,,0,,0,,,325,,,,1011.4,,,0,,,,0.9,,,,0,,,,,,,0.8,,2.0,1.4,2.0,
2018-01-04 07:40:00,118,115.0,,1,,5.2,5.1,,9.1,,0,,0,,,326,,,,1011.0,,,0,,,,0.7,,,,0,,,,,,,0.9,,2.1,1.5,2.1,
2018-01-04 08:40:00,115,115.0,,4,,6.1,6.2,,11.5,,0,,0,,,326,,,,1010.8,,,0,,,,1.7,,,,0,,,,,,,0.8,,2.1,1.5,2.2,
2018-01-04 09:40:00,117,116.0,,8,,7.6,8.0,,14.0,,0,,0,,,326,,,,1010.1,,,2,,,,3.5,,,,0,,,,,,,0.5,,1.8,1.1,1.8,
