,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,241,239.0,,,,10.5,10.1,,15.3,,0,,0,,2971.0,,,,,,,,1,,,,,,,,0,,,,,,,-6.7,-9.1,-5.2,,-4.9,-4.5
2018-01-01 01:40:00,252,256.0,,,,10.3,8.6,,14.7,,0,,0,,2973.3,,,,,,,,1,,,,,,,,0,,,,,,,-7.1,,-4.8,,-4.8,
2018-01-01 02:40:00,250,241.0,,,,6.7,4.5,,13.9,,0,,0,,2969.3,,,,,,,,1,,,,,,,,0,,,,,,,-7.4,,-5.1,,-5.3,
2018-01-01 03:40:00,332,4.0,,,,5.8,6.1,,10.1,,0,,0,,2965.8,,,,,,,,1,,,,,,,,0,,,,,,,-7.5,,-5.3,,-5.5,
2018-01-01 04:40:00,313,315.0,,,,14.4,16.9,,25.9,,0,,0,,2954.9,,,,,,,,1,,,,,,,,0,,,,,,,-9.9,,-6.1,,-6.3,
2018-01-01 05:40:00,302,277.0,,,,13.9,11.5,,22.6,,0,,0,,2958.9,,,,,,,,1,,,,,,,,0,,,,,,,-9.8,,-6.8,,-7.5,
2018-01-01 06:40:00,274,279.0,,,,12.0,11.2,,19.8,,0,,0,,2964.5,,,,,,,,1,,,,,,,,0,,,,,,,-13.9,,-7.4,,-7.3,
2018-01-01 07:40:00,280,289.0,,,,10.9,6.1,,20.2,,0,,0,,2966.9,,,,,,,,16,,,,,,,,0,,,,,,,-12.5,,-7.3,,-7.1,
2018-01-01 08:40:00,284,281.0,,,,8.6,7.3,,16.0,,0,,0,,2968.0,,,,,,,,77,,,,,,,,0,,,,,,,-12.0,,-7.3,,-7.1,
2018-01-01 09:40:00,287,294.0,,,,9.0,7.8,,17.1,,0,,0,,2965.6,,,,,,,,118,,,,,,,,3,,,,,,,-12.6,,-7.8,,-7.8,
2018-01-01 10:40:00,278,284.0,,,,10.8,9.7,,18.2,,0,,0,,2955.1,,,,,,,,260,,,,,,,,39,,,,,,,-13.1,,-8.1,,-7.9,
2018-01-01 11:40:00,276,271.0,,,,6.7,4.7,,11.4,,0,,0,,2953.4,,,,,,,,396,,,,,,,,59,,,,,,,-14.8,,-8.1,,-7.7,
2018-01-01 12:40:00,260,234.0,,,,5.6,3.8,,12.2,,0,,0,,2945.7,,,,,,,,373,,,,,,,,60,,,,,,,-10.8,,-7.9,,-8.5,
2018-01-01 13:40:00,247,244.0,,,,3.3,3.4,,6.8,,0,,0,,2936.6,,,,,,,,262,,,,,,,,58,,,,,,,-10.2,,-8.2,,-8.4,
2018-01-01 14:40:00,253,268.0,,,,3.9,4.4,,7.2,,0,,0,,2932.5,,,,,,,,119,,,,,,,,48,,,,,,,-13.5,,-7.9,,-7.8,
2018-01-01 15:40:00,246,250.0,,,,3.7,3.3,,8.6,,0,,0,,2922.8,,,,,,,,16,,,,,,,,3,,,,,,,-15.1,,-7.9,,-8.0,
2018-01-01 16:40:00,258,241.0,,,,4.7,8.3,,10.7,,0,,0,,2916.9,,,,,,,,1,,,,,,,,0,,,,,,,-16.6,,-7.6,,-7.2,
2018-01-01 17:40:00,250,258.0,,,,8.3,7.7,,13.6,,0,,0,,2914.8,,,,,,,,1,,,,,,,,0,,,,,,,-16.0,,-6.9,,-6.6,
2018-01-01 18:40:00,263,276.0,,,,11.6,11.7,,18.0,,0,,0,,2912.2,,,,,,,,1,,,,,,,,0,,,,,,,-9.7,,-5.3,,-5.0,
2018-01-01 19:40:00,260,269.0,,,,7.9,8.7,,13.9,,0,,0,,2918.3,,,,,,,,1,,,,,,,,0,,,,,,,-9.6,,-5.9,,-6.4,
2018-01-01 20:40:00,263,268.0,,,,7.1,5.5,,12.1,,0,,0,,2918.7,,,,,,,,1,,,,,,,,0,,,,,,,-7.8,,-7.1,,-7.4,
2018-01-01 21:40:00,259,283.0,,,,7.2,12.7,,21.6,,0,,0,,2918.5,,,,,,,,1,,,,,,,,0,,,,,,,-8.1,,-7.2,,-6.9,
