,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,214,187.0,,1.0,0.2,5.3,4.1,,10.6,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.4,-3.4,2.8,-0.1,2.6,3.3
2018-01-01 01:40:00,228,188.0,,1.0,,2.3,1.6,,6.4,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-4.4,,1.8,-0.1,1.1,
2018-01-01 02:40:00,339,358.0,,1.0,,2.6,7.2,,11.2,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-2.9,,1.2,-0.1,1.2,
2018-01-01 03:40:00,5,5.0,,2.0,,7.7,6.6,,13.1,,0,,0,,,,,,,,,,0,,,,0.2,,,,0,,,,,,,-2.5,,0.8,-0.1,0.7,
2018-01-01 04:40:00,9,8.0,,0.0,,5.3,5.5,,11.8,,0,,0,,,,,1.0,,,,,0,,,,0.1,,88.0,,0,,,,,,,-2.0,,0.0,-0.1,-0.4,
2018-01-01 05:40:00,3,7.0,,1.0,,5.4,3.0,,11.5,,0,,0,,,,,,,,,,0,,,,0.3,,,,0,,,,,,,-3.1,,-0.6,-0.1,-0.6,
2018-01-01 06:40:00,72,246.0,,0.0,,2.6,0.9,,6.7,,0,,0,,,,,,,,,,0,,,,0.0,,,,0,,,,,,,-3.3,,-1.2,-0.1,-1.5,
2018-01-01 07:40:00,326,241.0,,17.0,,1.4,0.4,,4.5,,0,,0,,,,,,,,,,12,,,,0.0,,,,0,,,,,,,-4.6,,-2.7,-0.1,-3.2,
2018-01-01 08:40:00,28,30.0,,56.0,,4.0,4.3,,10.3,,0,,0,,,,,,,,,,56,,,,0.0,,,,0,,,,,,,-3.7,,-1.2,-0.1,-0.8,
2018-01-01 09:40:00,28,29.0,,58.0,,4.5,4.4,,10.2,,0,,0,,,,,,,,,,66,,,,0.0,,,,0,,,,,,,-4.9,,-1.0,-0.1,-0.8,
