,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,258,265.0,,0,0.1,5.9,6.2,,19.6,,0,,0,,,336,,,,1016.4,,,0,,,,0.2,,,,0,,,,,,,1.3,4.1,7.9,4.5,7.6,8.4
2018-01-01 01:40:00,193,201.0,,0,,5.3,7.3,,9.8,,0,,0,,,330,,,,1017.9,,,0,,,,0.1,,,,0,,,,,,,3.4,,6.6,4.3,5.9,
2018-01-01 02:40:00,185,175.0,,0,,6.7,5.6,,11.4,,0,,0,,,327,,,,1018.3,,,0,,,,0.1,,,,0,,,,,,,2.8,,5.9,4.1,5.9,
2018-01-01 03:40:00,203,272.0,,0,,4.2,2.1,,8.6,,0,,0,,,327,,,,1019.1,,,0,,,,0.4,,,,0,,,,,,,3.6,,5.8,4.1,5.2,
2018-01-01 04:40:00,252,290.0,,0,,2.7,2.9,,5.6,,0,,0,,,326,,0.0,,1019.0,,,0,,,,0.1,,0.0,,0,,,,,,,3.5,,5.3,4.0,5.0,
2018-01-01 05:40:00,270,277.0,,0,,2.6,3.4,,5.0,,0,,0,,,326,,,,1019.6,,,0,,,,0.2,,,,0,,,,,,,3.7,,5.0,4.0,5.0,
2018-01-01 06:40:00,221,223.0,,0,,2.4,3.3,,5.5,,0,,0,,,312,,,,1020.2,,,0,,,,0.1,,,,0,,,,,,,3.4,,4.6,3.5,4.7,
2018-01-01 07:40:00,201,189.0,,1,,5.4,4.5,,8.3,,0,,0,,,272,,,,1020.1,,,8,,,,0.0,,,,0,,,,,,,2.3,,4.5,2.4,4.3,
2018-01-01 08:40:00,207,238.0,,57,,3.1,2.2,,6.3,,0,,0,,,295,,,,1020.1,,,103,,,,0.0,,,,20,,,,,,,3.0,,5.3,5.1,5.8,
2018-01-01 09:40:00,233,228.0,,62,,3.6,5.2,,8.2,,0,,0,,,319,,,,1019.7,,,83,,,,0.2,,,,0,,,,,,,3.6,,6.0,5.1,5.9,
2018-01-01 10:40:00,216,224.0,,143,,6.5,6.5,,10.5,,0,,0,,,284,,,,1018.2,,,262,,,,0.1,,,,27,,,,,,,2.8,,7.2,7.1,7.2,
2018-01-01 11:40:00,218,225.0,,165,,6.9,7.1,,10.2,,0,,0,,,292,,,,1016.6,,,207,,,,0.0,,,,3,,,,,,,2.5,,7.4,8.4,7.7,
2018-01-01 12:40:00,211,200.0,,119,,7.6,6.3,,12.3,,0,,0,,,304,,,,1013.7,,,136,,,,0.0,,,,0,,,,,,,1.0,,7.6,7.5,7.6,
2018-01-01 13:40:00,235,244.0,,43,,5.1,5.8,,9.7,,0,,0,,,323,,,,1012.2,,,60,,,,0.0,,,,0,,,,,,,1.7,,7.3,6.1,7.1,
2018-01-01 14:40:00,246,248.0,,6,,4.9,4.0,,12.5,,0,,0,,,329,,,,1011.1,,,17,,,,0.0,,,,0,,,,,,,2.0,,6.5,5.4,6.4,
2018-01-01 15:40:00,233,238.0,,0,,5.3,5.0,,10.8,,0,,0,,,334,,,,1010.0,,,0,,,,1.2,,,,0,,,,,,,3.8,,6.0,4.4,5.6,
2018-01-01 16:40:00,222,221.0,,0,,8.0,7.8,,13.9,,0,,0,,,334,,,,1010.0,,,0,,,,2.1,,,,0,,,,,,,3.8,,5.7,4.4,5.6,
2018-01-01 17:40:00,217,206.0,,0,,7.9,8.2,,13.4,,0,,0,,,334,,,,1010.8,,,0,,,,0.8,,,,0,,,,,,,4.0,,5.6,4.5,5.6,
2018-01-01 18:40:00,205,208.0,,0,,9.1,10.1,,14.0,,0,,0,,,333,,,,1011.3,,,0,,,,0.6,,,,0,,,,,,,3.8,,5.6,4.5,5.9,
2018-01-01 19:40:00,209,207.0,,0,,9.9,10.0,,15.3,,0,,0,,,335,,,,1012.9,,,0,,,,0.9,,,,0,,,,,,,4.4,,6.0,4.7,5.8,
2018-01-01 20:40:00,212,194.0,,0,,8.0,6.3,,16.3,,0,,0,,,333,,,,1014.8,,,0,,,,0.5,,,,0,,,,,,,3.1,,6.4,4.4,6.1,
2018-01-01 21:40:00,209,206.0,,0,,5.7,5.3,,9.4,,0,,0,,,326,,,,1016.4,,,0,,,,0.0,,,,0,,,,,,,3.0,,6.2,4.2,6.0,
2018-01-01 22:40:00,236,253.0,,0,,3.9,4.4,,8.3,,0,,0,,,323,,,,1017.9,,,0,,,,0.2,,,,0,,,,,,,1.7,,5.8,3.4,5.2,
2018-01-01 23:40:00,200,217.0,,0,,3.0,2.5,,7.3,,0,,0,,,304,,,,1018.2,,,0,,,,0.0,,,,0,,,,,,,0.7,,5.4,3.0,5.9,
2018-01-02 00:40:00,209,194.0,,0,0.1,2.4,0.9,,5.9,,0,,0,,,322,,,,1018.5,,,0,,,,0.0,,,,0,,,,,,,1.7,3.7,5.5,3.3,5.3,7.1
2018-01-02 01:40:00,230,237.0,,0,,2.1,4.1,,6.5,,0,,0,,,323,,,,1019.1,,,0,,,,0.1,,,,0,,,,,,,2.7,,4.7,3.5,4.7,
2018-01-02 02:40:00,214,230.0,,0,,3.4,3.9,,6.4,,0,,0,,,317,,,,1019.5,,,0,,,,0.0,,,,0,,,,,,,0.6,,5.5,3.2,5.8,
2018-01-02 03:40:00,222,283.0,,0,,2.7,1.2,,7.3,,0,,0,,,309,,,,1020.1,,,0,,,,0.0,,,,0,,,,,,,2.1,,4.9,3.1,4.8,
2018-01-02 04:40:00,174,188.0,,0,,2.7,1.9,,7.0,,0,,0,,,278,,0.0,,1020.6,,,0,,,,0.1,,0.0,,0,,,,,,,1.9,,4.4,1.5,4.1,
2018-01-02 05:40:00,221,241.0,,0,,3.1,1.6,,7.2,,0,,0,,,293,,,,1021.2,,,0,,,,0.0,,,,0,,,,,,,2.0,,4.6,1.8,4.0,
2018-01-02 06:40:00,205,241.0,,0,,2.9,2.0,,7.1,,0,,0,,,290,,,,1021.8,,,0,,,,0.0,,,,0,,,,,,,1.7,,4.1,2.1,4.1,
2018-01-02 07:40:00,183,166.0,,1,,4.8,4.2,,8.9,,0,,0,,,291,,,,1022.2,,,9,,,,0.0,,,,0,,,,,,,1.2,,4.3,2.8,4.8,
2018-01-02 08:40:00,210,238.0,,59,,3.8,2.0,,9.4,,0,,0,,,304,,,,1023.3,,,77,,,,0.0,,,,0,,,,,,,1.9,,5.3,4.9,5.4,
2018-01-02 09:40:00,190,187.0,,57,,3.8,4.9,,8.1,,0,,0,,,308,,,,1023.9,,,78,,,,0.0,,,,0,,,,,,,1.9,,5.8,5.3,5.9,
2018-01-02 10:40:00,211,212.0,,113,,4.6,4.6,,9.1,,0,,0,,,315,,,,1023.2,,,138,,,,0.0,,,,1,,,,,,,2.4,,6.2,6.6,6.1,
2018-01-02 11:40:00,231,245.0,,134,,4.7,4.4,,8.7,,0,,0,,,300,,,,1022.4,,,162,,,,0.0,,,,0,,,,,,,3.0,,6.0,6.8,6.1,
2018-01-02 12:40:00,249,243.0,,131,,3.8,4.3,,7.9,,0,,0,,,305,,,,1022.1,,,152,,,,0.0,,,,0,,,,,,,2.8,,6.6,6.9,6.7,
2018-01-02 13:40:00,216,207.0,,79,,5.5,5.0,,9.0,,0,,0,,,309,,,,1021.7,,,96,,,,0.0,,,,0,,,,,,,2.8,,6.6,6.4,6.6,
2018-01-02 14:40:00,227,248.0,,26,,3.5,2.1,,6.4,,0,,0,,,315,,,,1021.7,,,41,,,,0.0,,,,0,,,,,,,3.3,,6.5,5.7,6.3,
2018-01-02 15:40:00,253,250.0,,4,,2.6,2.2,,5.4,,0,,0,,,317,,,,1021.2,,,14,,,,0.0,,,,0,,,,,,,2.5,,6.2,5.2,6.0,
2018-01-02 16:40:00,252,251.0,,0,,3.2,3.4,,7.4,,0,,0,,,319,,,,1020.9,,,0,,,,0.0,,,,0,,,,,,,2.3,,5.9,5.0,5.7,
2018-01-02 17:40:00,251,246.0,,0,,3.7,3.2,,7.8,,0,,0,,,323,,,,1021.4,,,0,,,,0.0,,,,0,,,,,,,2.0,,5.9,4.7,6.1,
2018-01-02 18:40:00,243,276.0,,0,,4.0,3.0,,9.5,,0,,0,,,327,,,,1021.4,,,0,,,,0.0,,,,0,,,,,,,1.6,,5.5,4.3,5.4,
2018-01-02 19:40:00,262,254.0,,0,,3.7,3.5,,7.6,,0,,0,,,330,,,,1021.4,,,0,,,,0.2,,,,0,,,,,,,2.3,,4.9,3.5,4.7,
2018-01-02 20:40:00,247,247.0,,0,,4.0,3.9,,8.1,,0,,0,,,331,,,,1021.1,,,0,,,,0.2,,,,0,,,,,,,2.3,,4.9,3.5,4.8,
2018-01-02 21:40:00,250,244.0,,0,,3.1,3.1,,7.4,,0,,0,,,332,,,,1020.7,,,0,,,,0.2,,,,0,,,,,,,2.8,,4.8,3.7,4.9,
2018-01-02 22:40:00,231,228.0,,0,,4.5,5.5,,8.1,,0,,0,,,334,,,,1020.4,,,0,,,,0.2,,,,0,,,,,,,3.3,,4.8,3.8,4.7,
