,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,226,227.0,,,,4.6,4.6,,11.1,,0,,0,,,,,,,,,,,,,,1.3,,,,,,,,,,,-0.2,0.1,0.8,,0.8,1.7
2018-01-01 01:40:00,220,220.0,,,,4.4,4.5,,7.4,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,-0.1,,0.8,,0.5,
2018-01-01 02:40:00,223,224.0,,,,4.8,5.5,,9.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,1.0,,1.6,
2018-01-01 03:40:00,230,225.0,,,,4.3,4.3,,11.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.4,,1.7,,1.6,
2018-01-01 04:40:00,216,222.0,,,,3.9,5.6,,13.1,,0,,0,,,,,,,,,,,,,,0.4,,,,,,,,,,,0.0,,1.2,,0.9,
2018-01-01 05:40:00,230,234.0,,,,4.7,3.2,,9.4,,0,,0,,,,,,,,,,,,,,0.5,,,,,,,,,,,-0.2,,1.1,,0.9,
2018-01-01 06:40:00,231,233.0,,,,3.7,3.0,,9.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.8,,1.1,,1.0,
2018-01-01 07:40:00,209,202.0,,,,3.2,1.9,,8.8,,0,,0,,,,,,,,,,,,,,0.7,,,,,,,,,,,-0.2,,0.3,,0.4,
2018-01-01 08:40:00,213,217.0,,,,2.9,3.4,,5.0,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,0.5,,0.6,
2018-01-01 09:40:00,216,219.0,,,,4.2,5.1,,8.2,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-0.5,,0.8,,1.1,
2018-01-01 10:40:00,217,219.0,,,,5.1,5.9,,9.1,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.1,,1.4,,1.7,
2018-01-01 11:40:00,222,234.0,,,,6.0,6.3,,12.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.9,,1.4,,1.4,
2018-01-01 12:40:00,223,223.0,,,,9.1,10.5,,17.7,,0,,0,,,,,,,,,,,,,,0.0,,,,,,,,,,,-1.7,,1.6,,1.6,
2018-01-01 13:40:00,227,224.0,,,,10.1,8.5,,19.0,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.8,,1.5,,1.5,
2018-01-01 14:40:00,225,223.0,,,,10.4,10.1,,19.6,,0,,0,,,,,,,,,,,,,,0.1,,,,,,,,,,,-1.2,,1.1,,0.8,
