,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,282,272.0,,0,0.0,10.5,9.4,,20.4,,0,,0,,,,,,,,,,1,,,,1.0,,,,0,,,,,,,1.9,1.2,4.1,,3.9,5.0
2018-01-01 01:40:00,210,194.0,,0,,6.5,7.4,,16.0,,0,,0,,,,,,,,,,1,,,,0.0,,,,0,,,,,,,1.2,,4.7,,5.0,
2018-01-01 02:40:00,208,212.0,,0,,5.4,5.6,,11.0,,0,,0,,,,,,,,,,1,,,,0.2,,,,0,,,,,,,2.7,,4.0,,3.7,
2018-01-01 03:40:00,219,220.0,,0,,5.4,5.0,,10.6,,0,,0,,,,,,,,,,1,,,,0.3,,,,0,,,,,,,2.3,,3.5,,3.3,
2018-01-01 04:40:00,214,215.0,,0,,4.3,4.3,,8.6,,0,,0,,,,,,,,,,1,,,,0.6,,,,0,,,,,,,2.3,,3.2,,3.0,
2018-01-01 05:40:00,229,224.0,,0,,4.7,5.3,,9.8,,0,,0,,,,,,,,,,1,,,,1.0,,,,0,,,,,,,1.8,,2.7,,2.9,
2018-01-01 06:40:00,229,228.0,,0,,3.8,3.2,,9.2,,0,,0,,,,,,,,,,1,,,,0.1,,,,0,,,,,,,1.7,,2.7,,2.6,
2018-01-01 07:40:00,219,225.0,,12,,2.9,3.5,,7.3,,0,,0,,,,,,,,,,14,,,,0.0,,,,0,,,,,,,2.0,,2.7,,2.9,
2018-01-01 08:40:00,228,216.0,,42,,3.2,3.5,,6.0,,0,,0,,,,,,,,,,44,,,,0.3,,,,0,,,,,,,1.7,,2.9,,2.5,
2018-01-01 09:40:00,222,213.0,,115,,4.1,4.0,,8.6,,0,,0,,,,,,,,,,151,,,,0.2,,,,10,,,,,,,2.2,,3.2,,3.3,
2018-01-01 10:40:00,219,228.0,,142,,5.7,6.9,,10.6,,0,,0,,,,,,,,,,169,,,,0.0,,,,6,,,,,,,2.4,,3.6,,3.9,
2018-01-01 11:40:00,229,231.0,,155,,5.9,7.3,,12.3,,0,,0,,,,,,,,,,162,,,,0.0,,,,0,,,,,,,2.3,,4.1,,4.1,
2018-01-01 12:40:00,230,229.0,,159,,7.7,7.8,,15.4,,0,,0,,,,,,,,,,160,,,,0.0,,,,0,,,,,,,1.8,,4.3,,4.4,
2018-01-01 13:40:00,237,245.0,,70,,7.3,5.9,,14.5,,0,,0,,,,,,,,,,71,,,,0.0,,,,0,,,,,,,1.5,,4.3,,4.1,
2018-01-01 14:40:00,238,239.0,,12,,7.8,7.9,,14.0,,0,,0,,,,,,,,,,13,,,,0.4,,,,0,,,,,,,1.3,,3.4,,2.9,
2018-01-01 15:40:00,237,239.0,,2,,6.4,5.4,,13.7,,0,,0,,,,,,,,,,3,,,,2.9,,,,0,,,,,,,0.9,,2.1,,1.4,
2018-01-01 16:40:00,236,233.0,,0,,6.2,7.4,,12.8,,0,,0,,,,,,,,,,1,,,,2.7,,,,0,,,,,,,1.6,,1.7,,2.2,
