,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,207,195.0,,,0.1,3.8,4.7,,10.4,,0,,0,,,,,,,1015.6,,,0,,,,0.2,,,1.0,0,,,4.9,4.7,5.0,4.8,1.9,4.2,6.6,4.2,6.3,7.2
2018-01-01 01:40:00,199,182.0,,,,6.4,7.1,,11.8,,0,,0,,,,,,,1017.1,,,0,,,,0.1,,,1.0,0,,,4.9,4.8,4.9,,3.0,,6.5,4.4,5.9,
2018-01-01 02:40:00,214,222.0,,,,4.9,4.9,,9.3,,0,,0,,,,,,,1018.1,,,0,,,,0.3,,,1.0,0,,,4.8,4.8,4.8,,3.2,,5.4,4.1,5.2,
2018-01-01 03:40:00,234,228.0,,,,3.1,2.4,,7.6,,0,,0,,,,,,,1018.9,,,0,,,,0.3,,,1.0,0,,,4.8,4.8,4.7,,3.0,,5.0,3.8,4.8,
2018-01-01 04:40:00,222,235.0,,,,2.8,2.4,,5.6,,0,,0,,,,,,,1018.8,,,0,,,,0.4,,,1.0,0,,,4.7,4.8,4.7,,3.3,,4.7,3.8,4.5,
2018-01-01 05:40:00,229,231.0,,,,3.7,3.5,,6.5,,0,,0,,,,,,,1019.2,,,0,,,,0.6,,,1.0,0,,,4.7,4.7,4.6,,2.9,,4.5,3.4,4.5,
2018-01-01 06:40:00,219,224.0,,,,3.4,2.9,,6.9,,0,,0,,,,,,,1019.6,,,0,,,,0.0,,,1.0,0,,,4.6,4.7,4.5,,2.5,,4.6,3.3,4.6,
2018-01-01 07:40:00,226,221.0,,,,3.1,3.2,,7.5,,0,,0,,,,,,,1019.8,,,12,,,,0.0,,,1.0,0,,,4.6,4.7,4.4,,2.5,,4.3,3.5,4.5,
2018-01-01 08:40:00,227,228.0,,,,3.7,4.0,,6.3,,0,,0,,,,,,,1020.0,,,101,,,,0.0,,,1.0,16,,,4.6,4.7,4.5,,2.6,,4.7,4.3,4.6,
2018-01-01 09:40:00,239,234.0,,,,3.9,4.6,,7.9,,0,,0,,,,,,,1019.0,,,193,,,,0.0,,,1.0,27,,,4.6,4.7,4.7,,3.9,,5.4,8.8,6.3,
2018-01-01 10:40:00,226,229.0,,,,5.6,5.0,,10.2,,0,,0,,,,,,,1017.9,,,275,,,,0.0,,,1.0,28,,,4.8,4.7,5.2,,2.8,,6.2,6.4,6.0,
2018-01-01 11:40:00,236,233.0,,,,6.8,6.4,,10.9,,0,,0,,,,,,,1016.3,,,182,,,,0.0,,,1.0,0,,,4.9,4.7,5.3,,2.5,,6.2,6.9,6.3,
2018-01-01 12:40:00,228,217.0,,,,6.3,6.0,,11.9,,0,,0,,,,,,,1013.5,,,140,,,,0.0,,,1.0,0,,,5.1,4.8,5.4,,1.6,,6.5,6.7,6.7,
2018-01-01 13:40:00,238,244.0,,,,6.6,7.4,,11.4,,0,,0,,,,,,,1011.7,,,54,,,,0.0,,,1.0,0,,,5.1,4.8,5.3,,1.2,,6.6,5.8,6.4,
2018-01-01 14:40:00,248,249.0,,,,7.4,5.6,,14.7,,0,,0,,,,,,,1011.0,,,13,,,,0.1,,,1.0,0,,,5.1,4.9,5.1,,1.8,,5.5,3.8,5.0,
2018-01-01 15:40:00,236,234.0,,,,6.7,6.8,,13.3,,0,,0,,,,,,,1009.8,,,0,,,,2.3,,,1.0,0,,,5.0,4.9,4.9,,2.6,,4.9,3.7,4.8,
2018-01-01 16:40:00,232,231.0,,,,6.6,6.8,,13.1,,0,,0,,,,,,,1009.5,,,0,,,,2.3,,,1.0,0,,,4.9,4.9,4.7,,3.2,,4.7,4.0,4.8,
2018-01-01 17:40:00,217,215.0,,,,6.8,6.4,,11.8,,0,,0,,,,,,,1010.2,,,0,,,,0.8,,,1.0,0,,,4.9,4.9,4.7,,3.6,,4.9,4.1,4.9,
2018-01-01 18:40:00,224,235.0,,,,6.2,5.5,,12.2,,0,,0,,,,,,,1011.0,,,0,,,,0.4,,,1.0,0,,,4.8,4.9,4.7,,3.8,,5.0,4.3,5.1,
2018-01-01 19:40:00,219,214.0,,,,6.6,6.4,,11.8,,0,,0,,,,,,,1012.4,,,0,,,,2.2,,,1.0,0,,,4.8,4.9,4.7,,4.0,,5.2,4.4,5.1,
2018-01-01 20:40:00,208,209.0,,,,6.5,3.2,,15.6,,0,,0,,,,,,,1013.7,,,0,,,,0.6,,,1.0,0,,,4.8,4.9,4.7,,3.0,,5.4,4.2,5.5,
