,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,261,242.0,,,,6.1,4.9,,14.4,,,,,,,,,,,,,,,,,,1.5,,,0.0,,,,,,,,1.9,1.3,3.9,,3.4,4.5
2018-01-01 01:40:00,216,204.0,,,,5.4,5.1,,10.4,,,,,,,,,,,,,,,,,,0.4,,,0.0,,,,,,,,1.5,,3.0,,2.7,
2018-01-01 02:40:00,200,206.0,,,,6.6,6.2,,11.9,,,,,,,,,,,,,,,,,,0.3,,,0.0,,,,,,,,1.5,,2.3,,2.3,
2018-01-01 03:40:00,209,205.0,,,,6.6,6.9,,12.5,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.2,,2.4,,2.4,
2018-01-01 04:40:00,209,208.0,,,,5.5,5.3,,11.1,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,1.2,,2.2,,2.1,
2018-01-01 05:40:00,219,222.0,,,,5.9,7.0,,11.2,,,,,,,,,,,,,,,,,,0.8,,,0.0,,,,,,,,1.3,,2.0,,1.7,
2018-01-01 06:40:00,222,219.0,,,,7.0,6.0,,13.8,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,1.0,,1.7,,1.5,
2018-01-01 07:40:00,215,214.0,,,,5.7,5.0,,9.9,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.8,,1.5,,1.7,
2018-01-01 08:40:00,223,227.0,,,,5.1,5.6,,9.2,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.5,,1.9,,2.0,
2018-01-01 09:40:00,224,210.0,,,,5.5,4.6,,10.1,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.3,,2.0,,2.4,
2018-01-01 10:40:00,217,216.0,,,,6.3,6.8,,11.5,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.4,,2.6,,2.5,
2018-01-01 11:40:00,216,212.0,,,,8.0,8.0,,15.3,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.2,,3.3,,3.2,
2018-01-01 12:40:00,215,222.0,,,,8.1,8.0,,16.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,3.2,,3.2,
2018-01-01 13:40:00,215,214.0,,,,8.0,7.6,,15.3,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-1.0,,3.3,,3.5,
2018-01-01 14:40:00,215,215.0,,,,8.1,9.3,,15.7,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,3.2,,2.6,
2018-01-01 15:40:00,216,215.0,,,,8.9,7.6,,17.7,,,,,,,,,,,,,,,,,,1.4,,,0.0,,,,,,,,0.7,,2.0,,1.7,
2018-01-01 16:40:00,223,224.0,,,,9.3,9.4,,17.9,,,,,,,,,,,,,,,,,,3.3,,,0.0,,,,,,,,0.9,,1.4,,1.3,
2018-01-01 17:40:00,221,220.0,,,,10.5,10.2,,18.7,,,,,,,,,,,,,,,,,,1.6,,,0.0,,,,,,,,1.4,,1.6,,1.7,
2018-01-01 18:40:00,216,213.0,,,,10.2,9.0,,19.3,,,,,,,,,,,,,,,,,,1.5,,,0.0,,,,,,,,1.7,,2.1,,2.3,
2018-01-01 19:40:00,217,224.0,,,,10.0,10.2,,18.5,,,,,,,,,,,,,,,,,,2.2,,,0.0,,,,,,,,1.6,,2.4,,2.3,
2018-01-01 20:40:00,221,225.0,,,,9.4,8.6,,17.9,,,,,,,,,,,,,,,,,,0.9,,,0.0,,,,,,,,2.0,,2.3,,2.3,
2018-01-01 21:40:00,219,206.0,,,,7.7,5.9,,13.6,,,,,,,,,,,,,,,,,,0.5,,,0.0,,,,,,,,1.5,,2.2,,2.1,
2018-01-01 22:40:00,223,238.0,,,,6.9,7.1,,12.3,,,,,,,,,,,,,,,,,,1.5,,,0.0,,,,,,,,1.2,,2.1,,1.8,
2018-01-01 23:40:00,242,241.0,,,,5.6,4.4,,12.1,,,,,,,,,,,,,,,,,,0.8,,,0.0,,,,,,,,-0.3,,1.6,,1.6,
2018-01-02 00:40:00,223,225.0,,,,4.4,4.6,,7.7,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.3,0.6,1.5,,1.6,2.8
2018-01-02 01:40:00,223,226.0,,,,6.1,6.8,,11.0,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,0.3,,1.4,,1.1,
2018-01-02 02:40:00,235,253.0,,,,5.8,4.8,,12.0,,,,,,,,,,,,,,,,,,0.5,,,0.0,,,,,,,,-0.5,,1.1,,1.6,
2018-01-02 03:40:00,245,234.0,,,,5.6,4.6,,11.2,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.5,,1.5,,1.1,
2018-01-02 04:40:00,224,224.0,,,,5.0,4.6,,11.7,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.5,,0.9,,0.6,
2018-01-02 05:40:00,214,207.0,,,,5.4,5.3,,10.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.2,,1.0,,1.0,
2018-01-02 06:40:00,214,220.0,,,,5.4,6.2,,10.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.3,,0.9,,0.6,
2018-01-02 07:40:00,209,209.0,,,,4.6,5.1,,7.8,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.2,,0.8,,1.0,
2018-01-02 08:40:00,205,207.0,,,,4.8,4.8,,7.9,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,-0.2,,1.2,,1.6,
2018-01-02 09:40:00,217,215.0,,,,5.2,5.4,,9.8,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.2,,1.9,,2.3,
2018-01-02 10:40:00,217,217.0,,,,6.5,6.1,,12.4,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.2,,2.6,,2.6,
2018-01-02 11:40:00,219,221.0,,,,5.8,5.3,,10.4,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.5,,2.7,,2.6,
2018-01-02 12:40:00,224,225.0,,,,6.3,6.3,,11.4,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.8,,2.4,,2.3,
2018-01-02 13:40:00,231,229.0,,,,6.4,6.2,,11.2,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.7,,2.1,,2.1,
2018-01-02 14:40:00,226,224.0,,,,6.4,6.0,,11.3,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.8,,2.1,,2.0,
2018-01-02 15:40:00,215,206.0,,,,5.5,5.3,,9.7,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.9,,2.0,,1.9,
2018-01-02 16:40:00,204,210.0,,,,4.4,4.0,,7.4,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.0,,1.9,,1.9,
2018-01-02 17:40:00,210,213.0,,,,4.3,5.3,,8.6,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.6,,1.9,,1.9,
2018-01-02 18:40:00,212,217.0,,,,5.3,5.5,,12.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,2.1,,2.1,
2018-01-02 19:40:00,218,214.0,,,,6.7,7.3,,12.2,,,,,,,,,,,,,,,,,,0.4,,,0.0,,,,,,,,0.0,,1.3,,0.9,
2018-01-02 20:40:00,213,211.0,,,,7.7,7.8,,14.6,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,0.2,,1.0,,1.1,
2018-01-02 21:40:00,205,211.0,,,,8.7,6.5,,14.6,,,,,,,,,,,,,,,,,,0.2,,,0.0,,,,,,,,0.7,,1.2,,1.3,
2018-01-02 22:40:00,206,200.0,,,,7.6,8.4,,13.8,,,,,,,,,,,,,,,,,,0.1,,,0.0,,,,,,,,0.9,,1.2,,1.2,
2018-01-02 23:40:00,202,205.0,,,,8.2,7.8,,15.1,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,1.2,,1.2,,1.3,
