,dd,dd10,dd10od,diffus,etp,ff,ffv,ffv10,fx,fx10,gf,gf10,gn,gn10,h700,lwin,lwout,newsnow,qfe,qff,qff10,qnh,rad,rad10,reflected,rh,rr,rr10,snow,snowaut,ss,ss10,t0,tb-10,tb-20,tb-5,tb0,td,tn,tt,tt+5,tt10,tx
2018-01-01 00:40:00,254,244.0,,,0.1,4.4,5.5,,12.5,,0,,0,,,,,,,,,,0,,,,2.3,,,1.0,0,,,,,,,3.5,1.7,4.2,,3.6,4.8
2018-01-01 01:40:00,221,186.0,,,,5.4,4.7,,11.8,,0,,0,,,,,,,,,,0,,,,2.4,,,1.0,0,,,,,,,1.7,,2.8,,2.3,
2018-01-01 02:40:00,188,191.0,,,,5.7,5.4,,11.2,,0,,0,,,,,,,,,,0,,,,1.5,,,1.0,0,,,,,,,1.8,,2.4,,2.6,
2018-01-01 03:40:00,212,229.0,,,,5.4,5.5,,10.7,,0,,0,,,,,,,,,,0,,,,0.1,,,1.0,0,,,,,,,1.3,,3.1,,3.1,
2018-01-01 04:40:00,211,188.0,,,,4.1,3.3,,11.7,,0,,0,,,,,,,,,,0,,,,0.5,,,1.0,0,,,,,,,1.7,,2.7,,2.5,
2018-01-01 05:40:00,191,210.0,,,,4.8,5.6,,9.8,,0,,0,,,,,,,,,,0,,,,0.1,,,1.0,0,,,,,,,1.3,,2.6,,2.7,
2018-01-01 06:40:00,229,228.0,,,,5.8,3.7,,12.6,,0,,0,,,,,,,,,,0,,,,0.2,,,0.0,0,,,,,,,1.7,,2.2,,1.8,
2018-01-01 07:40:00,175,166.0,,,,2.5,3.0,,6.0,,0,,0,,,,,,,,,,5,,,,0.0,,,1.0,0,,,,,,,1.1,,1.9,,1.9,
2018-01-01 08:40:00,184,205.0,,,,2.9,4.0,,7.1,,0,,0,,,,,,,,,,56,,,,0.0,,,0.0,3,,,,,,,0.6,,2.3,,2.6,
2018-01-01 09:40:00,219,208.0,,,,3.6,3.7,,6.2,,0,,0,,,,,,,,,,131,,,,0.0,,,0.0,20,,,,,,,2.1,,2.6,,3.0,
2018-01-01 10:40:00,205,204.0,,,,5.4,6.9,,9.9,,0,,0,,,,,,,,,,351,,,,0.0,,,0.0,60,,,,,,,1.5,,3.8,,4.1,
2018-01-01 11:40:00,213,209.0,,,,8.1,6.4,,13.5,,0,,0,,,,,,,,,,335,,,,0.0,,,0.0,58,,,,,,,0.2,,4.5,,4.3,
2018-01-01 12:40:00,214,212.0,,,,6.9,6.3,,10.3,,0,,0,,,,,,,,,,162,,,,0.0,,,0.0,0,,,,,,,0.5,,3.9,,3.8,
2018-01-01 13:40:00,221,191.0,,,,5.7,4.2,,9.4,,0,,0,,,,,,,,,,124,,,,0.0,,,0.0,4,,,,,,,0.4,,3.9,,3.8,
2018-01-01 14:40:00,211,218.0,,,,6.4,7.6,,17.2,,0,,0,,,,,,,,,,24,,,,0.0,,,0.0,0,,,,,,,0.0,,4.0,,3.7,
2018-01-01 15:40:00,209,206.0,,,,7.8,8.7,,13.4,,0,,0,,,,,,,,,,1,,,,0.2,,,0.0,0,,,,,,,0.4,,3.6,,3.3,
2018-01-01 16:40:00,218,217.0,,,,7.3,6.8,,13.4,,0,,0,,,,,,,,,,0,,,,1.2,,,0.0,0,,,,,,,1.9,,2.7,,2.0,
2018-01-01 17:40:00,231,242.0,,,,8.1,8.7,,15.1,,0,,0,,,,,,,,,,0,,,,1.0,,,0.0,0,,,,,,,2.4,,2.3,,2.5,
2018-01-01 18:40:00,227,220.0,,,,9.8,9.5,,18.6,,0,,0,,,,,,,,,,0,,,,0.7,,,0.0,0,,,,,,,1.8,,3.2,,3.5,
2018-01-01 19:40:00,219,225.0,,,,9.5,11.4,,20.1,,0,,0,,,,,,,,,,0,,,,0.9,,,0.0,0,,,,,,,1.8,,3.6,,3.3,
2018-01-01 20:40:00,239,236.0,,,,8.5,9.5,,16.3,,0,,0,,,,,,,,,,0,,,,1.9,,,0.0,0,,,,,,,2.3,,2.9,,2.8,
2018-01-01 21:40:00,237,232.0,,,,7.6,7.1,,16.3,,0,,0,,,,,,,,,,0,,,,1.2,,,0.0,0,,,,,,,2.2,,2.5,,2.3,
